cellID,Hoechst_1,CD4,FOXP3,PD-L1,Vimentin,Hoechst_2,IBA1,SOX2,PD-1,Hoechst_3,CD163,PAN-CK,gH2AX,Hoechst_4,TIM3,CD11c,CD8a,Hoechst_5,E-cadherin,CD66b,CD20,Hoechst_6,Ki67,p-S6,CD31,Hoechst_7,CD45RO,HLA-DBP1,NKG2A,CD45_2,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,Sample,Condition,Replicate,phenotype
28,11985.3341614907,636.839751552795,226.355279503106,601.734161490683,13.944099378882,3239.92298136646,456.252173913043,264.223602484472,962.232298136646,5049.24596273292,381.623602484472,832.655900621118,1779.2149068323,2989.97763975155,436.776397515528,162.755279503106,1058.43105590062,2572.13540372671,792.608695652174,422.308074534162,1029.4198757764,1955.68074534162,16186.0024844721,577.818633540373,573.319254658385,1193.72795031056,303.76397515528,112.285714285714,988.069565217391,417.893167701863,11232.3602484472,8772.93788819876,805,35.2829707809873,29.0589440785431,0.567175639500395,0.974576271186441,0.786901270772239,-0.566019160164045,FAHNSCC_15,HN,1,Ki67+ tumor cells
95,5484.39642857143,444.596428571429,172.867857142857,595.6375,11.9571428571429,1447.33214285714,319.319642857143,182.741071428571,949.542857142857,2380.35357142857,311.803571428571,1420.73214285714,988.521428571429,1622.87857142857,331.648214285714,136.391071428571,1007.05535714286,1494.40892857143,931.325,405.289285714286,1054.53035714286,1141.82857142857,236.673214285714,1206.84642857143,573.580357142857,873.623214285714,251.916071428571,103.342857142857,981.814285714286,412.258928571429,11246.3517857143,9283.25535714286,560,30.7751296549907,23.1981409095058,0.657109577993809,0.957264957264957,0.777777777777778,-0.161549629703768,FAHNSCC_15,HN,1,tumor cells
114,7349.67418546366,499.646616541353,198.360902255639,600.365914786967,18.4461152882206,2182.93984962406,358.771929824561,222.614035087719,948.636591478697,3424.95488721805,374.934837092732,815.96992481203,1249.81203007519,2056.28571428571,359.187969924812,140.65664160401,1039.49373433584,1861.22055137845,1186.96741854637,411.674185463659,960.095238095238,1328.32581453634,8030.10275689223,2548.24561403509,577.764411027569,818.711779448622,271.862155388471,110.619047619048,989.974937343358,411.531328320802,12338.1854636591,9879.45363408521,399,25.09838596928,20.264233488387,0.590015527585651,0.959134615384615,0.76,-1.32314998548522,FAHNSCC_15,HN,1,Ki67+ tumor cells
116,8967.43178807947,596.496688741722,219.495364238411,599.744370860927,12.1152317880795,2383.99072847682,444.55761589404,215.614569536424,948.727152317881,3609.5059602649,412.152317880795,1300.56158940397,1094.05430463576,2303.34304635762,386.01059602649,148.866225165563,1011.54437086093,1816.73377483444,960.924503311258,413.572185430464,963.116556291391,1255.61721854305,3376.3417218543,1154.32847682119,571.561589403974,1013.94701986755,305.24238410596,117.2,996.333774834437,418.24238410596,12071.9629139073,9110.99337748344,755,31.8639765958377,30.1968275433728,0.319224297440793,0.972938144329897,0.785639958376691,-0.713875139878565,FAHNSCC_15,HN,1,Ki67+ tumor cells
140,9484.45833333333,487.407608695652,193.378623188406,602.715579710145,12.4329710144928,2365.1231884058,379.646739130435,211.539855072464,956.224637681159,3764.58695652174,353.565217391304,1126.76630434783,1236.49456521739,2151.36956521739,380.45652173913,146.784420289855,1001.10688405797,2080.63043478261,1007.67934782609,410.83152173913,1019.57608695652,1583.18115942029,439.476449275362,517.289855072464,574.240942028986,1041.49637681159,273.31884057971,109.423913043478,988.260869565217,414.269927536232,11095.875,9056.10688405797,552,31.871423811176,22.0778561217314,0.721210142269361,0.958333333333333,0.741935483870968,-1.25129527084188,FAHNSCC_15,HN,1,tumor cells
172,9281.68527918782,584.324873096447,209.705583756345,598.113367174281,13.8477157360406,2864.54822335025,441.714043993232,216.301184433164,958.590524534687,4351.15905245347,373.910321489002,2017.99492385787,987.426395939086,2373.82741116751,422.871404399323,142.108291032149,1031.58714043993,2193.91708967851,1238.26903553299,415.416243654822,1117.13028764805,1551.10152284264,339.680203045685,994.720812182741,571.991539763113,1020.86971235195,286.27241962775,111.510998307953,982.238578680203,417.250423011844,11854.0423011844,8883.40609137056,591,29.6678893344108,25.3989869845424,0.516793069368137,0.960975609756098,0.788,0.0193352379555441,FAHNSCC_15,HN,1,tumor cells
180,17805.8248587571,640.209039548023,234.677966101695,608.118644067797,149.536723163842,4917.0988700565,771.677966101695,200.539548022599,978.550847457627,7564.12429378531,649.209039548023,183.104519774011,965.827683615819,5489.25423728814,500.629943502825,275.389830508475,1196.4011299435,4242.42937853107,738.892655367232,426.127118644068,986.180790960452,4000.53389830508,273.847457627119,7033.34745762712,1525.68644067797,1017.82203389831,288.005649717514,135.225988700565,1013.25423728814,416.502824858757,11385.104519774,10293.4745762712,354,24.8351867444056,18.2895760851055,0.676505005869041,0.96986301369863,0.776315789473684,1.22105951775854,FAHNSCC_15,HN,1,endothelial cells
187,15766.4098360656,524.84262295082,203.914754098361,601.980327868852,127.659016393443,4712.26557377049,510.206557377049,176.377049180328,949.780327868852,6917.76393442623,458.918032786885,163.268852459016,952.511475409836,4910.14426229508,430.15737704918,145.360655737705,1013.79672131148,4462.76393442623,651.052459016393,412.219672131148,960.344262295082,4048.02950819672,216.809836065574,2497.57704918033,1025.33770491803,1713.37704918033,312.554098360656,134.511475409836,1004.71803278689,422.583606557377,11981.1672131148,10120.2,305,24.8588779864251,15.6307169844309,0.77758482225275,0.944272445820434,0.7625,-1.49820846451972,FAHNSCC_15,HN,1,tumor cells
193,9717.15991902834,489.006072874494,191.572874493927,596.396761133603,13.9493927125506,3021.78137651822,360.352226720648,233.273279352227,943.265182186235,4679.36437246964,382.692307692308,951.52024291498,1025.71862348178,3259.65789473684,369.815789473684,142.133603238866,997.178137651822,2797.27935222672,1108.04048582996,409.593117408907,980.728744939271,2276.43319838057,357.334008097166,2807.37044534413,572.961538461539,1077.18825910931,293.672064777328,109.787449392713,995.866396761134,416.451417004049,12037.2854251012,9625.45546558704,494,28.3037890169737,22.2311556617402,0.618927599542175,0.97244094488189,0.791666666666667,-0.935630332161008,FAHNSCC_15,HN,1,tumor cells
214,7388.84964539007,519.160283687943,198.790070921986,601.591489361702,11.4709219858156,1892.2524822695,371.619858156028,204.0,953.478014184397,2918.21276595745,342.509219858156,1255.40425531915,990.090780141844,1664.90638297872,347.212765957447,138.751773049645,1099.27375886525,1496.53617021277,778.300709219858,406.71914893617,974.476595744681,1003.88510638298,252.767375886525,782.197163120567,570.751773049645,904.565957446808,254.123404255319,105.217021276596,975.167375886525,413.727659574468,11929.6879432624,8813.06666666667,705,30.6573752156658,29.3366808638306,0.290348979126181,0.975103734439834,0.783333333333333,0.963808727255018,FAHNSCC_15,HN,1,tumor cells
