cellID,Hoechst_1,CD4,FOXP3,PD-L1,Vimentin,Hoechst_2,IBA1,SOX2,PD-1,Hoechst_3,CD163,PAN-CK,gH2AX,Hoechst_4,TIM3,CD11c,CD8a,Hoechst_5,E-cadherin,CD66b,CD20,Hoechst_6,Ki67,p-S6,CD31,Hoechst_7,CD45RO,HLA-DBP1,NKG2A,CD45_2,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,Sample,Condition,Replicate,phenotype
601,19257.9413919414,983.996336996337,310.443223443223,525.388278388278,2622.02564102564,4718.0989010989,1871.26007326007,277.344322344322,1017.59706959707,12271.1758241758,1136.8021978022,184.029304029304,1083.47252747253,6639.82417582418,1159.34798534799,1651.59340659341,1911.54578754579,4037.14652014652,571.992673992674,216.703296703297,1061.25274725275,8531.41391941392,519.673992673993,903.0,566.175824175824,2968.41391941392,499.300366300366,258.018315018315,1070.47619047619,306.970695970696,29834.673992674,41609.695970696,273,21.3063583967331,16.3407720295594,0.641714690112572,0.968085106382979,0.8125,-1.40039636522124,AGSCC_2,AG,1,M1/M0 macrophages
832,15521.8053097345,823.725663716814,229.681415929204,499.283185840708,410.070796460177,1669.50442477876,1797.2389380531,265.929203539823,987.566371681416,11237.1327433628,941.991150442478,176.787610619469,1065.72566371681,2284.19469026549,572.433628318584,714.619469026549,1927.78761061947,1545.43362831858,461.991150442478,224.362831858407,1401.33628318584,2324.23008849558,485.58407079646,1723.86725663717,701.87610619469,3412.50442477876,524.814159292035,236.238938053097,1077.00884955752,306.513274336283,29974.017699115,41700.4690265487,113,12.7607213641915,11.2891325356491,0.466202111930369,0.941666666666667,0.724358974358974,-0.773040572519549,AGSCC_2,AG,1,M1/M0 macrophages
2286,14510.0979020979,837.311188811189,244.237762237762,511.045454545455,1118.2972027972,6077.84965034965,929.972027972028,278.353146853147,983.541958041958,10871.0909090909,1168.52797202797,139.65034965035,1082.22377622378,8015.87412587413,608.657342657343,626.223776223776,1727.83216783217,5001.74475524476,550.416083916084,251.335664335664,1084.26573426573,9475.39160839161,307.094405594406,1409.33916083916,950.055944055944,3261.40909090909,503.548951048951,269.545454545455,1079.15034965035,308.342657342657,29808.0979020979,42255.8706293706,286,21.4716733597916,16.9779972773126,0.612183051983696,0.966216216216216,0.756613756613757,1.12853968322226,AGSCC_2,AG,1,endothelial cells
3057,19655.7910447761,1373.26119402985,318.179104477612,518.05223880597,1911.51492537313,6743.55970149254,2825.61940298507,295.305970149254,1073.11940298507,12954.6865671642,2323.05970149254,183.417910447761,1197.55223880597,6148.49253731343,959.171641791045,2165.59701492537,6958.91044776119,3428.82089552239,597.813432835821,236.365671641791,1258.92537313433,5580.71641791045,315.305970149254,370.492537313433,539.313432835821,1517.82835820896,514.716417910448,353.94776119403,1096.44776119403,288.723880597015,29766.1791044776,41629.8208955224,134,14.1564941484845,12.0347754817247,0.526582546796005,0.957142857142857,0.792899408284024,-0.785398163397448,AGSCC_2,AG,1,M2 macrophages
3506,16980.8899082569,1105.12844036697,268.963302752294,516.394495412844,1953.26605504587,5119.03669724771,1672.47706422018,276.56880733945,995.293577981651,10436.6513761468,1746.06422018349,178.05504587156,1373.98165137615,5596.5504587156,799.908256880734,1411.88073394495,2102.23853211009,3227.64220183486,577.963302752294,213.183486238532,1068.04587155963,6320.83486238532,289.550458715596,424.550458715596,585.807339449541,1810.66972477064,479.330275229358,245.651376146789,1096.94495412844,291.073394495413,29723.8165137615,41629.495412844,109,12.6420261380219,10.9631483604611,0.49796229978486,0.964601769911504,0.825757575757576,-0.42318603914977,AGSCC_2,AG,1,M2 macrophages
4531,17008.2931506849,966.731506849315,250.13698630137,512.328767123288,751.509589041096,8275.71780821918,688.690410958904,283.624657534247,978.821917808219,12935.301369863,859.545205479452,142.227397260274,1076.37260273973,12945.1287671233,523.523287671233,233.764383561644,1527.10136986301,7578.71232876712,553.939726027397,218.356164383562,1013.56712328767,17063.597260274,294.898630136986,924.328767123288,1966.11780821918,6617.89315068493,528.572602739726,208.756164383562,1080.85753424658,341.432876712329,28952.3643835616,42561.6191780822,365,22.6328633427699,20.5363473434435,0.420336054461457,0.963060686015831,0.793478260869565,-1.52114170523962,AGSCC_2,AG,1,endothelial cells
4585,16215.3843648208,830.032573289902,263.540716612378,522.355048859935,1382.37785016287,7242.94462540717,498.938110749186,289.934853420195,989.192182410424,12747.5081433225,811.387622149837,145.413680781759,1086.31596091205,9917.43648208469,581.895765472313,222.374592833876,1622.89576547231,5904.59283387622,588.85993485342,222.586319218241,1017.30618892508,12165.1921824104,294.368078175896,2246.77198697068,1140.41368078176,4314.58306188925,524.309446254072,200.824104234528,1169.8338762215,333.954397394137,29889.6058631922,42296.2442996743,307,20.5859353819423,19.0301582799622,0.381363309071199,0.968454258675079,0.807894736842105,-1.46996213323016,AGSCC_2,AG,1,stromal cells
4784,10524.221875,895.346875,307.653125,530.375,3293.021875,5081.3875,486.021875,278.996875,993.525,8139.04375,827.06875,140.728125,1104.09375,8049.1625,633.95,214.425,1915.859375,4929.7125,626.484375,215.309375,1002.034375,10566.571875,306.184375,737.51875,1903.284375,4358.809375,535.075,200.10625,1156.0,309.490625,29213.271875,42573.6375,320,21.9259634902534,18.5988432106428,0.529585444456411,0.963855421686747,0.76555023923445,-1.29243190288097,AGSCC_2,AG,1,stromal cells
5972,12562.4955752212,1190.97345132743,256.247787610619,515.522123893805,885.150442477876,5231.17699115044,782.150442477876,281.176991150442,978.893805309734,8848.03539823009,936.654867256637,139.008849557522,1072.14159292035,8558.19469026549,564.433628318584,263.884955752212,1723.25663716814,5470.17699115044,563.176991150443,219.690265486726,1050.33628318584,10817.3008849558,277.185840707965,369.592920353982,913.362831858407,3581.64601769912,535.53982300885,215.29203539823,1084.43362831858,314.300884955752,29783.6548672566,42797.6725663717,113,13.2108048728444,10.9566443135294,0.558699847055152,0.941666666666667,0.79020979020979,-1.45602804451531,AGSCC_2,AG,1,stromal cells
7190,6111.61002178649,897.976034858388,315.459694989107,543.764705882353,3133.55337690632,2698.66230936819,728.435729847495,286.322440087146,993.045751633987,5080.32026143791,1227.03703703704,143.62091503268,1081.48801742919,4256.81481481482,564.546840958606,259.832244008715,2135.47494553377,2851.44662309368,547.117647058824,218.093681917211,1052.23529411765,5451.86274509804,300.433551198257,7179.17211328976,827.20697167756,2029.67755991285,494.636165577342,198.906318082789,1153.8779956427,294.677559912854,30094.4335511983,41901.1938997821,459,25.1551099714631,23.283122573635,0.378546629804245,0.962264150943396,0.796875,0.914651803074897,AGSCC_2,AG,1,stromal cells
