,Stroma_ad_Carcinoma_FAHNSCC_14_1_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_6_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_7_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_3_no_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_15_2_no_tumorales.csv,Carcinoma_AGSCC_2_26_no_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_15_1_no_tumorales.csv,Carcinoma_AGSCC_2_28_no_tumorales.csv,Carcinoma_AGSCC_2_38_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_6_no_tumorales.csv,Carcinoma_FAHNSCC_15_2_no_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_14_3_no_tumorales.csv,Dysplasia-HG_FAHNSCC_15_3_no_tumorales.csv,Carcinoma_AGSCC_2_35_no_tumorales.csv,Carcinoma_AGSCC_2_9_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_7_no_tumorales.csv,Carcinoma_AGSCC_2_13_no_tumorales.csv,Stroma_ad_Dysplasia_FAHNSCC_14_4_no_tumorales.csv,Carcinoma_AGSCC_2_18_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_9_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_8_no_tumorales.csv,Stroma_ad_Dysplasia-HG_FAHNSCC_15_1_no_tumorales.csv,Carcinoma_AGSCC_2_3_no_tumorales.csv,Carcinoma_AGSCC_2_14_no_tumorales.csv,Stroma_ad_Carcinoma-Dysplasia_FAHNSCC_14_1_no_tumorales.csv,Stroma_ad_Dysplasia-HG_FAHNSCC_15_2_no_tumorales.csv,Carcinoma_AGSCC_2_31_no_tumorales.csv,Carcinoma_FAHNSCC_14_5_no_tumorales.csv,Carcinoma_AGSCC_2_39_no_tumorales.csv,Carcinoma_AGSCC_2_34_no_tumorales.csv,Carcinoma_AGSCC_2_1_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_3_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_10_no_tumorales.csv,Carcinoma_AGSCC_2_36_no_tumorales.csv,Stroma_ad_Dysplasia_FAHNSCC_14_2_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_5_no_tumorales.csv,Carcinoma_AGSCC_2_24_no_tumorales.csv,Carcinoma_AGSCC_2_12_no_tumorales.csv,Stroma_ad_Dysplasia-HG_FAHNSCC_15_3_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_11_no_tumorales.csv,Carcinoma_AGSCC_2_11_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_4_no_tumorales.csv,Carcinoma_AGSCC_2_2_no_tumorales.csv,Dysplasia-HG_FAHNSCC_15_4_no_tumorales.csv,Dysplasia-HG_FAHNSCC_15_2_no_tumorales.csv,Carcinoma_AGSCC_2_16_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_2_no_tumorales.csv,Carcinoma_AGSCC_2_7_no_tumorales.csv,Dysplasia_FAAGSCC_13_2_no_tumorales.csv,Carcinoma_AGSCC_2_29_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_1_no_tumorales.csv,Stroma_ad_Dysplasia_FAHNSCC_14_3_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_4_no_tumorales.csv,Carcinoma_FAHNSCC_14_2_no_tumorales.csv,Carcinoma_FAHNSCC_14_4_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_6_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_5_no_tumorales.csv,Dysplasia-HG_FAHNSCC_15_1_no_tumorales.csv,Carcinoma_FAHNSCC_14_3_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_8_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_1_no_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_14_2_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_2_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_4_no_tumorales.csv,Carcinoma_AGSCC_2_33_no_tumorales.csv,Carcinoma_AGSCC_2_20_no_tumorales.csv,Carcinoma_AGSCC_2_21_no_tumorales.csv,Carcinoma_FAHNSCC_14_1_no_tumorales.csv,Carcinoma_FAHNSCC_15_1_no_tumorales.csv,Dysplasia-LG_FAHNSCC_15_1_no_tumorales.csv,Carcinoma_AGSCC_2_17_no_tumorales.csv,Dysplasia_FAAGSCC_13_3_no_tumorales.csv,Dysplasia-LG_FAHNSCC_15_2_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_7_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_5_no_tumorales.csv,Carcinoma_AGSCC_2_23_no_tumorales.csv,Dysplasia_FAAGSCC_13_4_no_tumorales.csv,Carcinoma_AGSCC_2_37_no_tumorales.csv,Carcinoma_AGSCC_2_19_no_tumorales.csv,Carcinoma_AGSCC_2_22_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_10_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_8_no_tumorales.csv,Dysplasia_FAAGSCC_13_1_no_tumorales.csv,Carcinoma_AGSCC_2_40_no_tumorales.csv,Carcinoma_AGSCC_2_6_no_tumorales.csv,Stroma_ad_Dysplasia_FAHNSCC_14_1_no_tumorales.csv,Carcinoma_AGSCC_2_30_no_tumorales.csv,Carcinoma_AGSCC_2_32_no_tumorales.csv,Carcinoma_AGSCC_2_10_no_tumorales.csv,Carcinoma_AGSCC_2_15_no_tumorales.csv,Carcinoma_AGSCC_2_25_no_tumorales.csv,Carcinoma_AGSCC_2_5_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_1_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_3_no_tumorales.csv,Carcinoma_AGSCC_2_4_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_9_no_tumorales.csv,Carcinoma_AGSCC_2_27_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_2_no_tumorales.csv,Carcinoma_AGSCC_2_8_no_tumorales.csv
Stroma_ad_Carcinoma_FAHNSCC_14_1_no_tumorales.csv,0.0,9328.767632903387,8967.294213685016,3936.048223855028,19328.18223459119,6715.74684821006,11421.837847163257,6183.658317565542,5984.020008612258,5076.668797697617,4449.762508734163,1058.8949626085166,2792.8433784180766,6484.436238747703,6419.8896617177315,1518.1766675925444,6429.221236621869,2101.67203393598,6568.730177397567,23619.555289038824,14736.543357857183,6487.797492834006,6514.232660840843,7484.306352405686,1556.107992797502,13374.209133910066,7214.133284561024,5462.3133290432215,7470.545629071756,6186.613138687971,6134.482726795705,12738.87495419083,2537.221966679968,6972.947942438989,4164.378490105236,4663.47799661761,7496.919303989129,7411.372385830144,22467.900262087976,9983.138106674627,6382.950059912817,3901.345854540006,7289.569381965381,3873.3106340876893,6934.640759036299,6974.864782061581,16517.130117774723,7190.12354010768,7139.77254754192,5963.760398988141,35373.62420166427,6273.184467990218,24913.52453802059,6650.023641107535,6377.561836925867,18723.346047521583,23435.051994829715,6525.70105852753,6818.309039932321,20947.56932661491,5240.019774082498,2899.5754169632987,3833.7708578901184,8694.788296121063,5921.131085688971,6633.412887476491,7123.299665930043,6807.741587326447,3798.354258983102,3373.312685302031,6609.573580058827,7352.349025350035,3832.8853060478195,13935.883093087094,5188.743156579461,6071.932049365298,6915.018035955226,6767.782938665386,7151.8174212508375,5831.165855694259,20804.89264890344,5562.427082333995,6395.866867875195,7001.757117222687,7206.7407023374535,10247.596808805334,6840.921147651606,7091.8743122893275,6800.67649366519,7170.870536949935,7116.828809201978,6883.519517916299,17485.633377172693,25373.795913949994,6600.942801363734,18019.80778067625,6897.222579808856,19363.019862151854,6702.815206309596
Stroma_ad_Carcinoma_AGSCC_2_6_no_tumorales.csv,9328.767632903387,0.0,5911.388920265761,12372.742292474606,13882.202523390026,15901.330311141428,8354.780169054064,15120.213214936717,14937.338359683568,13349.765779867095,13359.959283701895,8330.398257232884,11913.293537582664,15382.982417661062,15424.481238001305,10000.805075087317,15693.150248633228,7567.762468415001,15428.29766322094,18460.146909136038,8687.594224263446,4861.8740896583195,15383.92483061924,16710.934623226112,9721.375228577506,6034.530968934312,16072.231915597697,14667.656486886523,16378.502151232844,15191.28214389588,15135.45108323969,5250.950140674732,11388.223245953915,15778.844721583891,13460.971541877147,13751.55728958021,16407.59654412824,16507.14037137877,17321.0604859192,1162.6982025160287,15646.934034418926,13134.274678077329,16160.672583170995,11216.10408886929,15866.666177042682,16174.537637763944,16274.039108671386,16387.798850599367,15977.113732040505,15045.736014333856,33952.3952347261,15394.497402409716,22901.027203626098,15767.995414854524,15405.363717093685,17021.456904216324,19102.400216209386,15331.925443086297,15889.956990714161,23073.580570833812,14419.998463672251,11611.830961440948,12613.326968945385,3518.2753926223113,14943.485439627271,15438.2164967429,15958.529235916081,15933.972142987637,12305.70895107317,12646.112980575434,15447.071259085731,16193.356493840369,12987.246006381538,15255.491987229561,5886.148576400246,14925.685494121595,15843.036457312797,15573.885424747981,16078.68204901667,14850.055529323854,20245.23037455038,6225.938949836406,15233.088671762876,15948.275838518986,16340.582700342651,10173.8824889632,15747.668427644068,15905.581231545664,16017.480177902436,16293.214264467962,16144.289378932172,15944.070219619898,17090.2050019727,27820.50553296167,15745.966578989119,11659.59839935678,15932.658175323035,12273.10381049604,15794.90261820974
Stroma_ad_Carcinoma_AGSCC_2_7_no_tumorales.csv,8967.294213685016,5911.388920265761,0.0,10479.116530448495,10564.595093061847,15630.80837975291,3722.5175527348288,15051.597000281898,14844.908010854177,11148.01453892341,12085.83585587394,8185.148693114294,11433.460353046847,15351.109716675426,15302.415647159516,9392.982749627065,15261.780859220922,7279.126494808905,15426.605294697547,14809.249841314204,5887.289305006945,4027.3653530996257,15371.673465574955,16374.732355176082,8632.952278030594,4906.58441590046,16079.44617077151,14366.039365892764,16336.941159946964,15068.045405691419,15019.05578421645,4365.531530740679,10427.971626775096,15857.819291708776,12897.171288258887,12583.770923696462,16365.118215371778,16316.254014407825,13711.61028549953,5708.267809343127,15247.954907467087,12795.500010051517,16160.156946841387,9428.737717764348,15798.706113687716,15872.21019589341,10497.426830230568,16104.795217323728,16004.903981784379,14856.03249721563,28344.518012970617,15186.144499884622,17591.85888390721,15565.882614693503,15268.667762489798,11268.342584889597,15044.381219720068,15410.891855659744,15721.136163683355,17701.80438640783,14145.401916929564,10490.048368747512,11343.065706711046,3427.208166676677,14800.455503667308,15516.50475197504,15989.251750850222,15722.64497792044,10863.241037330474,12038.528166610555,15474.829683568072,16240.345745676997,12358.06377530688,10591.292768128515,4632.288718375602,14928.874708527414,15778.740765282279,15652.843353803688,16024.820226232734,14707.149887407622,14452.540962453271,4550.350822301131,15261.299717131755,15882.341439385536,16122.127604096584,4657.6064740884985,15706.223249930588,15958.918237936505,15698.453142663073,16081.366220907477,16009.813600245903,15781.032253985184,11281.666658334925,22207.17482750901,15513.049372341047,9180.705827329746,15789.799712521515,10510.497325814402,15617.36163990236
Dysplasia-Stroma_FAAGSCC_13_3_no_tumorales.csv,3936.048223855028,12372.742292474606,10479.116530448495,0.0,19719.214252949507,5741.52003262486,11982.29671256976,6049.940263424693,5574.103272382552,1844.0808817858883,1896.4765530715774,4594.59790613682,2930.2100840487274,5818.3770634198545,5666.8175979480075,2644.9891979848435,5239.139382923172,5653.502439156083,5990.969616239096,23899.442123351822,15100.173339830984,7737.347106137769,6065.588522249849,6366.271705150388,2684.7279038019788,13979.76918627234,6714.937812329919,4537.001875501824,6831.991533539602,5368.400926601196,5806.78949616089,13642.433768258676,1669.601046589861,6981.060656367208,3231.325036287084,2327.9716332933062,6846.548812212316,6546.358700370422,23182.974853247313,12773.309757152803,5210.858674724883,3338.985977547796,7059.66874964581,3066.4115219323694,6199.059741570037,5951.098703774978,17067.403044341845,6131.340337864266,6742.062380048228,5299.237080482478,35570.507309600034,5315.179276454295,24931.06865440612,5649.344877290131,5490.190691241806,18888.56822767608,23431.390517295207,6533.278005876898,5885.2328943007815,21038.084543134577,4900.9565948234,1691.1451697066548,1258.893663870251,10160.305914196708,5205.345900561612,6641.456118397719,6743.703649908192,5805.128097727003,1057.8502874034014,2396.686040855935,6234.707879659538,7333.379447884943,2654.971932567986,13931.328461098743,6729.464665438257,5514.076731862564,6706.410615649437,6720.4550071051,6365.969476023564,5020.408367870009,20992.07400251644,7497.598467575169,6209.170950761526,6227.496568014073,6182.1595471762,10867.220276904281,6218.363049364042,6591.278633349307,5736.200979111928,6218.337009682962,6217.3955779962835,5973.209734448547,18000.21319697242,25152.26088459567,5643.5700396481425,18916.08880603944,6190.059485946581,19744.604231190475,5759.750624113774
Stroma_ad_Carcinoma_FAHNSCC_15_2_no_tumorales.csv,19328.18223459119,13882.202523390026,10564.595093061847,19719.214252949507,0.0,25259.804893200908,8093.486634408439,25362.970921704386,25049.307282771748,18447.55284600325,20903.46741376622,18599.21698674349,20951.730711567387,25465.884066381986,25358.415216937516,19711.958157711757,24294.374902896066,17463.833045607098,25683.90437360451,5000.204652489841,6250.817329424524,13030.206841732876,25636.268764954868,25635.498428412768,18878.05849544455,7939.245135336502,26391.02160719752,23926.23982964467,26513.651981228417,25043.51575793114,25152.42675582646,8716.98379238521,20360.227778720106,26290.10599768669,22247.37515765805,21540.001611595373,26550.969036692153,26222.467388509383,5710.881278186841,13250.50279394962,24283.28557109689,22853.960119166757,26560.22147496657,18270.241030911824,25894.687100816915,25219.431474098863,5503.964868963028,25540.622833755395,26351.73582894336,24958.148020649944,20734.749567065202,24817.53759179586,11410.660792054587,25088.531831743443,25167.334569095474,6908.793407044281,8203.174348738485,25843.17658668954,25486.540703632018,14192.270501572308,24257.539213421136,20842.936393776778,20661.25846023687,11675.534631751867,24879.569333916756,25948.58222416833,26339.715731321136,25261.389543183082,19615.612877403448,21530.6915847042,25826.24612519296,26666.829395399025,22254.114688320027,11608.817874910279,14349.076161039831,25184.641871111802,26011.92972926692,26085.14258338768,26042.693702150933,24708.21139876376,6732.402540968624,14889.589002919292,25612.47171823574,25907.22715449045,25534.634045480605,9158.131167245707,25890.875360401067,26267.284777361387,25100.80866890414,25774.649106046556,25851.253173421825,25597.244680434782,4346.358034577311,17437.042101337243,25287.09177272489,6593.3055988136175,25794.758223814737,4478.900076093394,25243.151987165787
Carcinoma_AGSCC_2_26_no_tumorales.csv,6715.74684821006,15901.330311141428,15630.80837975291,5741.52003262486,25259.804893200908,0.0,17682.3044927614,1658.6384718317654,1243.9897099582083,6926.438638256238,4615.158613541912,7618.184687551185,4748.463913909123,1152.5247415593094,735.3977373194292,6291.033688452672,1490.8080835370813,8423.797695715526,1244.839426992839,29272.4777620261,20794.78321323677,13008.77984322806,1563.281074385719,1102.5116928759007,7104.05016367834,19674.81178090559,1562.2775589985117,1521.128467432433,1613.7688769701658,1353.1649909239609,1177.847079632058,19315.00637785947,5252.475765700305,2281.1574697442416,3066.7260850362513,3961.566374326798,1536.1945462501135,1350.1198868478302,28888.294799139683,16530.244992991597,2548.343477681641,3238.923171178378,2089.4263436456204,7624.287430979828,1090.5276426129465,900.0902787219945,22759.277157184737,788.8158758065256,2680.5805712325905,1152.194039132237,40773.8023176954,834.5732687116549,29849.120840771095,1097.5004077995318,922.0070754298549,24060.427432780492,28360.056156058752,2116.1440076053223,1053.3500418258463,26156.840729519114,2217.9378093736495,5164.6893970619485,4731.571840979956,15020.571786068012,1354.5669199142164,2233.7639289469876,1786.8609384146534,1037.4157450824355,5723.649436501514,3964.0494223650967,1460.4638793141514,2435.1833679375986,3389.910278549376,18679.183211211122,11380.681300871458,1590.9643178384429,1967.4773777514602,1792.3570316413327,969.306722293048,1627.3349488220485,26237.095789363524,11374.340682006252,1963.7483260171507,1044.8746725354258,1311.8167993169661,16556.866151006063,1306.0996643287629,1700.548990172249,902.6411833210414,1269.787430810337,884.9033470282943,667.8085576055203,23625.78416811644,30084.416370698073,711.6604062464194,24587.053551940684,949.7778184632774,25269.764160046656,972.4070408236098
Stroma_ad_Carcinoma_FAHNSCC_15_1_no_tumorales.csv,11421.837847163257,8354.780169054064,3722.5175527348288,11982.29671256976,8093.486634408439,17682.3044927614,0.0,17517.528347582604,17171.694416865783,11370.438124123806,13496.711463287133,10693.779266415702,13351.449432738384,17646.308194052832,17567.885067703435,11752.62818725666,16978.527023502476,9590.494943557322,17806.30198352648,12400.973898631055,4853.341587693492,5686.093778445346,17751.698604672896,18253.070417908264,10972.175456273691,3730.080619393147,18483.095393541586,16317.22722345892,18658.05551544397,17288.781439682585,17373.285722475026,3891.5501975432967,12569.265554286243,18380.37984718976,14743.370851672023,13881.269831892516,18697.62243943511,18463.055609950257,11526.078380544448,8314.174703182727,17016.94482141566,14995.88032013692,18598.540757429662,10883.102054054307,18094.877331753887,17758.82273607396,8521.185068623123,18046.50003625853,18416.041843653074,17090.98873298397,25851.660423091325,17220.537317480994,14722.046185070572,17567.41903577598,17448.964029714916,8810.6422062714,12121.746244851232,17933.53786745055,17840.492566007393,14956.485249311607,16414.493609908677,12948.868087790152,12990.068165160748,5162.480274883602,17063.210909700385,18039.35160914942,18377.88007825068,17724.497913455394,12050.149921781467,13947.960006981313,17864.20582425262,18757.03289563916,14443.295912676263,8049.608416267414,6486.402028352566,17306.76669744539,18153.587205342315,18175.535706100258,18270.185443260183,16961.46753311334,12417.39132613045,6996.1190491389225,17653.045622392845,18136.16095684418,18059.135074509217,2095.277990041022,18028.48210421206,18348.329698982052,17623.82318760108,18186.00265616384,18183.92089535752,17939.308553394036,9343.683546299122,19505.32634785305,17602.379157123974,8029.8537563822865,18004.94073923852,8109.238802205192,17639.084278947965
Carcinoma_AGSCC_2_28_no_tumorales.csv,6183.658317565542,15120.213214936717,15051.597000281898,6049.940263424693,25362.970921704386,1658.6384718317654,17517.528347582604,0.0,534.2520109989334,7528.325300678584,5472.826289586717,6981.110803689939,6116.462689399957,731.7719383867908,1296.557650140992,5858.236440254519,2326.879816410704,8005.63845258418,954.1112765331478,29643.989045920247,20760.31257034702,12611.33280137889,398.9091621548858,2293.5402146685606,6628.629640161607,19443.50411162016,1475.8044812390524,2132.411685146235,1374.4875396864572,1992.405732502032,972.9372174211644,18894.05442678244,5041.4387607607905,1017.0184828070364,3233.351740933403,4466.373024404008,1338.189012001935,2052.2314710933138,28586.072318956514,15764.843202014228,3640.361480084767,3878.4666616974087,1389.0896165142954,8713.92634545477,1381.1801668722683,1766.5976153998963,22541.49043294411,2077.661714398084,2553.461565010669,1549.3636871810895,41387.277853884734,1607.2261649817547,30932.04284477463,1818.2209434359654,1413.0538093280697,24743.998361660353,29458.08692683934,493.1484744722432,1866.612354111889,26941.570553503847,2537.812634618828,4633.496176208293,5246.666918673344,14744.95290485765,1827.7102036562592,1719.1833098669672,1370.630106500094,1949.5859001866027,5983.801044810135,5100.128655438461,1037.7818156278765,1364.415729516847,4187.768672602557,19944.518121423585,11228.881882796437,1609.3876783333267,777.0252991756837,754.9092073110487,1634.836126414505,2245.3564661854825,26805.469327013237,11587.65612086067,1579.5775873793077,1233.2825565578428,2501.04123588977,16312.326886446017,830.9429925694674,962.0710289951087,2030.7476977317247,2350.804687613781,1355.0357920420242,1810.1157242316056,23561.934399369467,31161.3559095339,1379.68578128692,24155.31999580063,1330.8581773732546,25388.001213424643,1932.0315018991444
Carcinoma_AGSCC_2_38_no_tumorales.csv,5984.020008612258,14937.338359683568,14844.908010854177,5574.103272382552,25049.307282771748,1243.9897099582083,17171.694416865783,534.2520109989334,0.0,7081.275561481316,5007.096884809275,6776.565023860916,5645.720872225757,561.4474505070741,869.8834170980608,5481.602748951342,1896.6715125095911,7782.171271484141,751.2707396084081,29265.597036242285,20433.339417691583,12402.915659534438,596.9818722254497,2022.847652739054,6428.8438686101845,19197.081795242742,1380.061298331655,1700.3914308787103,1521.2348967557,1546.7525158625563,765.5456336315559,18680.266932212744,4745.135512221725,1438.2004035747113,2892.0608782671216,4006.940241922255,1569.5862280540493,1724.8019795170542,28355.702674815886,15573.877116785412,3171.2547268195494,3470.1000487087604,1601.7353739439986,8233.228787429069,1127.7300947918272,1411.3307293840435,22291.82247710407,1657.020337714374,2394.7944931956395,1089.1360623247042,40981.29707837493,1170.365494885587,30444.251447664108,1529.0152506543009,1065.0616043899793,24307.140084776514,28968.51535061636,982.6252107575161,1421.4828377756116,26471.547277651567,2214.8332535200875,4437.924470950287,4781.406937380335,14418.07965657105,1361.8421847382856,1608.2503339549232,1374.0151292811859,1667.2120141966097,5594.210065632922,4625.36896860957,1032.1101303747305,1838.0497002784823,3725.601912833862,19458.454315554318,10780.226598672536,1201.125460383729,1174.220221620525,1203.0684261810986,1297.6161637319985,1757.3546306943445,26407.740889922672,11178.716618610342,1592.2160527354713,1210.9560674565307,2085.225580714204,16056.565182216613,887.0978744256984,1228.592620356161,1598.265893279768,1910.0331945605863,1241.6323520351389,1371.5682830600897,23310.683312733596,30683.291567314536,1025.7686814438723,23947.38648480464,1105.7415595448679,25081.279982369404,1511.3817420953274
Dysplasia-Stroma_FAAGSCC_13_6_no_tumorales.csv,5076.668797697617,13349.765779867095,11148.01453892341,1844.0808817858883,18447.55284600325,6926.438638256238,11370.438124123806,7528.325300678584,7081.275561481316,0.0,2651.0354170919672,5710.700626130557,3729.744585966712,7259.4590021494505,7046.912571261446,3786.7373582481987,5921.298655819622,6747.030897881924,7358.108120856695,22540.050756918085,15004.118671621707,8642.843593839967,7402.749908891944,7309.727766296972,3731.572739472855,13721.727694184185,8140.345777089092,5730.139525843904,8177.62734828403,6633.285299991067,7140.576228508553,13711.280332852122,3004.8910079849843,8460.287313182946,4413.584830245271,3216.536267948588,8196.251089348098,7815.0358477184,22367.69076403637,13729.334969922731,5940.353775265612,4619.476347993006,8471.054513145744,3253.523874215166,7522.320610446088,6824.393382418715,16265.651001326229,7122.407443179159,8181.369422090649,6627.375640482467,34126.59893167375,6482.611866182586,23465.81760014864,6783.789028726074,6786.442017677089,17449.73417113551,22029.92915920092,8012.41025906658,7069.718966900691,19594.043200108325,6226.994608646385,3213.331903717951,2426.6841991850706,10950.12173947957,6527.276538017384,8099.864902574051,8161.842512452512,6853.574441464154,1763.0033362952545,3450.1991965678294,7634.830620192298,8710.866907424956,3974.531587650568,12487.851624302662,7663.351745446564,6890.7253184216,8156.387253609107,8099.633049126745,7653.152488184267,6300.295337534926,19549.728390141376,8350.479247147327,7571.207641635397,7494.584174323627,7147.52642724627,10313.346605027005,7599.573560764826,7959.179699823813,6675.642427110627,7367.571739175223,7442.512669514824,7184.226995908783,16910.944163905973,23744.215090179285,6875.369040083168,18946.069670048906,7456.976866742617,18539.186916445247,6824.424064059935
