dimension,birth,death
1,286.47114585020086,514.2872806531113
1,272.76625111660155,499.18089718869555
1,292.0369508868811,460.9712817330231
1,241.26621909461713,382.61438317352804
1,221.4611479491572,338.66846857642525
1,257.97901893927906,364.16399800192295
1,170.6518990183954,276.68874846037033
1,269.48844340016495,337.86390819927743
1,201.18779429308805,269.1299415544308
1,506.9780867327697,573.7683137740796
1,193.43164351548668,258.351521669462
1,191.793428112935,250.82203520416783
1,151.12086671804022,209.39795198553048
1,276.55613216839157,332.41900378215166
1,257.33370075333346,311.05794610026805
1,371.69210715045347,420.50617875252374
1,127.43832950364617,158.07998021698424
1,183.51318541095273,211.54184591056847
1,212.50072269608745,236.55772641926768
1,421.58223081366054,444.24989566281147
1,189.33684374968507,210.91537947907355
1,117.66231624570865,138.59703062749708
1,216.56761546873446,233.30764307673115
1,370.82687342237244,386.71131177584914
1,263.0120070306624,278.8946639029545
1,340.2073985831759,355.4657166262873
1,168.6198138577831,179.4913144573506
1,255.09109169578252,264.0222009314762
1,383.5014312732717,390.2239323893283
1,118.81770925611278,123.16838702169662
1,228.57409962827035,232.8049723718341
1,177.49302657384465,181.39616764110454
1,143.02388586058817,145.07884991960924
1,133.1964669852316,133.48606961624623
0,0.0,inf
0,0.0,242.7350747536821
0,0.0,237.52729303100512
0,0.0,236.27208911637192
0,0.0,231.77476769217017
0,0.0,219.96186853317278
0,0.0,219.2668111991268
0,0.0,217.5573586031832
0,0.0,216.90254988688991
0,0.0,211.86021094281952
0,0.0,209.01130112105017
0,0.0,208.55179486397554
0,0.0,206.9236724573861
0,0.0,206.31646973185977
0,0.0,201.18210064777193
0,0.0,201.06489033319812
0,0.0,199.27661795078018
0,0.0,198.94509104354336
0,0.0,191.49557489319503
0,0.0,184.0906252409183
0,0.0,183.05814781990802
0,0.0,183.02644201102385
0,0.0,181.58762373197953
0,0.0,180.15623399581477
0,0.0,173.86969837614123
0,0.0,172.79484801337165
0,0.0,170.9307681306875
0,0.0,165.24991602868127
0,0.0,165.06207279047513
0,0.0,164.7244909841417
0,0.0,164.60684147660524
0,0.0,162.68735297224973
0,0.0,162.65378634602854
0,0.0,162.27358884769336
0,0.0,162.0190525489447
0,0.0,161.3731161160326
0,0.0,161.36169101140317
0,0.0,157.92092303860935
0,0.0,153.79413986062582
0,0.0,150.6716942810617
0,0.0,149.11458295156186
0,0.0,147.14708576427884
0,0.0,143.9071796448526
0,0.0,143.52308737659965
0,0.0,143.27802786495397
0,0.0,141.91368014499704
0,0.0,140.3348035284274
0,0.0,140.30245316086283
0,0.0,140.10483151274764
0,0.0,139.62979001603884
0,0.0,138.01487686130818
0,0.0,136.85098781984226
0,0.0,136.63422485475613
0,0.0,134.19221316576588
0,0.0,133.9063751438286
0,0.0,133.8838663089308
0,0.0,133.40966242285737
0,0.0,132.74277362189184
0,0.0,130.64000492904353
0,0.0,129.9023323322006
0,0.0,129.30476260267255
0,0.0,127.9237083951442
0,0.0,126.5991930384797
0,0.0,124.95522761570018
0,0.0,124.94680985243767
0,0.0,123.88991113917126
0,0.0,122.57520644861602
0,0.0,121.47908016277026
0,0.0,121.20401898508008
0,0.0,120.4230506125325
0,0.0,119.46743094191368
0,0.0,119.08340264460391
0,0.0,118.95452981018072
0,0.0,118.69598560816729
0,0.0,116.55044291869095
0,0.0,116.20381663638457
0,0.0,115.38014442236448
0,0.0,115.30458938945134
0,0.0,114.48743468979603
0,0.0,114.3463081294589
0,0.0,113.7014337666772
0,0.0,112.15915430193698
0,0.0,111.86112115112068
0,0.0,110.18283230720014
0,0.0,108.0675765808143
0,0.0,108.01151873765603
0,0.0,107.91301688297666
0,0.0,105.22937026110179
0,0.0,103.70145723069162
0,0.0,103.01211992677175
0,0.0,102.33756057121735
0,0.0,102.24462621293925
0,0.0,101.27741996041904
0,0.0,100.84823875177618
0,0.0,100.14674046586079
0,0.0,99.52443018277373
0,0.0,97.90747428661035
0,0.0,97.12896337880365
0,0.0,97.06642205870763
0,0.0,96.6326255712745
0,0.0,94.3141068728894
0,0.0,92.50575361579797
0,0.0,91.84760818736707
0,0.0,91.01865895314943
0,0.0,90.51269259548357
0,0.0,90.50729719536938
0,0.0,89.02502893507851
0,0.0,88.7618218032657
0,0.0,87.30757837231117
0,0.0,85.6299700371159
0,0.0,85.1455162057124
0,0.0,84.0832877300014
0,0.0,83.68907651698049
0,0.0,82.70258915000217
0,0.0,82.30681200530218
0,0.0,79.3699588074846
0,0.0,78.97951246568843
0,0.0,78.85059436937324
0,0.0,77.58131461979434
0,0.0,77.17601687891752
0,0.0,75.9887330579105
0,0.0,75.1901739414177
0,0.0,75.04700090254754
0,0.0,74.6033757216482
0,0.0,74.32020310212759
0,0.0,74.04822215930321
0,0.0,74.0376507042978
0,0.0,73.231546588319
