cellID,Hoechst_1,CD4,FOXP3,PD-L1,Vimentin,Hoechst_2,IBA1,SOX2,PD-1,Hoechst_3,CD163,PAN-CK,gH2AX,Hoechst_4,TIM3,CD11c,CD8a,Hoechst_5,E-cadherin,CD66b,CD20,Hoechst_6,Ki67,p-S6,CD31,Hoechst_7,CD45RO,HLA-DBP1,NKG2A,CD45_2,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,Sample,Condition,Replicate,phenotype
25,2757.75291828794,1447.72568093385,369.877431906615,613.352140077821,43.9377431906615,4613.44941634241,642.375486381323,193.356031128405,888.593385214008,2756.85992217899,807.698443579767,228.86186770428,1006.05836575875,3677.98638132296,418.009727626459,287.046692607004,5415.3560311284,2962.08754863813,549.865758754864,179.083657587549,1634.2859922179,2290.38521400778,224.22373540856,400.54280155642,514.682879377432,562.455252918288,298.943579766537,384.673151750973,971.519455252918,268.155642023346,3573.62062256809,5187.00778210117,514,26.8592903702589,24.9246804713691,0.372648899686521,0.958955223880597,0.67989417989418,-1.05583086225738,FAHNSCC_14,HN,1,effector CD8+ T cells
39,2929.88524590164,1275.88797814208,343.153005464481,619.008196721312,121.792349726776,4827.32786885246,598.16393442623,186.521857923497,847.204918032787,3301.22677595628,628.554644808743,183.021857923497,987.693989071038,5650.98087431694,394.491803278689,335.172131147541,967.404371584699,4299.8306010929,529.005464480874,171.934426229508,731.901639344262,3076.22404371585,269.352459016393,1180.31420765027,557.472677595628,949.527322404372,366.013661202186,153.521857923497,1003.66120218579,277.699453551913,3465.99726775956,5725.34972677596,366,23.3399508742554,20.0142029864944,0.514470031466675,0.968253968253968,0.795652173913043,-1.29519915741415,FAHNSCC_14,HN,1,stromal cells
73,2114.57947019868,1354.42052980132,370.145695364238,623.281456953642,170.788079470199,3876.05960264901,512.298013245033,197.639072847682,859.582781456954,2347.12251655629,775.215231788079,182.73178807947,992.658940397351,3346.40066225166,438.456953642384,157.602649006623,1181.88741721854,3117.3642384106,583.615894039735,179.778145695364,779.367549668874,2395.17549668874,287.764900662252,1971.01324503311,708.211920529801,807.460264900662,398.950331125828,146.685430463576,1000.86754966887,277.546357615894,3685.73509933775,5560.38741721854,302,20.2320686611294,19.0506494841563,0.336715015136242,0.967948717948718,0.794736842105263,-1.0761352345943,FAHNSCC_14,HN,1,stromal cells
81,2310.99024390244,1436.16097560976,399.192682926829,626.585365853659,91.5634146341463,4019.85365853659,750.656097560976,223.041463414634,879.343902439024,2172.42926829268,886.79512195122,229.460975609756,1009.18292682927,2742.07317073171,460.748780487805,644.546341463415,1470.5,2069.97073170732,605.268292682927,189.314634146341,5037.9487804878,1260.39756097561,199.724390243902,287.029268292683,527.565853658537,446.078048780488,252.441463414634,297.348780487805,937.324390243902,263.756097560976,3670.47804878049,4819.03170731707,410,25.827637834012,20.2610297999684,0.620165653045309,0.964705882352941,0.775047258979206,-0.77351093624619,FAHNSCC_14,HN,1,B cells
82,2305.93759512938,1497.79908675799,537.65296803653,629.783866057839,213.748858447489,4635.97716894977,1386.21917808219,209.945205479452,1002.62404870624,2599.8599695586,1501.10806697108,188.980213089802,1012.95738203957,4034.83561643836,560.563165905632,589.103500761035,1077.71080669711,3136.86757990868,517.592085235921,183.907153729072,915.619482496195,2302.89193302892,15522.3272450533,381.334855403349,482.972602739726,522.219178082192,321.706240487062,155.558599695586,974.213089802131,269.071537290715,3335.28767123288,5099.69254185693,657,30.882758336168,27.2615738214086,0.469854009825456,0.973333333333333,0.782142857142857,0.558170114117454,FAHNSCC_14,HN,1,M2 macrophages
100,2624.03937007874,1026.37637795276,327.207874015748,634.206299212598,483.565354330709,5208.57795275591,554.222047244095,206.842519685039,861.664566929134,3353.27401574803,563.647244094488,150.40157480315,1016.01417322835,3976.75433070866,410.267716535433,184.48188976378,1217.34015748032,2877.87401574803,538.011023622047,178.296062992126,1169.53543307087,1502.69291338583,17857.1795275591,2710.64566929134,774.025196850394,497.146456692913,282.100787401575,283.611023622047,967.685039370079,268.251968503937,3755.91496062992,5751.16850393701,635,34.4553813525305,23.642714551299,0.727428477001706,0.965045592705167,0.712682379349046,-0.457435051563392,FAHNSCC_14,HN,1,stromal cells
103,3052.72274881517,1767.68720379147,712.872037914692,624.556872037915,144.509478672986,6175.11611374408,718.068720379147,226.42654028436,1074.00236966825,3155.97867298578,884.023696682464,244.857819905213,1007.7654028436,4355.68246445498,521.983412322275,282.739336492891,2576.62085308057,3269.42417061611,574.682464454976,190.774881516588,866.31990521327,2350.4644549763,271.789099526066,476.116113744076,491.917061611374,498.504739336493,320.995260663507,285.412322274882,965.265402843602,267.618483412322,3379.3672985782,5130.80331753555,422,28.4643579639714,18.9058030822635,0.747561896688779,0.95475113122172,0.727586206896552,-1.48032835956489,FAHNSCC_14,HN,1,effector CD8+ T cells
148,2566.86052631579,1964.35,697.886842105263,622.786842105263,78.4815789473684,4475.33157894737,829.184210526316,219.481578947368,971.523684210526,2298.37368421053,1011.34473684211,196.765789473684,999.802631578947,2983.81578947368,572.41052631579,312.168421052632,1233.10526315789,2567.40526315789,641.002631578947,193.323684210526,2089.24736842105,2153.73947368421,447.097368421053,617.352631578947,551.276315789474,490.965789473684,334.771052631579,307.789473684211,953.53947368421,267.768421052632,3950.5052631579,4928.64473684211,380,23.2942720901764,20.9347155975836,0.438550434432178,0.952380952380952,0.753968253968254,0.431876587745692,FAHNSCC_14,HN,1,B cells
151,2028.11173184358,1410.10335195531,383.050279329609,616.824022346369,51.1927374301676,3663.35195530726,920.167597765363,197.039106145251,855.675977653631,2301.58100558659,859.857541899441,217.441340782123,992.284916201117,3333.13687150838,486.438547486034,463.606145251397,1200.68715083799,2940.83798882682,637.075418994413,183.606145251397,1033.09217877095,2946.58379888268,261.938547486034,1300.33240223464,677.59217877095,933.874301675978,425.237430167598,244.016759776536,1010.44972067039,277.016759776536,3666.33519553073,4971.24301675978,358,22.1708514137333,20.5850493347385,0.371398504103185,0.980821917808219,0.811791383219955,0.827607927122232,FAHNSCC_14,HN,1,M1/M0 macrophages
157,2048.97464788732,1578.15774647887,396.07323943662,618.661971830986,173.921126760563,3567.61690140845,1021.28732394366,191.619718309859,876.876056338028,1864.32957746479,1268.27323943662,177.960563380282,1004.75774647887,2408.11549295775,566.211267605634,575.095774647887,1111.82253521127,2013.03661971831,581.408450704225,182.585915492958,3099.12112676056,1594.54366197183,249.569014084507,1094.37464788732,682.259154929577,503.901408450704,326.335211267606,462.208450704225,979.05352112676,269.63661971831,3934.30704225352,4840.58309859155,355,24.5431510964521,18.4404081281241,0.659908018508641,0.969945355191257,0.778508771929825,-1.40769032565917,FAHNSCC_14,HN,1,B cells
