CellID,Hoechst_1,CD4,FOXP3,PD-L1,Vimentin,Hoechst_2,IBA1,SOX2,PD-1,CD45,Hoechst_3,CD163,PAN-CK,gH2AX,Hoechst_4,TIM3,CD11c,CD8a,Hoechst_5,E-cadherin,CD66b,CD20,Hoechst_6,Ki67,p-S6,CD31,Hoechst_7,CD45RO,HLA-DBP1,NKG2A,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,Sample,Condition,Replicate,imageid,phenotype,Delete,TDA
3,2491.30473047305,106.096809680968,38.1837183718372,345.380638063806,79.8701870187019,1414.16281628163,210.638063806381,330.696369636964,309.611661166117,107.25302530253,2287.66556655666,316.468646864687,17.5577557755776,246.904290429043,2249.15401540154,533.612761276128,100.951595159516,144.635863586359,1707.89548954895,537.245324532453,217.819581958196,193.501650165017,1455.27282728273,196.711771177118,50.9284928492849,895.882288228823,1606.16611661166,769.557755775578,151.089108910891,248.951595159516,17147.1507150715,6242.54345434544,909,38.6709473961686,30.0090421759822,0.630720594541097,0.962923728813559,0.776923076923077,0.024495072298059,F29P1,HN,1,F29P1,stromal cells,,stroma_ad_HG_dysplasia_F29P1_1
5,2973.39655172414,173.514367816092,62.8505747126437,345.597701149425,47.5862068965517,2125.03735632184,238.775862068966,354.933908045977,310.58908045977,108.103448275862,3658.12931034483,362.431034482759,18.3390804597701,244.609195402299,3753.72988505747,587.681034482759,107.57183908046,129.919540229885,2769.01724137931,583.781609195402,227.497126436782,185.362068965517,2088.17816091954,210.025862068966,54.2586206896552,974.727011494253,2859.98275862069,844.658045977012,157.502873563218,253.26724137931,16334.0862068966,5972.83908045977,348,21.3626958388856,20.8138641627387,0.225215929524589,0.980281690140845,0.828571428571429,-1.53865199074567,F29P1,HN,1,F29P1,stromal cells,,stroma_ad_HG_dysplasia_F29P1_1
47,2675.87377279102,194.740532959327,78.3899018232819,478.238429172511,657.384291725105,1849.17391304348,261.238429172511,400.901823281907,315.215988779804,106.77840112202,3321.62272089762,345.760168302945,18.3702664796634,706.653576437588,3390.23702664797,820.991584852735,108.861150070126,148.670406732118,2657.39130434783,573.712482468443,224.322580645161,146.01683029453,2053.88218793829,203.798036465638,53.3534361851332,833.847124824684,2495.43197755961,884.122019635344,156.598877980365,257.520336605891,16623.3338008415,7083.89340813464,713,32.6204456835439,27.9987132011565,0.513118253701996,0.975376196990424,0.771645021645022,1.3789042415462,F29P1,HN,1,F29P1,stromal cells,,stroma_ad_HG_dysplasia_F29P1_1
52,2723.44591346154,166.847355769231,60.2740384615385,345.295673076923,53.1201923076923,1714.91947115385,225.895432692308,350.674278846154,308.867788461538,106.985576923077,2884.26802884615,342.502403846154,17.3737980769231,263.552884615385,2823.75841346154,564.328125,109.894230769231,140.336538461538,2106.01081730769,560.489182692308,249.467548076923,212.028846153846,1754.67668269231,208.388221153846,54.609375,851.671875,2162.9375,825.661057692308,156.372596153846,249.566105769231,16874.2319711538,5685.83052884615,832,36.8958880699157,28.7687708616521,0.626117928734234,0.975381008206331,0.803088803088803,1.43404801415721,F29P1,HN,1,F29P1,stromal cells,,stroma_ad_HG_dysplasia_F29P1_1
299,2127.28922237381,154.578444747613,68.6343792633015,453.68758526603,659.785811732606,1287.75306957708,230.650750341064,339.229195088677,302.260572987722,106.769440654843,1979.13642564802,324.088676671214,21.31241473397,247.882673942701,2081.22237380628,587.388813096862,100.514324693042,155.773533424284,1573.15006821282,534.825375170532,217.634379263302,187.646657571623,1253.85948158254,197.465211459754,51.0095497953615,835.721691678035,1417.62210095498,778.133697135061,151.589358799454,244.728512960437,17213.8526603001,6155.69440654843,733,32.4744043339406,28.7710519723914,0.46375997234552,0.96957671957672,0.789870689655172,-0.10844278626503,F29P1,HN,1,F29P1,stromal cells,,stroma_ad_HG_dysplasia_F29P1_1
344,1705.05963302752,195.940366972477,50.4243119266055,485.447247706422,1576.01376146789,1126.82339449541,400.362385321101,334.162844036697,424.167431192661,108.128440366972,1985.96100917431,479.951834862385,18.2545871559633,1214.54587155963,1978.45642201835,681.316513761468,142.350917431193,215.371559633028,1464.4128440367,552.057339449541,221.050458715596,168.360091743119,1198.50458715596,1101.4380733945,70.4862385321101,1015.43577981651,1442.30733944954,885.387614678899,196.908256880734,269.674311926606,15525.9541284404,6849.43577981651,436,24.3356376754887,22.9176431689605,0.33636478903538,0.960352422907489,0.726666666666667,0.101868334781951,F29P1,HN,1,F29P1,stromal cells,,stroma_ad_HG_dysplasia_F29P1_1
356,2225.6473880597,191.957089552239,75.8115671641791,505.378731343284,935.680970149254,1312.59141791045,275.083955223881,334.582089552239,323.845149253731,106.546641791045,2393.76865671642,333.40671641791,21.8638059701493,285.727611940299,2453.9328358209,575.14552238806,121.457089552239,224.47947761194,1813.83395522388,546.936567164179,211.660447761194,182.283582089552,1519.61380597015,200.507462686567,54.9235074626866,923.253731343284,1821.77798507463,808.210820895522,153.529850746269,257.063432835821,15072.5708955224,6143.9197761194,536,36.1297227960084,18.9243594273843,0.851847903067307,0.95373665480427,0.705263157894737,-1.55477030582694,F29P1,HN,1,F29P1,stromal cells,,stroma_ad_HG_dysplasia_F29P1_1
389,2005.3880171184,177.69757489301,84.1825962910128,551.299572039943,1578.86162624822,1173.1940085592,253.379457917261,353.767475035663,297.46790299572,107.035663338088,2051.82738944365,356.689015691869,21.2382310984308,241.815977175464,2125.74893009986,666.199714693295,110.16547788873,117.81455064194,1623.7817403709,563.323823109843,243.273894436519,147.626248216833,1425.34094151213,211.219686162625,55.281027104137,4316.15549215407,1723.4907275321,824.410841654779,159.850213980029,250.985734664765,16241.6262482168,5729.89443651926,701,34.5826324377707,26.1178433458878,0.655459812880829,0.966896551724138,0.755387931034483,-0.997554224590146,F29P1,HN,1,F29P1,endothelial cells,,stroma_ad_HG_dysplasia_F29P1_1
634,1785.72824156306,240.36323268206,57.2317939609236,397.286856127886,309.123445825933,1062.3703374778,225.882770870337,347.976909413854,298.583481349911,106.376554174068,1690.40142095915,1555.29662522202,19.0754884547069,258.412078152753,1677.64120781528,658.885435168739,103.504440497336,104.626110124334,1295.35257548845,543.033747779751,215.01865008881,145.785968028419,1065.23623445826,202.179396092362,67.3170515097691,836.976909413854,1255.32504440497,776.448490230906,173.837477797513,250.16785079929,17524.9245115453,6231.24511545293,1126,41.934624910138,34.8221761652479,0.557179649046557,0.964867180805484,0.765986394557823,0.0492165436919621,F29P1,HN,1,F29P1,M2 macrophages,,stroma_ad_HG_dysplasia_F29P1_1
665,1338.99034749035,148.025096525097,70.5559845559846,478.015444015444,825.366795366795,937.511583011583,278.117760617761,324.951737451738,429.706563706564,108.598455598456,1635.55598455598,352.928571428571,17.4189189189189,775.656370656371,1641.42857142857,569.687258687259,126.554054054054,217.725868725869,1197.72393822394,535.855212355212,213.550193050193,180.019305019305,961.123552123552,199.129343629344,61.5945945945946,922.245173745174,1147.78957528958,765.057915057915,160.642857142857,261.824324324324,16130.7934362934,7394.37837837838,518,27.1570953834368,24.3411528715136,0.443429725392546,0.979206049149338,0.830128205128205,0.433109493302453,F29P1,HN,1,F29P1,stromal cells,,stroma_ad_HG_dysplasia_F29P1_1
708,1962.32214765101,139.885906040268,51.0872483221477,347.097315436242,56.7013422818792,1344.27852348993,239.43288590604,328.328859060403,307.345637583893,107.580536912752,2284.46644295302,326.442953020134,17.8624161073826,253.345637583893,2343.68791946309,547.090604026846,107.174496644295,130.822147651007,1726.68456375839,542.58389261745,216.406040268456,203.647651006711,1391.69127516779,200.520134228188,52.1006711409396,948.828859060403,1797.02684563758,787.191275167785,202.956375838926,250.546979865772,15995.1040268456,6168.59395973154,298,22.9719524230466,16.5428618077051,0.693836012732809,0.952076677316294,0.762148337595908,1.39616439597192,F29P1,HN,1,F29P1,stromal cells,,stroma_ad_HG_dysplasia_F29P1_1
737,1916.81699346405,282.418300653595,80.8562091503268,389.0,332.359477124183,1340.3954248366,388.71568627451,363.614379084967,320.650326797386,109.31045751634,2419.49346405229,506.581699346405,18.2450980392157,477.954248366013,2485.68954248366,664.957516339869,444.460784313726,340.359477124183,1865.14052287582,565.866013071895,277.493464052288,159.598039215686,1491.76470588235,207.830065359477,70.9803921568628,1022.16666666667,1799.16993464052,871.522875816994,192.807189542484,255.032679738562,16180.5882352941,6962.01960784314,306,22.2228883032444,17.5238241240921,0.614972635278426,0.980769230769231,0.818181818181818,1.55498455029394,F29P1,HN,1,F29P1,other APCs,,stroma_ad_HG_dysplasia_F29P1_1
779,2003.7753164557,168.381329113924,64.0854430379747,348.794303797468,73.9920886075949,1374.2246835443,228.814873417722,345.178797468354,308.267405063291,109.284810126582,2345.57278481013,341.882911392405,18.243670886076,250.123417721519,2407.03164556962,573.960443037975,106.113924050633,164.389240506329,1825.67405063291,568.740506329114,221.738924050633,176.444620253165,1455.83386075949,205.379746835443,51.4588607594937,916.223101265823,1749.07911392405,815.887658227848,154.520569620253,257.401898734177,16924.045886076,6944.38449367089,632,29.2078247645063,27.5937549146953,0.327825064345769,0.967840735068913,0.778325123152709,-0.4662241445384,F29P1,HN,1,F29P1,stromal cells,,stroma_ad_HG_dysplasia_F29P1_1
929,1659.32148377125,155.669242658423,51.8778979907264,344.989180834621,48.4204018547141,1069.20092735703,202.361669242658,336.472952086553,308.069551777434,107.737248840804,1732.76197836167,321.06027820711,17.1993817619784,251.440494590417,1798.29057187017,547.633693972179,101.466769706337,146.077279752705,1347.38330757342,536.67542503864,219.364760432767,191.261205564142,1122.73106646059,203.012364760433,52.12828438949,901.023183925811,1394.03091190108,796.663060278207,154.304482225657,242.975270479134,16949.2132921175,5697.19010819165,647,30.0584730313755,27.5357511841934,0.401011877267536,0.972932330827068,0.826309067688378,0.23258532902296,F29P1,HN,1,F29P1,stromal cells,,stroma_ad_HG_dysplasia_F29P1_1
974,2948.8446866485,203.242506811989,68.0217983651226,350.692098092643,36.7275204359673,1997.92098092643,278.215258855586,415.119891008174,314.463215258856,107.520435967302,3040.10354223433,397.940054495913,22.133514986376,282.602179836512,3163.50408719346,639.365122615804,123.356948228883,113.111716621253,2176.06267029973,657.539509536785,253.040871934605,148.100817438692,1847.84741144414,226.201634877384,58.1607629427793,829.076294277929,2331.75476839237,930.762942779292,166.040871934605,264.217983651226,16881.340599455,6163.76021798365,367,28.3952995367597,16.6109221708056,0.811041624811851,0.95822454308094,0.771008403361345,-1.50799225076131,F29P1,HN,1,F29P1,stromal cells,,stroma_ad_HG_dysplasia_F29P1_1
1123,1212.15131578947,147.921052631579,58.3662280701754,340.521929824561,64.1315789473684,835.274122807018,365.388157894737,323.453947368421,391.052631578947,107.620614035088,1465.76315789474,333.513157894737,17.6293859649123,2122.09210526316,1523.55701754386,548.947368421053,114.392543859649,225.589912280702,1126.88815789474,570.063596491228,213.032894736842,214.767543859649,959.344298245614,198.890350877193,60.6052631578947,1522.96710526316,1136.36842105263,784.339912280702,150.515350877193,274.385964912281,15625.7302631579,6959.94956140351,456,25.8352819428687,22.5038017671382,0.491195770036556,0.970212765957447,0.76,-0.860190181778736,F29P1,HN,1,F29P1,stromal cells,,stroma_ad_HG_dysplasia_F29P1_1
1134,2873.42133333333,160.058666666667,55.64,354.344,128.704,1988.94933333333,227.234666666667,348.602666666667,292.914666666667,107.096,3334.912,345.970666666667,17.9173333333333,251.584,3382.896,569.88,107.397333333333,117.285333333333,2421.928,556.016,225.290666666667,187.274666666667,1885.90666666667,207.544,51.8746666666667,916.08,2492.91466666667,825.061333333333,157.618666666667,247.226666666667,16447.9306666667,6024.53333333333,375,23.8813824463512,20.2287142669908,0.531513931109016,0.968992248062015,0.77639751552795,-1.03969901727504,F29P1,HN,1,F29P1,stromal cells,,stroma_ad_HG_dysplasia_F29P1_1
1153,2206.3591160221,311.301104972376,93.5441988950276,767.756906077348,3323.06629834254,1469.79834254144,323.903314917127,360.599447513812,314.632596685083,108.845303867403,2663.35082872928,367.082872928177,26.1077348066298,761.046961325967,2629.8729281768,658.174033149171,122.671270718232,1076.05801104972,1987.29005524862,569.149171270718,287.527624309392,149.060773480663,1602.3729281768,207.889502762431,57.8453038674033,3395.65745856354,1804.61049723757,824.491712707182,163.39226519337,262.317679558011,16868.0193370166,7243.0635359116,362,21.8671396042865,21.0841685678382,0.265197282056369,0.967914438502674,0.783549783549784,-1.08198734517626,F29P1,HN,1,F29P1,effector CD8+ T cells,,stroma_ad_HG_dysplasia_F29P1_1
1275,1727.80306345733,152.877461706783,51.6542669584245,344.146608315099,62.1028446389497,1169.84463894967,210.387308533917,330.855579868709,300.929978118162,109.522975929978,1863.60393873085,332.288840262582,17.5295404814004,246.949671772429,1958.4704595186,555.507658643326,105.074398249453,129.135667396061,1455.63238512035,546.251641137856,219.028446389497,175.177242888403,1182.90371991247,203.374179431072,52.964989059081,912.398249452954,1591.08096280088,803.588621444201,155.074398249453,244.680525164114,16337.9671772429,5613.91684901532,457,25.3043999063738,23.085735153242,0.409475777913445,0.962105263157895,0.764214046822743,-0.1958186134163,F29P1,HN,1,F29P1,stromal cells,,stroma_ad_HG_dysplasia_F29P1_1
1293,1228.06146572104,262.730496453901,96.2033096926714,555.113475177305,1111.3073286052,806.047281323877,286.078014184397,317.765957446809,425.491725768322,107.309692671395,1487.68557919622,419.855791962175,20.8723404255319,696.931442080378,1463.94562647754,558.683215130024,126.328605200946,240.992907801418,1093.5011820331,528.047281323877,208.0,178.338061465721,931.673758865248,194.082742316785,85.8699763593381,817.888888888889,1102.08747044917,758.16548463357,156.468085106383,254.203309692671,14783.6879432624,6459.28605200946,423,27.0855582612645,20.2171849064858,0.665475880571489,0.954853273137698,0.705,0.9504658407593,F29P1,HN,1,F29P1,stromal cells,,stroma_ad_HG_dysplasia_F29P1_1
1351,1458.41328413284,107.911439114391,46.2509225092251,341.963099630996,128.014760147601,1026.53505535055,242.217712177122,314.734317343173,320.586715867159,106.154981549816,1857.0442804428,313.726937269373,17.3210332103321,274.339483394834,1863.45387453875,550.667896678967,103.535055350554,153.479704797048,1427.63468634686,519.546125461255,209.468634686347,247.760147601476,1126.09963099631,195.173431734317,50.4132841328413,988.154981549816,1398.83394833948,771.30258302583,153.752767527675,259.752767527675,15871.9188191882,6270.33210332103,271,21.6889972179482,15.9199312155692,0.67913914028521,0.954225352112676,0.769886363636364,1.49091571212285,F29P1,HN,1,F29P1,stromal cells,,stroma_ad_HG_dysplasia_F29P1_1
1383,1075.08333333333,196.795833333333,55.3875,356.4625,254.391666666667,711.5375,360.316666666667,317.995833333333,372.041666666667,106.5125,1298.63333333333,342.0375,20.075,1128.3,1293.24583333333,550.033333333333,120.783333333333,260.3125,955.154166666667,562.4,211.683333333333,225.195833333333,831.075,198.741666666667,68.7,1437.50833333333,993.7375,780.95,151.6,264.745833333333,14972.1666666667,6763.90416666667,240,18.4475668502557,16.5719407961105,0.439328172173947,0.97165991902834,0.784313725490196,0.60193224183593,F29P1,HN,1,F29P1,stromal cells,,stroma_ad_HG_dysplasia_F29P1_1
1468,1979.49770992366,163.87786259542,59.1770992366412,348.58320610687,103.291603053435,1284.85954198473,208.258015267176,329.335877862595,295.6,108.613740458015,2117.25496183206,353.082442748092,17.4076335877863,243.957251908397,2219.2,553.691603053435,103.112977099237,126.775572519084,1644.59847328244,540.815267175573,221.561832061069,195.912977099237,1366.26412213741,202.554198473282,52.1908396946565,898.117557251908,1687.99847328244,804.096183206107,157.309923664122,243.003053435115,16691.7389312977,5761.03664122137,655,30.5939706611604,27.3938064562683,0.445264956303731,0.97037037037037,0.808641975308642,0.167844415466487,F29P1,HN,1,F29P1,stromal cells,,stroma_ad_HG_dysplasia_F29P1_1
1501,1315.24028268551,185.908127208481,70.2508833922261,496.173144876325,808.268551236749,864.939929328622,232.6925795053,329.137809187279,290.82332155477,107.865724381625,1492.46996466431,348.968197879859,19.4452296819788,237.08480565371,1597.79505300353,575.590106007067,109.763250883392,104.890459363958,1175.67137809187,544.314487632509,214.678445229682,149.077738515901,1028.78445229682,202.056537102474,51.8445229681979,917.802120141343,1274.86219081272,785.657243816254,181.053003533569,246.39222614841,15559.1448763251,5540.24028268551,283,21.6587857214953,16.6908477567897,0.637286305567893,0.972508591065292,0.842261904761905,-1.45343830179574,F29P1,HN,1,F29P1,stromal cells,,stroma_ad_HG_dysplasia_F29P1_1
