CellID,Hoechst_1,CD4,FOXP3,PD-L1,Vimentin,Hoechst_2,IBA1,SOX2,PD-1,Hoechst_3,CD163,PAN-CK,gH2AX,Hoechst_4,TIM3,CD11c,CD8a,Hoechst_5,E-cadherin,CD66b,CD20,Hoechst_6,Ki67,p-S6,CD31,Hoechst_7,CD45RO,HLA-DBP1,NKG2A,CD45_2,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,Sample,Condition,Replicate,imageid,phenotype,Delete,TDA
9,1418.9098966026588,212.31314623338253,82.03988183161005,622.2333825701625,10.710487444608567,1335.2791728212703,398.0221565731167,192.29689807976365,1110.2968980797637,1346.128508124077,387.1949778434269,1135.8537666174298,1088.2629246676513,1896.7459379615952,583.2511078286558,152.8138847858198,168.75775480059085,1290.6706056129983,1442.5288035450517,177.94830132939438,127.16395864106352,2467.781388478582,234.4017725258493,3292.8552437223043,454.00590841949776,927.1285081240768,404.5716395864106,200.80206794682425,1062.0915805022155,415.71935007385525,4680.64106351551,6935.082717872969,677.0,33.83878129509105,25.612341462003748,0.6535386546405503,0.9713055954088952,0.7835648148148148,1.1566697124663248,FAHNSCC_11B,HN,1,FAHNSCC_11B,tumor cells,,HG-HG-LG-carcinoma-invasive_and_stroma_FAHNSCC_11B_2
14,2035.3253012048192,108.74698795180724,59.93631669535284,614.934595524957,13.537005163511187,2556.540447504303,388.7745266781411,236.4526678141136,1120.2685025817557,2682.552495697074,348.710843373494,3562.90017211704,1092.6884681583476,2915.638554216868,341.934595524957,180.8829604130809,125.7314974182444,1664.8829604130808,1854.3218588640275,170.0120481927711,167.9277108433735,2405.908777969019,237.4802065404475,162.14113597246129,451.2581755593804,799.2564543889845,332.32185886402755,117.88468158347676,1045.987951807229,414.1204819277109,5789.333907056799,7096.098106712565,581.0,29.01622433777433,25.523442651623032,0.4756648516415432,0.9651162790697676,0.7685185185185185,-1.0839966320573762,FAHNSCC_11B,HN,1,FAHNSCC_11B,tumor cells,,HG-HG-LG-carcinoma-invasive_and_stroma_FAHNSCC_11B_2
33,1980.087201125176,92.39662447257383,49.14345991561181,615.8621659634318,12.447257383966244,2181.9606188466946,379.182841068917,656.732770745429,1122.6300984528832,2168.143459915612,383.0253164556962,3363.205344585092,1094.5316455696202,2279.803094233474,376.39803094233474,173.19690576652602,218.028129395218,1331.6019690576652,2027.2883263009849,163.9929676511955,167.1068917018284,2083.2756680731363,171.15330520393812,368.3825597749648,451.7369901547117,762.8509142053446,318.9648382559775,110.9746835443038,1044.12517580872,412.732770745429,5118.122362869199,6832.263009845288,711.0,32.602044122464406,27.80031323281724,0.5223733611791607,0.9634146341463414,0.7694805194805194,-1.5314273377256205,FAHNSCC_11B,HN,1,FAHNSCC_11B,tumor cells,,HG-HG-LG-carcinoma-invasive_and_stroma_FAHNSCC_11B_2
47,2072.390134529148,203.0605381165919,78.67713004484305,633.3385650224216,219.8340807174888,2769.02466367713,569.6479820627802,179.96636771300447,1125.3161434977578,2884.1233183856502,448.68161434977577,116.02914798206278,1090.5089686098654,3867.040358744395,320.7130044843049,159.59417040358744,188.44843049327355,2165.4977578475336,377.6636771300449,170.17040358744396,186.85201793721973,3143.255605381166,189.804932735426,821.3206278026906,634.5313901345291,719.8744394618834,318.90582959641256,130.40582959641256,1009.1322869955156,415.2466367713005,4973.6188340807175,6194.298206278027,446.0,26.400000514589458,21.53297989985576,0.578555297336915,0.9591397849462364,0.7508417508417509,1.4664425048986975,FAHNSCC_11B,HN,1,FAHNSCC_11B,stromal cells,,HG-HG-LG-carcinoma-invasive_and_stroma_FAHNSCC_11B_2
92,2242.954186413902,116.24170616113744,56.98736176935229,616.6287519747235,13.77567140600316,2276.775671406004,497.0916271721959,318.7472353870458,1130.2322274881517,2159.6255924170614,400.4691943127962,2075.709320695102,1093.301737756714,2424.472353870458,513.0347551342812,180.84834123222748,258.3712480252765,1366.7914691943129,1337.0221169036336,166.52448657187995,132.9257503949447,2228.998420221169,180.9873617693523,2144.290679304898,452.2369668246445,821.0963665086888,340.5971563981043,137.34123222748815,1053.8167456556082,410.27172195892575,4823.862559241707,6752.777251184834,633.0,31.730380552478305,25.46772478067665,0.5964785237190072,0.9723502304147466,0.7795566502463054,-0.697786005861545,FAHNSCC_11B,HN,1,FAHNSCC_11B,tumor cells,,HG-HG-LG-carcinoma-invasive_and_stroma_FAHNSCC_11B_2
112,2041.48309178744,85.56360708534622,39.15297906602255,613.5072463768116,11.70048309178744,2168.623188405797,395.4492753623188,792.0434782608696,1121.4444444444443,2117.813204508857,397.59742351046697,3044.977455716586,1088.0579710144928,2219.098228663446,387.6940418679549,170.08695652173913,202.08373590982288,1327.270531400966,1739.9082125603866,165.15780998389695,157.15780998389695,2128.2528180354266,173.00322061191628,794.1400966183575,453.6940418679549,762.6070853462157,319.8808373590982,111.75523349436394,1038.5281803542673,410.5136876006441,5085.84541062802,6857.512077294686,621.0,29.74873296080156,26.621099486495183,0.446336933172173,0.968798751950078,0.7419354838709677,1.5074718804633558,FAHNSCC_11B,HN,1,FAHNSCC_11B,tumor cells,,HG-HG-LG-carcinoma-invasive_and_stroma_FAHNSCC_11B_2
203,1799.843669250646,105.515503875969,53.67054263565891,616.9263565891473,15.412144702842378,2081.830749354005,344.0348837209302,467.7829457364341,1123.1511627906978,2147.468992248062,364.15503875968994,3417.494832041344,1105.7894056847545,2291.543927648579,392.1046511627907,163.91989664082686,130.31266149870802,1400.4121447028424,2900.138242894057,166.51162790697674,140.87596899224806,2199.347545219638,209.84625322997417,533.5426356589147,452.4702842377261,803.7248062015503,341.30103359173125,119.48062015503876,1050.0852713178294,415.3875968992248,5279.045219638243,6817.15503875969,774.0,37.16118876170713,26.804745355415765,0.692612129613972,0.9760403530895334,0.7625615763546798,-0.4382255871835206,FAHNSCC_11B,HN,1,FAHNSCC_11B,tumor cells,,HG-HG-LG-carcinoma-invasive_and_stroma_FAHNSCC_11B_2
232,2722.798449612403,81.19573643410853,50.52131782945737,618.077519379845,12.124031007751938,2805.796511627907,405.4941860465116,329.77713178294573,1130.5271317829458,2464.93992248062,447.4806201550388,4875.224806201551,1097.6279069767445,2774.2151162790697,471.6492248062016,200.35658914728683,175.8003875968992,1475.9961240310076,2759.1046511627906,173.49612403100775,128.6627906976744,2225.366279069768,203.49031007751933,363.25,450.2771317829457,793.2887596899225,339.82945736434107,166.36046511627907,1022.1918604651164,411.86046511627904,4415.676356589147,6616.802325581395,516.0,30.760484777636908,21.42200516355558,0.7176411128742147,0.9681050656660412,0.7117241379310345,-1.01193184867696,FAHNSCC_11B,HN,1,FAHNSCC_11B,tumor cells,,HG-HG-LG-carcinoma-invasive_and_stroma_FAHNSCC_11B_2
237,2073.933665008292,135.43615257048094,61.069651741293534,614.5970149253732,12.611940298507465,2310.955223880597,351.61028192371475,262.3101160862355,1127.2189054726368,2249.2139303482586,386.893864013267,1528.9054726368158,1092.714759535655,2495.338308457712,443.2587064676617,142.86733001658374,173.65837479270314,1485.6152570480929,1420.2703150912107,170.92868988391376,220.48424543946933,2189.8971807628523,182.179104477612,2585.112769485904,453.1658374792703,814.9933665008292,347.2902155887231,189.3548922056385,1079.1028192371475,413.98341625207297,5485.958540630182,7074.016583747927,603.0,30.680460688629537,25.080649019465405,0.5759576328351194,0.9648,0.7481389578163772,0.1243591181577192,FAHNSCC_11B,HN,1,FAHNSCC_11B,tumor cells,,HG-HG-LG-carcinoma-invasive_and_stroma_FAHNSCC_11B_2
289,3576.39446366782,758.3217993079585,94.39446366782006,673.7750865051903,512.9342560553633,3976.9204152249135,552.3702422145328,189.044982698962,1130.2664359861592,3979.8131487889273,461.363321799308,127.8477508650519,1089.7785467128028,4522.128027681661,622.6505190311418,150.7508650519031,158.93771626297578,2502.093425605536,346.7370242214533,172.1764705882353,151.4636678200692,2942.910034602076,174.36332179930795,250.7266435986159,466.5017301038062,894.6089965397924,356.3148788927336,154.85121107266437,1036.121107266436,414.9896193771626,5253.923875432526,6381.757785467128,289.0,24.15871276885835,15.269321585972898,0.774934117640947,0.9444444444444444,0.7526041666666666,1.4569256150856944,FAHNSCC_11B,HN,1,FAHNSCC_11B,CD4+ T cells,,HG-HG-LG-carcinoma-invasive_and_stroma_FAHNSCC_11B_2
