CellID,Hoechst_1,CD4,FOXP3,PD-L1,Vimentin,Hoechst_2,IBA1,SOX2,PD-1,CD45,Hoechst_3,CD163,PAN-CK,gH2AX,Hoechst_4,TIM3,CD11c,CD8a,Hoechst_5,E-cadherin,CD66b,CD20,Hoechst_6,Ki67,p-S6,CD31,Hoechst_7,CD45RO,HLA-DBP1,NKG2A,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,Sample,Condition,Replicate,imageid,phenotype,Delete,TDA
572,10496.704011065009,183.14522821576764,57.17704011065007,260.27939142461963,205.5435684647303,10634.456431535267,518.0843706777317,433.8146611341632,287.2876901798064,156.50069156293222,12511.97510373444,447.4923928077455,250.27939142461963,5115.1991701244815,8002.272475795297,695.405255878285,473.98478561549103,134.24204702627938,7590.002766251729,806.7178423236514,763.2973720608576,221.8423236514523,8934.619640387275,345.6901798063624,163.8423236514523,749.1078838174274,8061.521438450899,1012.6141078838174,167.8921161825726,239.1078838174274,28082.253112033195,15260.7081604426,723.0,33.79418463294463,27.28299816799086,0.5901026871755632,0.9717741935483872,0.7824675324675324,0.2971726235397178,F23P1_PRIM,HN,1,F23P1_PRIM,stromal cells,,carcinoma_invasive_F23P1_PRIM_12
724,5510.446224256293,615.8970251716247,356.55606407322654,339.5446224256293,855.4050343249428,5973.116704805492,504.4622425629291,350.53318077803203,476.27231121281466,155.91304347826087,6801.0778032036615,380.5469107551488,101.37986270022884,284.8329519450801,4548.931350114416,755.4622425629291,430.2036613272312,670.8443935926773,4228.279176201373,675.1739130434783,466.0183066361556,353.7826086956522,4909.794050343249,315.37528604118995,198.7345537757437,810.9519450800915,4491.450800915332,915.7780320366132,182.71395881006865,617.9931350114416,27397.176201373,14994.00228832952,437.0,26.119128651807856,21.32421631679989,0.5774565365496499,0.9754464285714286,0.8003663003663004,-0.2484947391647876,F23P1_PRIM,HN,1,F23P1_PRIM,regulatory T cells,,carcinoma_invasive_F23P1_PRIM_12
772,5190.395683453237,390.0143884892086,138.4460431654676,551.6115107913669,2347.9640287769785,4162.827338129497,614.4244604316547,370.0935251798561,297.8776978417266,157.1294964028777,4915.417266187051,392.5395683453237,98.05035971223022,201.85611510791367,3562.6762589928057,613.5323741007194,518.3597122302158,189.0359712230216,3208.1582733812947,682.6187050359712,1662.705035971223,290.158273381295,3808.251798561151,247.45323741007195,749.8489208633093,865.6762589928057,3297.4172661870502,898.2302158273382,164.6043165467626,239.27338129496405,27847.841726618703,16109.971223021585,139.0,13.928159659315757,12.717554645185592,0.4077755491295733,0.952054794520548,0.7637362637362637,1.4395211115483972,F23P1_PRIM,HN,1,F23P1_PRIM,neutrophils,,carcinoma_invasive_F23P1_PRIM_12
789,6398.169047619048,703.8166666666667,78.52857142857142,329.85238095238094,671.1476190476191,5025.880952380952,554.6261904761905,372.9714285714286,518.2833333333333,157.4142857142857,6181.471428571429,413.9142857142857,98.75714285714284,243.6261904761905,4075.1880952380952,696.7857142857143,693.6357142857142,298.85238095238094,3778.647619047619,694.702380952381,438.3785714285714,472.9690476190476,4305.561904761905,245.29761904761904,185.98809523809524,761.2666666666667,3745.942857142857,996.4357142857144,185.30714285714285,238.36190476190475,27771.23571428571,16118.111904761903,420.0,25.217450483711264,21.27418267990436,0.5369259087819656,0.9722222222222222,0.8,-0.1941627310361636,F23P1_PRIM,HN,1,F23P1_PRIM,CD4+ T cells,,carcinoma_invasive_F23P1_PRIM_12
791,6584.517665130568,176.92012288786484,68.76036866359448,314.9938556067588,726.2119815668203,6753.539170506912,444.3686635944701,357.10291858678954,390.0967741935484,156.40245775729647,7800.2703533026115,356.2980030721966,99.25652841781874,346.8832565284178,5236.545314900153,607.6881720430108,171.65898617511522,145.247311827957,4832.31643625192,712.468509984639,478.5745007680492,183.2150537634409,5495.537634408603,2287.6774193548385,355.357910906298,1922.7542242703528,5000.597542242704,1008.3241167434716,157.25345622119815,338.5806451612903,27254.60215053764,15466.36559139785,651.0,30.977227505385123,26.7909625960796,0.5020132603144556,0.9658753709198812,0.75,-0.4003022267692082,F23P1_PRIM,HN,1,F23P1_PRIM,stromal cells,,carcinoma_invasive_F23P1_PRIM_12
855,8619.348268839103,878.969450101833,62.88187372708757,270.30346232179227,185.33808553971485,6622.138492871691,520.0061099796334,381.5152749490835,505.27291242362526,157.56822810590631,8452.030549898167,372.5132382892057,96.28716904276986,325.0631364562118,5536.5397148676175,656.8207739307536,373.4032586558045,180.11608961303463,5205.452138492872,706.0448065173116,664.7739307535642,333.18737270875766,6053.295315682281,246.15682281059065,201.17515274949085,729.9063136456211,5167.989816700611,943.6965376782076,181.9877800407332,239.39714867617107,27814.87372708757,16288.586558044806,491.0,28.40577929603969,22.076229891237485,0.6292859050737843,0.966535433070866,0.8265993265993266,1.2934297197163105,F23P1_PRIM,HN,1,F23P1_PRIM,CD4+ T cells,,carcinoma_invasive_F23P1_PRIM_12
1221,6868.627192982456,297.1118421052632,71.18640350877193,446.8157894736842,1500.1973684210527,6967.149122807017,520.6337719298245,386.6688596491228,455.25877192982455,157.51973684210526,8542.109649122807,383.5964912280702,98.28728070175438,417.686403508772,5571.037280701755,725.8552631578947,302.3640350877193,231.61184210526315,5115.484649122807,736.4276315789474,689.8618421052631,362.04605263157896,2572.679824561404,553.3004385964912,521.3552631578947,694.3179824561404,3428.717105263158,815.5767543859649,163.93640350877192,224.280701754386,27326.45833333333,15202.57456140351,456.0,24.685542676741505,23.64314874547976,0.2875251086057362,0.9785407725321889,0.8260869565217391,-0.3961244439076339,F23P1_PRIM,HN,1,F23P1_PRIM,stromal cells,,carcinoma_invasive_F23P1_PRIM_12
1309,2895.918699186992,95.69376693766938,38.357723577235774,249.04065040650408,331.75880758807585,2245.8861788617887,582.4173441734417,328.9024390243902,270.9268292682927,156.54471544715446,2704.978319783198,360.3170731707317,102.30352303523036,209.30623306233065,2001.1544715447155,581.059620596206,190.0081300813008,129.29539295392954,1917.19512195122,649.7018970189702,395.710027100271,257.5121951219512,2172.636856368564,239.0569105691057,651.6693766937669,2417.373983739837,1938.7886178861788,841.3387533875339,167.18428184281842,221.8509485094851,27747.15447154472,16390.688346883468,369.0,22.427086210083583,20.98032385343137,0.3533521065174652,0.968503937007874,0.7987012987012987,0.136151407084682,F23P1_PRIM,HN,1,F23P1_PRIM,stromal cells,,carcinoma_invasive_F23P1_PRIM_12
1619,4930.902116402116,145.85449735449737,57.15873015873016,320.5687830687831,888.2883597883598,5280.962962962963,463.8915343915344,332.67195767195767,338.6666666666667,156.3095238095238,6379.325396825397,376.74603174603175,95.07936507936508,239.015873015873,4192.907407407408,639.6164021164021,468.4126984126984,1501.4338624338625,3839.560846560847,646.4761904761905,1363.6613756613756,503.5740740740741,4522.814814814815,237.4100529100529,199.3703703703704,1136.3042328042327,3982.560846560847,908.4708994708994,189.3941798941799,232.44973544973544,27831.891534391536,15093.563492063491,378.0,24.73052607977027,19.67191709438205,0.606018153952253,0.9593908629441624,0.7470355731225297,-0.93909042861212,F23P1_PRIM,HN,1,F23P1_PRIM,effector CD8+ T cells,,carcinoma_invasive_F23P1_PRIM_12
1655,4073.9260780287473,240.4763860369609,102.78028747433264,475.19917864476383,2042.6796714579048,3668.969199178645,717.6960985626283,363.49281314168377,398.71868583162217,157.89733059548254,4236.753593429158,402.97330595482543,103.8952772073922,284.5482546201232,2875.3429158110885,607.2464065708419,263.27515400410675,206.9075975359343,2699.131416837782,697.7145790554415,421.2751540041068,315.3552361396304,3049.1375770020536,242.5359342915811,1374.911704312115,696.252566735113,2668.899383983573,875.5256673511294,169.03490759753595,245.0451745379877,27580.99178644764,15920.135523613964,487.0,29.08006488766006,21.4631495820688,0.6747231659848161,0.9701195219123506,0.7633228840125392,0.1356882950735268,F23P1_PRIM,HN,1,F23P1_PRIM,stromal cells,,carcinoma_invasive_F23P1_PRIM_12
