Unnamed: 0,CellID,Hoechst_1,CD4,FOXP3,PD-L1,Hoechst_2,IBA1,SOX2,PD-1,CD45,Hoechst_3,CD163,PAN-CK,gH2AX,Vimentin,Hoechst_4,TIM3,CD11c,CD8a,Hoechst_5,E-cadherin,CD66b,CD20,Hoechst_6,Ki67,p-S6,CD31,Hoechst_7,CD45RO,HLA-DBP1,NKG2A,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,Sample,Condition,Replicate,imageid,phenotype,TDA
632,993,1510.1915492957746,142.05352112676056,42.9943661971831,295.21408450704223,2712.822535211268,1055.36338028169,142.6056338028169,192.31267605633803,49.84507042253521,3246.295774647888,701.4985915492957,116.49859154929578,261.83098591549293,879.656338028169,3649.2,672.5774647887324,142.3774647887324,326.3605633802817,2619.61971830986,434.96338028169015,94.97464788732394,185.6225352112676,3479.583098591549,167.11267605633802,133.90985915492956,568.0112676056337,2635.056338028169,398.15774647887326,84.03380281690141,254.112676056338,51375.14647887324,32484.30704225352,355.0,26.969706376244524,16.83122943045549,0.7813611886459242,0.962059620596206,0.7457983193277311,-1.569074375390508,HNSCC_7,HN,1,HNSCC_7,stromal cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
2941,3991,1807.7219730941704,310.79596412556054,124.78923766816143,368.8318385650224,3063.217488789237,1877.378923766816,169.89910313901345,207.41928251121075,49.52017937219731,3877.2040358744393,1089.262331838565,145.07174887892376,303.0739910313901,2013.863228699552,4344.338565022422,942.0269058295964,129.73094170403587,613.9529147982063,3075.318385650224,521.6076233183857,88.33183856502242,194.2354260089686,4366.964125560538,206.36995515695068,411.99103139013454,638.9506726457399,3620.10538116592,513.9529147982063,203.32286995515696,337.31838565022423,51194.82735426009,32880.18834080717,446.0,26.956804006848355,21.1371599393216,0.6206190434110095,0.9653679653679652,0.7865961199294532,-1.5657336757879723,HNSCC_7,HN,1,HNSCC_7,stromal cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
3658,4888,1995.335753176044,306.3883847549909,104.11070780399274,377.58439201451904,3371.428312159709,1489.1814882032668,211.30671506352087,210.1470054446461,49.99637023593466,3687.357531760435,1312.9981851179673,131.39019963702358,266.5480943738657,933.7713248638838,4160.83666061706,1022.5335753176043,145.83484573502722,577.3756805807623,2928.328493647913,571.3847549909256,94.27949183303085,380.45553539019966,3699.7277676951,212.1760435571688,3665.1760435571687,863.961887477314,2941.038112522686,513.8693284936479,129.21052631578948,302.940108892922,52147.67876588022,33527.553539019966,551.0,28.96498827712249,24.72367153646308,0.5209766728630996,0.9666666666666668,0.7558299039780522,0.8502314915777635,HNSCC_7,HN,1,HNSCC_7,endothelial cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
3694,4932,1987.937823834197,216.83160621761647,93.94818652849742,406.3523316062176,3935.064766839378,2141.795336787565,173.90414507772022,212.23834196891195,51.72020725388601,4497.170984455958,1379.2331606217615,165.9455958549223,353.080310880829,2075.823834196892,5287.790155440414,942.7124352331606,216.9300518134715,541.1139896373057,3735.1761658031087,554.2746113989638,90.89637305699482,258.47668393782385,4767.463730569948,218.0621761658031,2069.624352331606,993.8471502590672,3738.880829015544,528.3316062176166,270.35751295336786,290.72020725388603,51795.63471502591,32424.549222797927,386.0,23.07579277325832,21.32276991429489,0.3823152439424395,0.9601990049751244,0.7628458498023716,-1.110256956167393,HNSCC_7,HN,1,HNSCC_7,endothelial cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
4037,5363,1773.030985915493,131.56619718309858,91.59718309859154,382.8084507042254,3532.033802816901,2094.1577464788734,159.6169014084507,228.8619718309859,52.51549295774648,4440.214084507043,932.8535211267606,161.90985915492956,325.48169014084505,2165.1915492957746,4922.391549295775,937.3464788732394,173.12394366197182,1233.6338028169014,3650.932394366197,512.6338028169014,88.17464788732394,262.24788732394364,4879.228169014084,255.2422535211268,433.287323943662,795.687323943662,3541.732394366197,665.7633802816902,168.89295774647888,369.8112676056338,51356.31549295774,32329.48732394366,355.0,24.6706921131197,18.347616909985963,0.6685124622204659,0.9594594594594594,0.7473684210526316,-1.4983697461423198,HNSCC_7,HN,1,HNSCC_7,endothelial cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
4574,6045,899.9731707317073,474.8292682926829,87.42439024390244,373.3536585365854,1350.309756097561,7561.956097560976,135.09268292682927,187.2780487804878,50.22195121951219,1405.9829268292683,3292.470731707317,154.3390243902439,251.0707317073171,1542.7634146341463,1654.3756097560977,1003.3097560975608,116.36829268292684,380.1414634146341,1172.470731707317,388.1536585365853,82.89756097560975,490.0219512195122,1530.8487804878048,145.86341463414635,314.0073170731707,95.96341463414636,1305.2463414634146,369.9829268292683,360.119512195122,260.8341463414634,51521.3487804878,33920.9,410.0,24.31241525434207,21.483745454502472,0.4681419473894175,0.9669811320754716,0.7427536231884058,-0.4681392101227066,HNSCC_7,HN,1,HNSCC_7,CD4+ T cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
5464,7145,1785.654911838791,278.5869017632242,96.63727959697734,373.4710327455919,3663.929471032746,1641.9672544080604,174.50125944584383,210.51637279596977,50.193954659949625,4417.916876574307,946.2594458438288,167.2367758186398,312.8035264483628,1392.5062972292192,4629.448362720403,896.2468513853904,172.75566750629724,568.8438287153652,3322.508816120907,548.7027707808564,93.51637279596976,238.48110831234257,4116.972292191435,210.16624685138527,4126.788413098237,1682.1083123425692,3033.51637279597,500.4609571788413,146.79848866498742,289.24937027707807,51850.44080604534,32426.55919395466,397.0,23.85011590110725,21.25121177953037,0.4539408833359058,0.9612590799031476,0.7845849802371542,0.7087671786970031,HNSCC_7,HN,1,HNSCC_7,endothelial cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
6235,8095,2179.986631016043,280.82620320855614,85.6283422459893,361.5882352941176,4180.224598930481,2160.270053475936,172.58823529411765,202.56417112299465,50.44117647058823,4881.772727272727,1010.9545454545456,150.2058823529412,368.43582887700535,1427.4866310160428,5278.751336898396,935.427807486631,223.66310160427807,517.0374331550802,3754.820855614973,565.1069518716578,93.03208556149733,221.91711229946523,4747.3422459893045,3152.098930481284,5336.149732620321,1241.9465240641712,3550.788770053476,608.6764705882352,263.4919786096257,284.19251336898395,52003.19251336899,32939.63101604278,374.0,25.801529566291844,18.481427949399173,0.6978007173020194,0.9516539440203562,0.7873684210526316,1.3654498471453398,HNSCC_7,HN,1,HNSCC_7,endothelial cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
8849,11349,2276.7225274725274,414.4010989010989,113.78296703296704,451.5219780219781,4176.35989010989,4898.4807692307695,223.64835164835165,234.4478021978022,54.57417582417583,4583.118131868132,2113.335164835165,142.42307692307693,607.4065934065934,2557.351648351648,5320.942307692308,1645.5412087912089,185.38736263736263,2078.2774725274726,3709.598901098901,633.4175824175824,113.84615384615384,300.1978021978022,4792.428571428572,390.4010989010989,1539.4423076923076,351.54395604395603,3786.2417582417584,628.8571428571429,457.4203296703297,1248.4065934065934,51697.65934065934,33316.13461538462,364.0,22.923144025299663,20.24216845961786,0.4692882596762,0.9706666666666668,0.7913043478260869,0.2690693421951714,HNSCC_7,HN,1,HNSCC_7,effector CD8+ T cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
11514,14601,1777.3567362428842,577.4629981024668,167.0986717267552,413.9354838709677,2836.364326375712,1440.3206831119544,204.06261859582543,202.9829222011385,50.38899430740038,3206.519924098672,1150.7817836812144,153.02656546489564,309.31309297912713,2570.7590132827327,3561.079696394687,1040.8975332068312,146.69070208728652,480.6053130929792,2504.406072106262,599.1593927893738,107.6888045540797,268.52182163187854,1161.4345351043644,151.18026565464896,806.7571157495256,223.0094876660341,967.0702087286528,398.7134724857685,135.78178368121442,269.7685009487666,51993.05692599621,33260.43833017078,527.0,29.39547259935174,23.078414703268265,0.6193677680364081,0.9652014652014652,0.7239010989010989,-0.5643353905848688,HNSCC_7,HN,1,HNSCC_7,CD4+ T cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
11949,15134,2164.3794326241136,444.67021276595744,98.93617021276596,359.97872340425533,3930.780141843972,1511.4432624113474,162.41489361702128,198.39361702127653,48.8936170212766,5278.631205673759,918.3581560283689,122.59219858156028,266.5673758865248,535.2234042553191,5851.081560283688,835.8900709219859,123.12056737588652,413.7234042553192,3871.095744680851,480.4609929078014,85.54609929078015,197.6382978723404,5144.301418439716,194.7695035460993,533.3439716312057,1458.436170212766,2447.5709219858154,398.4468085106383,162.77659574468086,272.0248226950355,51256.20567375887,32965.68085106383,282.0,24.41557211112623,14.765744660493942,0.7964020739084285,0.9494949494949496,0.7833333333333333,-1.4539644240767038,HNSCC_7,HN,1,HNSCC_7,endothelial cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
12298,15543,2016.66846361186,382.9487870619946,57.74932614555256,350.92183288409706,4299.097035040431,1903.9973045822103,156.9541778975741,256.0539083557952,67.3989218328841,5245.129380053909,1128.9622641509434,160.4177897574124,293.8975741239892,1514.7304582210245,6276.040431266846,1057.0134770889488,1592.8355795148248,1000.843665768194,4553.55525606469,505.288409703504,98.33962264150944,2046.6172506738544,6031.528301886792,206.0943396226415,288.5956873315364,144.04043126684635,4809.66846361186,840.1725067385445,268.08625336927224,265.900269541779,51695.71428571428,32183.59838274933,371.0,24.352650044499025,19.740079410302435,0.5856103972594643,0.9512820512820512,0.7361111111111112,-1.2100123412330956,HNSCC_7,HN,1,HNSCC_7,B cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
12764,16109,1939.3575268817203,262.02150537634407,90.0,402.4354838709677,3851.1344086021504,2699.333333333333,165.7768817204301,209.95967741935485,51.66935483870968,4402.6505376344085,1720.0645161290322,171.98924731182797,370.0,1817.8198924731184,5039.852150537635,1016.0591397849462,207.0456989247312,981.247311827957,3508.766129032258,545.9247311827957,100.68010752688171,349.89247311827955,4489.760752688172,231.2231182795699,1001.8037634408602,380.47849462365593,3530.5564516129034,602.0779569892474,256.0268817204301,285.6666666666667,52138.27419354839,32191.701612903227,372.0,23.03260894993404,20.57429369631738,0.4495244040378072,0.9662337662337662,0.768595041322314,-0.6638693813680838,HNSCC_7,HN,1,HNSCC_7,M2 macrophages,stroma_ad_carcinoma_invasive_HNSCC_7_3
