CellID,Hoechst_1,CD4,FOXP3,PD-L1,Vimentin,Hoechst_2,IBA1,SOX2,PD-1,Hoechst_3,CD163,PAN-CK,gH2AX,Hoechst_4,TIM3,CD11c,CD8a,Hoechst_5,E-cadherin,CD66b,CD20,Hoechst_6,Ki67,p-S6,CD31,Hoechst_7,CD45RO,HLA-DBP1,NKG2A,CD45_2,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,Sample,Condition,Replicate,imageid,phenotype,Delete,TDA
32,2694.1019522776573,90.98047722342731,48.16268980477224,612.1908893709327,12.114967462039044,3260.891540130152,425.1409978308026,281.7006507592191,1134.9718004338397,3365.683297180044,470.5184381778742,2737.3644251626897,1116.1041214750542,4352.7678958785245,451.5704989154013,197.81995661605205,203.68546637744035,2364.529284164859,2027.9652928416483,169.7874186550976,152.87852494577007,2991.5965292841647,668.7353579175705,201.2125813449024,458.3622559652928,751.3232104121475,320.75054229934926,167.45119305856832,1111.2429501084598,410.3362255965293,15776.080260303688,15164.420824295012,461.0,25.749927999708703,22.86848868631592,0.4596519695066048,0.9624217118997912,0.7709030100334449,-0.1358373857516095,FAHNSCC_11B,HN,1,FAHNSCC_11B,Ki67+ tumor cells,,carcinoma-in-situ_and_stroma_FAHNSCC_11B_1
64,3207.3719806763283,155.17391304347825,47.570048309178745,620.1835748792271,16.72463768115942,3785.236714975845,472.9903381642512,313.0048309178744,1140.2753623188405,3991.376811594203,493.975845410628,2467.900966183575,1144.707729468599,5200.007246376812,376.30917874396135,200.5652173913044,183.8840579710145,2698.572463768116,1601.9710144927535,169.7270531400966,246.08454106280195,3102.6376811594205,333.17149758454104,111.52657004830918,456.3888888888889,797.8574879227053,340.72463768115944,147.65942028985506,1100.0410628019324,414.32608695652175,15221.823671497585,14850.099033816425,414.0,24.76311658437989,21.349820267340483,0.5066325456127767,0.9583333333333334,0.75,-0.9871620885139512,FAHNSCC_11B,HN,1,FAHNSCC_11B,tumor cells,,carcinoma-in-situ_and_stroma_FAHNSCC_11B_1
66,3307.2193995381062,183.4849884526559,191.86836027713625,626.1177829099307,299.70900692840644,4787.454965357968,600.3856812933026,221.14780600461893,1213.3279445727485,5083.736720554272,702.0392609699769,158.35334872979217,1097.3163972286377,7374.1501154734415,613.3002309468823,510.1893764434181,1221.8429561200924,4342.736720554272,459.5381062355658,182.8591224018476,110.07621247113164,5208.450346420324,189.6235565819861,249.74364896073905,494.8706697459584,763.8267898383372,343.4064665127021,145.08314087759814,1073.1847575057736,415.2378752886836,14988.33949191686,14696.066974595842,433.0,26.09130587192335,21.394511931930936,0.5723832263708062,0.9600886917960088,0.756993006993007,-1.3290676088054674,FAHNSCC_11B,HN,1,FAHNSCC_11B,effector CD8+ T cells,,carcinoma-in-situ_and_stroma_FAHNSCC_11B_1
116,3024.305882352942,121.71764705882352,63.237647058823526,641.7411764705882,442.5223529411765,3731.1435294117646,473.9223529411765,202.75294117647056,1133.92,4418.176470588235,521.2211764705883,196.5105882352941,1097.4423529411763,5382.298823529412,519.5529411764705,204.0964705882353,163.0,2965.423529411765,562.7482352941176,175.3929411764706,103.65176470588236,3947.1035294117646,194.5482352941177,463.8705882352941,1278.6141176470587,939.1223529411764,381.1270588235294,311.1388235294117,1130.7058823529412,417.5035294117647,15693.402352941175,14376.578823529411,425.0,30.73523595668245,17.646372930646947,0.818756127107695,0.9507829977628636,0.7378472222222222,1.5284162368176957,FAHNSCC_11B,HN,1,FAHNSCC_11B,endothelial cells,,carcinoma-in-situ_and_stroma_FAHNSCC_11B_1
257,2173.1095406360423,88.04416961130742,48.84275618374559,614.3975265017668,16.418727915194346,2548.0,420.9946996466431,282.6519434628975,1130.326855123675,2741.5971731448763,497.62544169611306,1922.0070671378087,1140.10777385159,3409.5282685512366,456.69257950530033,227.29681978798587,285.4275618374558,1882.639575971732,1975.720848056537,171.63250883392226,138.9399293286219,2532.5159010600705,652.4505300353356,517.26148409894,468.1519434628975,729.4929328621909,319.8162544169612,162.11484098939928,1106.7632508833922,410.5671378091873,15186.469964664311,15053.63074204947,566.0,31.83214742593461,22.90051369976534,0.6945808367199141,0.972508591065292,0.7690217391304348,0.0081667571496854,FAHNSCC_11B,HN,1,FAHNSCC_11B,Ki67+ tumor cells,,carcinoma-in-situ_and_stroma_FAHNSCC_11B_1
277,2844.221374045801,154.02798982188295,65.2468193384224,622.6844783715013,98.70992366412214,3294.201017811705,531.29262086514,225.587786259542,1141.1603053435117,3178.4249363867684,542.3460559796438,678.7582697201018,1100.3969465648854,4278.661577608143,414.04834605597966,335.05089058524175,209.6488549618321,2450.7302798982187,820.4478371501273,187.3969465648855,147.01526717557252,3495.3664122137407,220.9770992366412,188.44020356234097,983.4987277353688,723.2544529262086,304.8676844783716,179.00508905852416,1097.587786259542,408.735368956743,15615.152671755724,15147.664122137405,393.0,27.53583341984474,18.193948541907,0.7506173440868896,0.9632352941176472,0.808641975308642,-1.4481729005257038,FAHNSCC_11B,HN,1,FAHNSCC_11B,stromal cells,,carcinoma-in-situ_and_stroma_FAHNSCC_11B_1
297,3642.71473354232,213.8307210031348,536.9749216300941,649.448275862069,274.0438871473354,4524.300940438871,594.2006269592476,227.4984326018809,1181.398119122257,5215.269592476489,566.6426332288402,187.25705329153604,1097.667711598746,6513.846394984326,556.0,470.4294670846395,147.5705329153605,3511.8526645768025,535.8746081504702,182.9843260188088,93.03134796238244,4629.068965517241,202.04388714733545,1033.9278996865205,799.7742946708464,786.9028213166144,346.05956112852664,263.9373040752351,1111.498432601881,416.6959247648903,15689.724137931034,14431.26645768025,319.0,20.557533135397247,19.82777902932669,0.2640760387601026,0.9755351681957186,0.7975,-1.299798801109432,FAHNSCC_11B,HN,1,FAHNSCC_11B,Unknown,,carcinoma-in-situ_and_stroma_FAHNSCC_11B_1
315,2291.073529411765,95.75,49.0735294117647,612.9313725490196,17.96323529411765,2654.8529411764707,469.77941176470586,258.1470588235294,1133.9754901960785,2668.7303921568628,543.7156862745098,2041.8848039215688,1119.5049019607843,3469.11274509804,433.3848039215686,274.14950980392155,183.22794117647047,1871.656862745098,1821.551470588236,167.7892156862745,120.59313725490196,2431.3872549019607,1194.5073529411766,594.0441176470588,455.9901960784314,744.7965686274509,318.72549019607845,135.84558823529412,1099.6617647058824,410.87745098039215,15777.15931372549,15384.950980392156,408.0,24.22019582938276,21.517806691147143,0.4590234683241808,0.9691211401425178,0.7727272727272727,1.1905781028767126,FAHNSCC_11B,HN,1,FAHNSCC_11B,Ki67+ tumor cells,,carcinoma-in-situ_and_stroma_FAHNSCC_11B_1
326,3285.622448979592,216.75510204081635,85.01360544217687,640.0374149659864,357.1394557823129,3703.248299319728,924.3027210884354,225.3265306122449,1140.7619047619048,3995.8469387755104,775.6666666666666,184.7142857142857,1094.204081632653,5529.897959183673,470.1054421768707,345.03061224489795,940.0816326530612,3330.4421768707484,448.1292517006803,182.9795918367347,89.17687074829932,4920.3231292517,199.30272108843536,265.55442176870747,521.7006802721088,916.4149659863946,378.63605442176873,260.4625850340136,1109.0986394557824,417.1258503401361,15823.914965986394,14672.142857142857,294.0,21.71823061958469,17.444529508027184,0.5956817280049892,0.9545454545454546,0.7777777777777778,1.5335078891779197,FAHNSCC_11B,HN,1,FAHNSCC_11B,effector CD8+ T cells,,carcinoma-in-situ_and_stroma_FAHNSCC_11B_1
354,2329.8272980501392,128.4540389972145,49.4066852367688,615.3175487465181,11.551532033426184,2820.116991643454,416.8022284122563,237.36211699164343,1126.2116991643454,3000.0222841225627,466.9052924791087,3789.094707520892,1109.5543175487464,4040.1559888579386,432.41782729805016,184.0807799442897,166.4958217270195,2306.693593314764,1742.674094707521,168.7465181058496,133.13091922005572,3426.275766016713,310.73816155988857,186.25069637883007,472.7465181058496,748.3649025069637,316.3398328690808,140.27298050139277,1104.9387186629526,413.0362116991644,15857.66852367688,15188.323119777158,359.0,22.926197276003982,19.943861430336927,0.4932002501958968,0.9755434782608696,0.8159090909090909,-1.1071087124808494,FAHNSCC_11B,HN,1,FAHNSCC_11B,tumor cells,,carcinoma-in-situ_and_stroma_FAHNSCC_11B_1
