CellID,Hoechst_1,CD4,FOXP3,PD-L1,Vimentin,Hoechst_2,IBA1,SOX2,PD-1,CD45,Hoechst_3,CD163,PAN-CK,gH2AX,Hoechst_4,TIM3,CD11c,CD8a,Hoechst_5,E-cadherin,CD66b,CD20,Hoechst_6,Ki67,p-S6,CD31,Hoechst_7,CD45RO,HLA-DBP1,NKG2A,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,Sample,Condition,Replicate,imageid,phenotype,Delete,TDA
68,1382.98538961039,169.228896103896,68.5194805194805,344.62987012987,21.5941558441558,747.316558441558,1100.79383116883,341.042207792208,340.99512987013,106.62012987013,1219.19480519481,324.725649350649,360.717532467532,267.25974025974,1109.96103896104,655.387987012987,138.24512987013,182.589285714286,782.788961038961,646.428571428571,219.551948051948,151.400974025974,757.405844155844,195.850649350649,57.5178571428571,796.823051948052,948.977272727273,771.779220779221,156.702922077922,241.998376623377,28285.5746753247,16513.5779220779,616,33.929649850745,23.172313766648,0.730463487244874,0.971608832807571,0.777777777777778,-0.354381962178465,F29P1,HN,1,F29P1,M2 macrophages,,carcinoma_invasive_F29P1_8
88,1558.97508896797,157.040925266904,57.5604982206406,339.179715302491,28.1548042704626,1206.35765124555,1581.59608540925,362.67615658363,348.862989323843,106.460854092527,1888.13167259786,344.156583629893,3221.01423487545,277.233096085409,1788.90391459075,617.953736654804,132.238434163701,195.980427046263,1222.0,623.314946619217,222.79359430605,147.948398576512,1120.87366548043,202.026690391459,61.6049822064057,798.827402135231,1427.51067615658,786.937722419929,158.450177935943,243.946619217082,27488.103202847,14756.0729537367,562,28.9794633453954,24.7220688173392,0.521765006228859,0.965635738831615,0.775172413793103,0.200424745049612,F29P1,HN,1,F29P1,tumor cells,,carcinoma_invasive_F29P1_8
330,1098.9792147806,180.842956120092,59.4041570438799,340.886836027714,25.7736720554273,761.108545034642,3979.08545034642,376.678983833718,318.896073903002,106.175519630485,1287.10854503464,389.210161662818,3513.90531177829,258.951501154734,1235.45034642032,630.727482678984,135.829099307159,150.796766743649,886.210161662818,723.806004618938,238.662817551963,139.762124711316,883.099307159353,212.672055427252,89.6674364896074,811.704387990762,1102.07390300231,847.332563510393,162.993071593534,248.272517321016,27845.9584295612,15440.0461893764,433,24.859827942107,22.1916106994326,0.450711799719309,0.964365256124722,0.75304347826087,0.0414988676388989,F29P1,HN,1,F29P1,tumor cells,,carcinoma_invasive_F29P1_8
332,1410.36689038031,161.474272930649,60.5950782997763,380.800894854586,289.530201342282,893.639821029083,920.910514541387,318.091722595078,341.281879194631,106.340044742729,1389.34899328859,354.263982102908,93.9440715883669,327.156599552573,1350.74496644295,541.691275167785,408.637583892617,192.053691275168,976.879194630872,503.572706935123,214.058165548098,179.387024608501,901.744966442953,192.868008948546,75.4451901565996,846.004474272931,1090.0581655481,745.673378076063,207.060402684564,251.024608501119,27529.7695749441,16588.7919463087,447,25.6029167083015,22.4364874836325,0.481719531671641,0.959227467811159,0.747491638795987,1.29911643291722,F29P1,HN,1,F29P1,other APCs,,carcinoma_invasive_F29P1_8
338,1374.31397174254,131.065934065934,49.9042386185243,337.852433281005,22.5557299843014,902.843014128728,1869.10675039246,346.41601255887,321.384615384615,106.682888540031,1472.57770800628,343.590266875981,577.117739403454,250.21978021978,1415.81161695447,783.607535321821,122.1852433281,188.285714285714,976.660910518053,809.875981161695,220.698587127159,150.52590266876,1029.89167974882,203.593406593407,62.74568288854,794.260596546311,1222.84301412873,807.040816326531,158.20251177394,246.616954474097,28114.2684458399,15484.1758241758,637,32.5267623437683,24.9705212128392,0.640819518381199,0.966616084977238,0.765625,-0.169625414535172,F29P1,HN,1,F29P1,IBA1+ tumor cells,,carcinoma_invasive_F29P1_8
385,1408.54336283186,188.518584070797,71.3362831858407,433.545132743363,478.762831858407,1015.78053097345,2221.71504424779,340.916814159292,334.867256637168,106.63185840708,1661.39115044248,373.13982300885,1336.2796460177,555.201769911505,1460.4,653.660176991151,417.575221238938,179.178761061947,1038.05309734513,839.148672566372,221.36814159292,165.286725663717,1028.9592920354,204.821238938053,77.4938053097345,833.585840707965,1266.33451327434,821.145132743363,200.18407079646,246.065486725664,27117.6194690265,15507.2389380531,565,30.121558125368,23.8998536727916,0.608639620657519,0.969125214408233,0.784722222222222,-0.210169025271086,F29P1,HN,1,F29P1,tumor cells,,carcinoma_invasive_F29P1_8
410,1926.63505154639,148.0,55.5010309278351,387.305154639175,382.6,1131.43917525773,788.150515463918,331.690721649485,343.60618556701,108.769072164948,1848.18969072165,351.835051546392,87.6041237113402,1608.60618556701,1645.71134020619,593.884536082474,655.035051546392,188.824742268041,1176.05154639175,539.441237113402,437.261855670103,156.226804123711,1192.07010309278,202.8,67.7422680412371,1509.07422680412,1409.4206185567,808.653608247423,182.635051546392,261.731958762887,27606.6886597938,15253.6041237113,485,26.4078359388523,23.4288296103183,0.461399785397574,0.971943887775551,0.746153846153846,-0.633993555960313,F29P1,HN,1,F29P1,other APCs,,carcinoma_invasive_F29P1_8
440,1706.72695652174,142.398260869565,60.5321739130435,346.351304347826,121.949565217391,1174.65565217391,1987.19130434783,405.11652173913,417.798260869565,106.986086956522,1886.08173913043,366.177391304348,1663.9147826087,346.045217391304,1743.57739130435,590.481739130435,146.401739130435,205.805217391304,1258.59826086957,622.03652173913,227.354782608696,170.610434782609,1153.38260869565,209.233043478261,89.0191304347826,814.332173913043,1372.59304347826,815.601739130435,161.229565217391,255.707826086957,27033.7339130435,16528.4608695652,575,28.4918223865591,25.7688306833378,0.42662415288865,0.971283783783784,0.789835164835165,-0.0294883682398171,F29P1,HN,1,F29P1,tumor cells,,carcinoma_invasive_F29P1_8
494,2457.25570776256,548.739726027397,449.230593607306,394.214611872146,290.981735159817,1630.54337899543,583.819634703196,375.360730593607,375.735159817352,107.694063926941,2616.6803652968,362.340182648402,201.417808219178,552.433789954338,2315.24885844749,751.01598173516,215.856164383562,266.86301369863,1660.51826484018,669.598173515982,228.920091324201,167.237442922374,1565.94748858448,551.723744292238,76.9840182648402,824.963470319635,1939.52511415525,965.429223744292,183.374429223744,254.246575342466,27219.3447488585,15794.299086758,438,24.7122857463507,22.5861559838113,0.40579377722259,0.962637362637363,0.760416666666667,-0.682067616757396,F29P1,HN,1,F29P1,memory CD4+ T cells,,carcinoma_invasive_F29P1_8
547,1975.17401960784,204.257352941177,73.4730392156863,480.401960784314,863.80637254902,1344.69852941176,663.301470588235,360.779411764706,352.330882352941,105.830882352941,2086.99264705882,373.794117647059,102.487745098039,411.183823529412,1971.26470588235,616.156862745098,182.245098039216,189.919117647059,1421.82352941176,588.811274509804,233.737745098039,151.588235294118,1292.03921568627,211.767156862745,83.7892156862745,821.051470588235,1602.83088235294,816.122549019608,164.94362745098,256.100490196078,27365.1446078431,16410.3700980392,408,26.0505408012488,20.269266887868,0.628171752881862,0.969121140142518,0.747252747252747,-1.3169606108041,F29P1,HN,1,F29P1,stromal cells,,carcinoma_invasive_F29P1_8
