cellID,Hoechst_1,CD4,FOXP3,PD-L1,Vimentin,Hoechst_2,IBA1,SOX2,PD-1,Hoechst_3,CD163,PAN-CK,gH2AX,Hoechst_4,TIM3,CD11c,CD8a,Hoechst_5,E-cadherin,CD66b,CD20,Hoechst_6,Ki67,p-S6,CD31,Hoechst_7,CD45RO,HLA-DBP1,NKG2A,CD45_2,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,Sample,Condition,Replicate,phenotype
31,4693.75090909091,672.183636363636,216.070909090909,615.454545454546,29.72,4606.35454545455,290.014545454545,187.725454545455,979.936363636364,5530.95818181818,508.703636363636,1014.70545454545,1156.19818181818,6449.09272727273,196.381818181818,119.365454545455,1159.33454545455,3360.45090909091,1575.40181818182,229.149090909091,978.772727272727,5620.18545454545,763.918181818182,3586.21636363636,505.041818181818,7320.37090909091,396.752727272727,151.416363636364,1077.03090909091,403.596363636364,37320.9163636364,17075.92,550,30.8816823458616,22.9021259892644,0.670832657873954,0.971731448763251,0.771388499298738,0.0933594802322213,FAAGSCC_13,AG,1,tumor cells
209,5877.97677119628,842.529616724739,266.990708478513,618.549361207898,57.4912891986063,5682.28106852497,338.522648083624,195.170731707317,974.236933797909,7014.54239256678,592.15331010453,687.591173054588,1112.81416957027,7707.90243902439,229.617886178862,133.605110336818,1185.33101045296,3913.36817653891,869.968641114983,227.180023228804,991.761904761905,6522.44947735192,874.76887340302,1726.86643437863,510.351916376307,8543.64692218351,473.283391405343,133.911730545877,1128.48432055749,420.508710801394,36854.7131242741,16945.5632984901,861,41.3336928342455,26.8513959355045,0.760254887294899,0.958797327394209,0.683333333333333,-0.416048245857635,FAAGSCC_13,AG,1,tumor cells
309,7000.61273209549,696.310344827586,227.875331564987,611.320954907162,34.6737400530504,6411.19628647215,299.124668435013,170.159151193634,971.62599469496,6835.3023872679,545.912466843501,1037.20159151194,1111.87267904509,7710.82228116711,191.037135278515,126.755968169761,1176.15384615385,3986.91777188329,1353.90450928382,217.888594164456,998.06100795756,6604.07957559682,745.899204244032,1197.85941644562,506.827586206897,8860.71087533156,411.2175066313,119.307692307692,1069.65517241379,410.957559681698,37090.6896551724,17717.4270557029,377,26.105863273682,18.4177410091961,0.70870784245608,0.964194373401535,0.775720164609054,-1.51675355000899,FAAGSCC_13,AG,1,tumor cells
412,8276.23638968482,791.962750716332,257.839541547278,613.810888252149,52.2478510028653,8167.96991404011,333.482808022923,211.676217765043,975.464183381089,9241.28796561605,562.512893982808,761.141833810888,1126.43553008596,10300.4484240688,201.176217765043,138.819484240688,1177.80802292264,5498.78510028653,1140.20343839542,236.398280802292,1020.49283667622,8980.45702005731,6664.6876790831,2425.49426934097,508.863896848138,10822.7435530086,462.087392550143,149.809455587393,1147.72349570201,433.45988538682,37462.1318051576,17302.0816618911,698,31.0736663822886,28.6910659931775,0.384021548975827,0.974860335195531,0.802298850574713,-0.568193779698957,FAAGSCC_13,AG,1,Ki67+ tumor cells
442,6200.28066914498,703.994423791822,227.315985130112,616.301115241636,45.1933085501859,6005.39405204461,311.578066914498,170.098513011152,968.221189591078,6642.67286245353,534.960966542751,1865.16356877323,1097.84200743494,7581.7936802974,196.518587360595,128.931226765799,1198.09851301115,3855.60223048327,1107.23605947955,207.788104089219,992.265799256506,5942.05204460967,580.823420074349,1090.36431226766,502.208178438662,7455.50743494424,407.498141263941,115.721189591078,1084.13568773234,398.553903345725,37011.8605947955,17718.1338289963,538,31.9238712033315,21.5203150952776,0.738627701648248,0.967625899280576,0.779710144927536,-0.383850358186429,FAAGSCC_13,AG,1,tumor cells
603,4438.25856164384,798.510273972603,234.402397260274,617.957191780822,33.6421232876712,4171.67294520548,303.58904109589,173.14897260274,1000.55136986301,5417.90068493151,549.739726027397,743.741438356164,1102.10102739726,6385.3698630137,208.01198630137,119.731164383562,1164.90410958904,3292.19520547945,1430.62671232877,207.602739726027,971.412671232877,5571.89212328767,419.284246575343,2114.39383561644,505.895547945206,8483.66780821918,436.068493150685,130.554794520548,1104.71232876712,410.190068493151,36980.6113013699,17372.602739726,584,31.2803755958189,23.8446695871147,0.647237430749444,0.979865771812081,0.801097393689986,-0.790442317179184,FAAGSCC_13,AG,1,tumor cells
856,6715.84659090909,750.804924242424,232.814393939394,617.975378787879,33.3390151515152,6074.91287878788,308.316287878788,176.664772727273,980.977272727273,6974.47727272727,540.670454545455,833.001893939394,1131.96212121212,7496.50189393939,215.926136363636,127.109848484848,1155.29166666667,3865.22727272727,1344.73674242424,206.856060606061,983.348484848485,6655.13068181818,508.348484848485,1714.64204545455,502.390151515152,9372.82575757576,424.079545454545,132.765151515152,1105.61174242424,416.458333333333,36867.7537878788,17429.3731060606,528,27.104564808703,24.9300811518329,0.392447834776491,0.974169741697417,0.812307692307692,-0.912986061793653,FAAGSCC_13,AG,1,tumor cells
891,7913.35149156939,703.098573281453,229.304798962387,614.551232166018,42.4150453955901,7548.52269779507,310.738002594034,174.91439688716,971.85084306096,8792.11413748379,553.508430609598,806.110246433204,1122.81712062257,9656.271076524,200.469520103761,122.578469520104,1170.24383916991,5041.12970168612,1373.81841763943,209.512321660182,980.0,8327.4915693904,997.440985732814,1098.76134889754,503.651102464332,11125.64461738,427.804150453956,122.514915693904,1079.89753566796,424.486381322957,36991.579766537,17679.3826199741,771,34.4629656354549,28.516587366952,0.56153057237667,0.972257250945776,0.778787878787879,-0.548363903174551,FAAGSCC_13,AG,1,tumor cells
909,3844.67109144543,663.345132743363,212.498525073746,615.442477876106,24.7374631268437,3672.39970501475,310.420353982301,201.144542772861,976.15191740413,5010.35693215339,537.945427728614,1800.7994100295,1184.60766961652,5657.84808259587,172.941002949853,112.004424778761,1150.16076696165,3084.69616519174,748.852507374631,198.678466076696,977.020648967552,4845.69764011799,461.53982300885,1714.42625368732,501.864306784661,6836.24483775811,377.610619469027,132.550147492625,1062.1592920354,397.241887905605,37207.592920354,16860.994100295,678,30.5435640085093,28.3482726114048,0.372266473529326,0.97274031563845,0.729032258064516,-0.951403656634847,FAAGSCC_13,AG,1,tumor cells
1083,5575.29653679654,709.479076479077,223.280663780664,613.032467532468,31.2835497835498,5480.85209235209,329.02886002886,222.200577200577,980.7886002886,7023.96031746032,536.799422799423,1037.53751803752,1323.75252525253,7775.36002886003,199.041125541126,140.373737373737,1218.62914862915,4156.15295815296,1309.00577200577,252.364357864358,1094.41774891775,6247.36507936508,4453.03246753247,3324.0974025974,506.231601731602,5947.1847041847,437.010822510823,140.937950937951,1139.4531024531,393.458152958153,38040.5245310245,17106.7359307359,1386,54.433184894693,32.6703947345846,0.799855514231869,0.975369458128079,0.740384615384615,-0.318808606236635,FAAGSCC_13,AG,1,Ki67+ tumor cells
