Unnamed: 0,CellID,Hoechst_1,CD4,FOXP3,PD-L1,Vimentin,Hoechst_2,IBA1,SOX2,PD-1,Hoechst_3,CD163,PAN-CK,gH2AX,Hoechst_4,TIM3,CD11c,CD8a,Hoechst_5,E-cadherin,CD66b,CD20,Hoechst_6,Ki67,p-S6,CD31,Hoechst_7,CD45RO,HLA-DBP1,NKG2A,CD45_2,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,Sample,Condition,Replicate,imageid,phenotype,Delete,TDA
21,28,11985.3341614907,129.839751552795,77.3552795031056,601.734161490683,13.944099378882,3239.92298136646,456.252173913043,264.223602484472,962.232298136646,5049.24596273292,381.623602484472,832.655900621118,1779.2149068323,2989.97763975155,436.776397515528,162.755279503106,1058.43105590062,2572.13540372671,792.608695652174,422.308074534162,1029.4198757764,1955.68074534162,16186.0024844721,577.818633540373,573.319254658385,1193.72795031056,303.76397515528,112.285714285714,988.069565217391,417.893167701863,11232.3602484472,8772.93788819876,805,35.2829707809873,29.0589440785431,0.567175639500395,0.974576271186441,0.786901270772239,-0.566019160164045,FAHNSCC_15,HN,1,FAHNSCC_15,Ki67+ tumor cells,,carcinoma_in_situ_FAHNSCC_15_1
43,60,38086.1538461538,406.711538461538,783.134615384615,599.75,34.4935897435897,10070.75,672.403846153846,204.294871794872,981.410256410256,14405.1474358974,509.480769230769,197.185897435897,948.538461538462,10214.8269230769,559.230769230769,247.910256410256,929.544871794872,9722.48076923077,677.032051282051,421.814102564103,964.121794871795,11510.5705128205,282.230769230769,744.391025641026,582.224358974359,7067.75,432.294871794872,167.596153846154,1002.02564102564,457.628205128205,11339.3846153846,9837.71794871795,156,15.4853254152888,12.8362811698368,0.559349446521699,0.939759036144579,0.75,1.37006262962554,FAHNSCC_15,HN,1,FAHNSCC_15,Unknown,,carcinoma_in_situ_FAHNSCC_15_1
63,86,7485.78532311063,158.743702081051,74.5202628696605,599.375684556408,13.421686746988,1894.49835706462,456.878422782037,256.545454545455,955.256297918949,3120.05147864184,387.616648411829,2726.9726177437,974.532311062432,2159.81051478642,334.58269441402,149.435925520263,1047.38554216867,1643.75355969332,845.077765607886,402.567360350493,1033.57502738226,1165.32858707558,383.500547645126,3068.49726177437,575.82256297919,835.996714129244,258.21139101862,113.559693318729,985.454545454546,411.346111719606,12632.5334063527,8820.63636363636,913,38.4434836237872,30.4693488432818,0.609774278759345,0.974386339381003,0.755169561621175,-0.207865844593164,FAHNSCC_15,HN,1,FAHNSCC_15,tumor cells,,carcinoma_in_situ_FAHNSCC_15_1
72,95,5484.39642857143,98.5964285714286,54.1392857142857,595.6375,11.9571428571429,1447.33214285714,319.319642857143,182.741071428571,949.542857142857,2380.35357142857,311.803571428571,1420.73214285714,988.521428571429,1622.87857142857,331.648214285714,136.391071428571,1007.05535714286,1494.40892857143,931.325,405.289285714286,1054.53035714286,1141.82857142857,236.673214285714,1206.84642857143,573.580357142857,873.623214285714,251.916071428571,103.342857142857,981.814285714286,412.258928571429,11246.3517857143,9283.25535714286,560,30.7751296549907,23.1981409095058,0.657109577993809,0.957264957264957,0.777777777777778,-0.161549629703768,FAHNSCC_15,HN,1,FAHNSCC_15,tumor cells,,carcinoma_in_situ_FAHNSCC_15_1
87,113,8808.89142857143,126.384285714286,68.5771428571429,603.917142857143,15.6757142857143,2265.50428571429,430.078571428571,223.957142857143,959.17,3446.37428571429,377.99,576.562857142857,1023.61571428571,2298.03571428571,371.202857142857,193.362857142857,1161.25571428571,1725.92857142857,1264.63571428571,397.672857142857,1056.16428571429,1206.15142857143,658.862857142857,2152.32857142857,580.837142857143,808.338571428571,273.168571428571,131.588571428571,1005.49,410.3,12934.3385714286,9032.12,700,33.0239106086118,27.0034332955472,0.575653998462299,0.970873786407767,0.757575757575758,0.18845199668995,FAHNSCC_15,HN,1,FAHNSCC_15,tumor cells,,carcinoma_in_situ_FAHNSCC_15_1
88,114,7349.67418546366,116.290726817043,65.9824561403509,600.365914786967,18.4461152882206,2182.93984962406,358.771929824561,222.614035087719,948.636591478697,3424.95488721805,374.934837092732,815.96992481203,1249.81203007519,2056.28571428571,359.187969924812,140.65664160401,1039.49373433584,1861.22055137845,1186.96741854637,411.674185463659,960.095238095238,1328.32581453634,8030.10275689223,2548.24561403509,577.764411027569,818.711779448622,271.862155388471,110.619047619048,989.974937343358,411.531328320802,12338.1854636591,9879.45363408521,399,25.09838596928,20.264233488387,0.590015527585651,0.959134615384615,0.76,-1.32314998548522,FAHNSCC_15,HN,1,FAHNSCC_15,Ki67+ tumor cells,,carcinoma_in_situ_FAHNSCC_15_1
90,116,8967.43178807947,143.496688741722,73.4953642384106,599.744370860927,12.1152317880795,2383.99072847682,444.55761589404,215.614569536424,948.727152317881,3609.5059602649,412.152317880795,1300.56158940397,1094.05430463576,2303.34304635762,386.01059602649,148.866225165563,1011.54437086093,1816.73377483444,960.924503311258,413.572185430464,963.116556291391,1255.61721854305,3376.3417218543,1154.32847682119,571.561589403974,1013.94701986755,305.24238410596,117.2,996.333774834437,418.24238410596,12071.9629139073,9110.99337748344,755,31.8639765958377,30.1968275433728,0.319224297440793,0.972938144329897,0.785639958376691,-0.713875139878565,FAHNSCC_15,HN,1,FAHNSCC_15,Ki67+ tumor cells,,carcinoma_in_situ_FAHNSCC_15_1
109,140,9484.45833333333,122.576086956522,59.3786231884058,602.715579710145,12.4329710144928,2365.1231884058,379.646739130435,211.539855072464,956.224637681159,3764.58695652174,353.565217391304,1126.76630434783,1236.49456521739,2151.36956521739,380.45652173913,146.784420289855,1001.10688405797,2080.63043478261,1007.67934782609,410.83152173913,1019.57608695652,1583.18115942029,439.476449275362,517.289855072464,574.240942028986,1041.49637681159,273.31884057971,109.423913043478,988.260869565217,414.269927536232,11095.875,9056.10688405797,552,31.871423811176,22.0778561217314,0.721210142269361,0.958333333333333,0.741935483870968,-1.25129527084188,FAHNSCC_15,HN,1,FAHNSCC_15,tumor cells,,carcinoma_in_situ_FAHNSCC_15_1
132,172,9281.68527918782,107.297800338409,62.8138747884941,598.113367174281,13.8477157360406,2864.54822335025,441.714043993232,216.301184433164,958.590524534687,4351.15905245347,373.910321489002,2017.99492385787,987.426395939086,2373.82741116751,422.871404399323,142.108291032149,1031.58714043993,2193.91708967851,1238.26903553299,415.416243654822,1117.13028764805,1551.10152284264,339.680203045685,994.720812182741,571.991539763113,1020.86971235195,286.27241962775,111.510998307953,982.238578680203,417.250423011844,11854.0423011844,8883.40609137056,591,29.6678893344108,25.3989869845424,0.516793069368137,0.960975609756098,0.788,0.0193352379555441,FAHNSCC_15,HN,1,FAHNSCC_15,tumor cells,,carcinoma_in_situ_FAHNSCC_15_1
146,187,15766.4098360656,139.711475409836,63.9147540983607,601.980327868852,127.659016393443,4712.26557377049,510.206557377049,176.377049180328,949.780327868852,6917.76393442623,458.918032786885,163.268852459016,952.511475409836,4910.14426229508,430.15737704918,145.360655737705,1013.79672131148,4462.76393442623,651.052459016393,412.219672131148,960.344262295082,4048.02950819672,216.809836065574,2497.57704918033,1025.33770491803,1713.37704918033,312.554098360656,134.511475409836,1004.71803278689,422.583606557377,11981.1672131148,10120.2,305,24.8588779864251,15.6307169844309,0.77758482225275,0.944272445820434,0.7625,-1.49820846451972,FAHNSCC_15,HN,1,FAHNSCC_15,stromal cells,,carcinoma_in_situ_FAHNSCC_15_1
