,Carcinoma_AGSCC_2_10_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_11_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_12_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_13_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_14_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_15_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_16_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_17_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_18_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_19_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_1_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_20_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_21_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_22_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_23_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_24_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_25_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_26_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_27_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_28_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_29_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_2_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_30_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_31_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_32_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_33_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_34_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_35_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_36_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_37_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_38_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_39_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_3_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_40_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_4_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_5_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_6_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_7_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_8_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_9_tumorales_no_tumorales.csv,Carcinoma_FAHNSCC_14_1_tumorales_no_tumorales.csv,Carcinoma_FAHNSCC_14_2_tumorales_no_tumorales.csv,Carcinoma_FAHNSCC_14_3_tumorales_no_tumorales.csv,Carcinoma_FAHNSCC_14_4_tumorales_no_tumorales.csv,Carcinoma_FAHNSCC_14_5_tumorales_no_tumorales.csv,Carcinoma_FAHNSCC_15_1_tumorales_no_tumorales.csv,Carcinoma_FAHNSCC_15_2_tumorales_no_tumorales.csv,Dysplasia-HG_FAHNSCC_15_1_tumorales_no_tumorales.csv,Dysplasia-HG_FAHNSCC_15_2_tumorales_no_tumorales.csv,Dysplasia-HG_FAHNSCC_15_3_tumorales_no_tumorales.csv,Dysplasia-HG_FAHNSCC_15_4_tumorales_no_tumorales.csv,Dysplasia-LG_FAHNSCC_15_1_tumorales_no_tumorales.csv,Dysplasia-LG_FAHNSCC_15_2_tumorales_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_1_tumorales_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_2_tumorales_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_3_tumorales_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_4_tumorales_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_5_tumorales_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_6_tumorales_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_7_tumorales_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_8_tumorales_no_tumorales.csv,Dysplasia_FAAGSCC_13_1_tumorales_no_tumorales.csv,Dysplasia_FAAGSCC_13_2_tumorales_no_tumorales.csv,Dysplasia_FAAGSCC_13_3_tumorales_no_tumorales.csv,Dysplasia_FAAGSCC_13_4_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma-Dysplasia_FAHNSCC_14_1_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_10_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_1_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_2_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_3_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_4_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_5_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_6_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_7_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_8_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_9_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_14_1_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_14_2_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_14_3_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_15_1_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_15_2_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia-HG_FAHNSCC_15_1_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia-HG_FAHNSCC_15_2_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia-HG_FAHNSCC_15_3_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_10_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_11_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_1_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_2_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_3_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_4_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_5_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_6_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_7_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_8_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_9_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAHNSCC_14_1_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAHNSCC_14_2_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAHNSCC_14_3_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAHNSCC_14_4_tumorales_no_tumorales.csv
Carcinoma_AGSCC_2_10_tumorales_no_tumorales.csv,0.0,1345.6369985568447,1214.7250797337856,1152.0767689334289,870.4924803452578,816.0746062458543,893.4446151328985,814.0421823340737,788.6491403205574,1206.5948372371158,3275.2097141486393,1574.7806284944304,1136.709041465816,935.3383026201669,778.7571459093984,1641.52674415796,1748.0854799969027,1441.3709279893812,1553.189109717032,831.4376235241033,1174.6976135829232,3134.949382630439,643.852156409081,1008.3813670861174,1976.6293425550664,1579.4399625726758,1552.0295231967914,2518.404318278408,1144.587951530564,962.0122165161125,1428.205079336822,1994.5792731131448,2877.1692549389445,1404.2476091387368,916.9121637557142,1106.6124165604685,914.6546115354981,1107.7915858083506,871.4277511648271,714.6266686988173,1289.0900423060232,1464.6931278688173,2478.0132400320795,2476.113288911175,2250.6080679328315,3225.5013292215335,4171.407325557231,1944.4081451161805,3630.533505398288,4420.337941735086,4425.015451440528,3914.7304604866185,3835.084768286373,2387.706976757864,3734.70565043408,3940.730632337026,4004.6359055133407,2490.534622235452,4326.930112522401,2916.0179086953694,4945.9778159989855,4253.949339718464,4707.242025527166,3378.389226507891,1994.5016734561489,4118.745593306035,3945.448309361595,6465.980940306832,6411.938647579098,4442.294595851395,3863.011184273692,3805.241437954423,3215.91171735328,4651.474594848629,5137.952062212574,6159.375271871103,3780.2005762633657,3949.7230800604907,3502.8758377404242,4629.474287479127,6062.627425458708,3669.7805348962443,3869.3917576305344,6812.290894702621,7016.668311131584,3641.4450186464783,9143.424760022444,5673.633141139991,8265.35982568087,6879.9595649462235,6428.278235439085,6773.404903160767,6083.966555469668,6574.3274699533895,6708.740844483701,5532.972880712871,3768.2183282464516,3773.6827107917793,3430.1172118444993
Carcinoma_AGSCC_2_11_tumorales_no_tumorales.csv,1345.6369985568447,0.0,1397.331919756766,881.7377831715971,1232.7323450342478,1413.0266334886019,1035.9572082580653,1519.9141173567618,1215.5265310059565,894.0679669942217,2714.7009403594147,1564.194577328359,1686.9470838843179,1449.5079458339358,1294.5111837795869,1737.3540950592637,1750.4206016825021,1423.92855996249,1557.6004276669132,1297.7301018817088,1137.6594416290145,2492.205126314609,1157.4343650429919,930.4224573733426,1827.4378934938716,1400.063518451711,1316.513781869462,2027.9876486884298,1443.5376809309935,918.9847633231622,971.5586025051902,1542.8693617457413,2311.7985508483694,1565.1695874875227,932.3648854309971,967.1210469288977,1308.786357382851,995.5174350775804,1048.2823605860835,1050.719253745691,1226.694054431692,1299.4641186827366,2264.963418726662,1960.0648131562511,1659.7628589533651,2587.1065832603153,3564.569274668821,1554.1168797476234,2945.2149302132802,3736.551476593999,3738.215022899071,3317.159789916915,3217.0490402813975,1785.508808327236,3124.4431420374194,3240.74084500226,3423.5996464105274,1956.6048394004592,3619.4008462514103,2220.562624037596,4333.754355119736,3660.3615501081704,4131.125151865768,2740.0790837966683,1479.0405110246895,3645.7967733733653,3499.853341045994,5882.323355749567,5815.045961326256,3803.9885653125166,3210.3207347827943,3254.0236012215237,2655.8015338036766,4010.666467653677,4511.935909704045,5487.850363670918,3328.115366272464,3538.606216723328,2976.529490335259,4033.40859390128,5463.16919317626,3052.401009438737,3278.731331743823,6218.890684936993,6502.60405401767,3059.8335994275835,8669.19336752923,5004.7472938023675,7739.339001880932,6357.831729935748,5912.215673249456,6176.979089244156,5533.228074118007,6098.370858141848,6181.4705287823,4930.779934318193,3511.1666704238673,3569.50979997188,3044.619580488
Carcinoma_AGSCC_2_12_tumorales_no_tumorales.csv,1214.7250797337856,1397.331919756766,0.0,1487.604834223495,779.668679850744,989.1133406108719,1366.984120272034,1637.0258191348248,880.1576927778573,1554.7592572581132,2662.052615330964,1014.4871957911404,890.8527821452938,998.5626206782503,1111.462378227428,2375.728606541886,2413.444515561437,739.7139284059186,788.108831653582,875.518202494338,871.0796879705224,2550.398876567409,1020.1241002440441,1440.6478103188367,2561.7683836203364,874.4940449080672,946.9348875492966,1620.5634031607149,952.298730889546,1295.8740047899907,1673.0929635831712,1350.0490524781894,2089.8508939960857,2145.0796169078285,1313.6234991914998,1494.4776213677715,1617.1759145887272,1623.085002591358,1418.6119069510387,1096.776481048833,1793.4768559812924,1894.1298477156326,2731.977805640175,1726.2377262383845,2189.3878941669536,2813.3920695801903,3746.2094568849816,1250.1533864950143,2987.6025926460065,3798.1630674749717,3818.5347216419113,3629.277189977472,3495.542848321734,2185.465850540072,3585.3455219673974,3656.6435751026193,3838.9463432775437,2693.9772221239846,3955.71566161965,2424.0688580352576,4413.60401501844,3445.6594518761854,3967.497020555645,2723.9893789549756,1502.2087905424835,4142.575326078496,3963.8235682218115,6415.452049313978,6327.468867495786,4251.938075132811,3533.25625404504,3632.3729926031647,2901.675707545015,4442.493281237134,4875.056380311938,5937.56023912379,3741.4068014935006,3967.1461795921978,3455.39786956084,4475.5196405993875,5975.930170994423,3565.025970080088,3674.576802362555,6693.695168938117,7046.512354656008,3427.877957024368,9181.836894493372,5432.246365098882,8289.299947368807,6876.062514678335,6391.413911285199,6713.4767714081945,6015.795586431366,6631.25217834212,6675.960560984534,5436.247655362088,3869.808563509312,3888.6730622294212,3432.4636916593336
Carcinoma_AGSCC_2_13_tumorales_no_tumorales.csv,1152.0767689334289,881.7377831715971,1487.604834223495,0.0,1243.5678066912915,1382.9274347881815,982.4747306905746,1234.2361881642914,1183.724013329134,875.5560232919463,2946.027231199933,1664.1674217699033,1723.136196611244,1421.8586012473852,1247.1321669817253,1549.9974086094985,1575.3652819040872,1606.7233540185907,1697.5772458129009,1294.0552820168987,1207.3341871683122,2779.5088190668507,1057.7430960289528,827.5453929992553,1767.6607046753852,1611.1465130186334,1512.9044132549486,2284.8119763134255,1440.3808312914466,901.7088225450836,1059.9413982813664,1713.5470697281844,2605.1754477520426,1317.550036599198,827.9019761818274,940.8271469012986,1017.6484875779848,960.267401132266,842.3070993010379,1023.3660049528859,1191.7016818909694,1305.9276898871408,2338.9924953026007,2256.539470116742,1832.4538479023408,2780.451218517874,3774.731883083934,1826.9487395242522,3231.778936233429,3991.8831069744347,3984.90063931881,3473.6659908136467,3420.916405019921,1932.521940068506,3212.4083294806524,3431.033030949618,3585.1851114760484,2006.5859764130116,3807.427389005602,2426.4329558687814,4556.883471134975,3937.645550620654,4417.056315817724,3050.3091542769357,1734.499802391357,3721.935800484446,3642.7809747430415,5983.557435166494,5940.277563647677,3923.379090775612,3344.7966837632875,3428.252519956456,2848.7150706799825,4142.004289737956,4708.788684407898,5625.0304873041805,3457.464318307561,3623.5683958011277,3119.7964219537553,4135.486877697616,5568.503791123749,3196.4296722694858,3397.2714461005703,6306.571569755102,6600.700411992376,3201.7722529589378,8740.823679481053,5167.0309517667065,7808.086390479516,6455.661960951807,6040.601345821399,6304.5676769244055,5665.654273711172,6184.295320737101,6286.987392887109,5031.7488725046605,3577.371125186192,3652.385062448245,3146.1931379660764
Carcinoma_AGSCC_2_14_tumorales_no_tumorales.csv,870.4924803452578,1232.7323450342478,779.668679850744,1243.5678066912915,0.0,807.5440127322756,1023.5913867838507,1231.6913037948439,655.4709546794979,1234.7695269393191,2839.4270436046704,1183.8922259178821,894.2231530403367,889.295978454786,859.4093440073857,1960.8065560149428,2004.986607687056,987.9632201380808,1082.8676110341235,705.9398527521411,930.0447368246388,2772.1052137824813,741.2532518189573,1119.7980603647175,2180.840087923994,1102.2073725866348,1096.8047527956708,1970.61348389892,972.7674000533833,1038.8598857824122,1453.3839214706459,1578.9607142522932,2407.6345064776046,1707.865930160542,1057.1078477535723,1225.0575346433006,1193.6490856852488,1257.6106458108716,1073.4999830271083,776.2676531131262,1435.1264930998834,1569.0417983724922,2469.1581894931846,2044.408504409371,2096.4142231451124,2944.1919617945123,3902.2166058689722,1481.1478582280336,3246.549421092649,4039.9401827309275,4050.1699688282742,3677.802206223285,3575.835529277588,2165.046710315517,3572.963464479779,3722.2955166067823,3813.324683807355,2484.2113899058495,4091.1905666915954,2576.3221013054867,4611.280427603757,3750.504054860944,4240.835848396477,2978.139842152688,1641.005829080974,4029.0398375779514,3858.3130531604506,6346.978657329449,6280.97068506347,4273.237653005848,3634.314987475982,3619.934965806565,2982.667176158397,4486.230585768088,4914.226651173452,5978.071948675087,3661.153499468897,3856.328590035986,3370.026899036849,4450.6537637040365,5915.585118291019,3499.6735804563627,3676.8424526113845,6667.883521298143,6936.405713246226,3457.816732149827,9060.4605697039,5456.119096402408,8174.129553907172,6783.8125131675815,6314.706762315858,6653.145659872006,5968.663097131111,6495.303985993057,6597.488952586982,5396.97277616826,3708.1210097867606,3717.0994112804665,3341.9528672280553
Carcinoma_AGSCC_2_15_tumorales_no_tumorales.csv,816.0746062458543,1413.0266334886019,989.1133406108719,1382.9274347881815,807.5440127322756,0.0,1122.901504183834,1147.374062901197,780.4563583672101,1426.1642474062992,3231.474449064703,1219.0707746286105,841.6323681772424,686.616489949818,728.1562995361384,2085.3071735843214,2192.7654565178955,1268.2527918407175,1281.1783670771956,792.0540429682129,1142.8430597432891,3077.3048211846685,780.9285917771556,1281.4991376874564,2363.183901546234,1409.6254656275794,1423.338288553196,2274.535013409432,869.2498796719105,1197.1912416399875,1667.9999316195192,1891.1518941747725,2733.6855843937715,1822.1591655756074,1160.8078577688445,1348.2973585640034,1278.5810258789672,1398.4289752562656,1155.3234731989705,891.6069620560625,1618.2087318739755,1770.477115196565,2731.5572431933897,2378.6355249233984,2350.646347619925,3253.8505526550293,4203.010392467678,1776.8207060821123,3563.024221877395,4361.458707926534,4382.250153758004,3991.3208633500985,3870.0184499678626,2472.5269106017563,3830.874055952497,4011.8507789311043,4100.69261225103,2725.9020076516526,4360.1140968151085,2907.872062827141,4943.7325543144325,4109.022116974494,4606.163853540172,3310.119787725837,1969.6291533968915,4241.716460717991,4075.868676948285,6580.952414075919,6509.041888669274,4532.351166712873,3908.714295775042,3900.291074508382,3267.7565436580735,4725.469645270849,5221.644508075408,6252.766230916096,3893.066064680873,4071.485187205433,3613.446476026027,4733.237985761316,6169.205005777797,3773.8779824005546,3943.785035735308,6921.409368066906,7146.03667992545,3719.2444000652617,9264.51462364878,5762.0537623404925,8384.850772768785,6995.407731247472,6547.981711096344,6891.100975917656,6198.043277632475,6699.523385545862,6818.198128943925,5644.238686669593,3923.115327931146,3939.045145440722,3573.1054946312074
Carcinoma_AGSCC_2_16_tumorales_no_tumorales.csv,893.4446151328985,1035.9572082580653,1366.984120272034,982.4747306905746,1023.5913867838507,1122.901504183834,0.0,925.5265613418616,1045.162593508423,889.1730132607075,3233.4284561776963,1858.9163624496462,1453.0054362149065,1336.098850186639,981.5034948258091,1266.0444043904042,1362.2113614708337,1484.6124488806329,1687.1404586934357,1091.6844727210291,1203.4256044588035,2969.285201508758,849.0153521176163,791.3419122186406,1553.5654646336443,1542.6445841934676,1558.2354113910485,2490.2442595299103,1434.427263997344,790.3444411259331,1130.0542428723827,1975.8398408070507,2753.744028014059,1131.3118474715138,738.1721705419567,861.5725016845494,837.2425365532353,830.9535759124103,855.3679017361429,677.3345771531244,880.4876700911584,1018.4662057591429,2129.345133621568,2345.018915948415,1989.6817515751477,3065.5396877456396,3999.686984536653,1846.8553168637834,3464.033116705859,4268.715573894563,4263.999444122312,3764.609178798328,3659.622602671378,2199.5417005069617,3557.677107595455,3728.398261196576,3803.6160135221076,2109.9155168025522,4122.637323020983,2773.314588872134,4781.312555128882,4188.002763060146,4640.444973395084,3226.9868778128443,1824.6934490981976,3884.9012455550164,3716.0141728123413,6268.214119103128,6187.303650112921,4229.178033645989,3657.8916739075917,3600.224550488413,3031.212659020053,4460.124126394148,4939.521492357624,5990.383595141748,3561.944795369489,3728.0405323477326,3317.6227595693995,4441.5611779411975,5855.494975146108,3471.391325135764,3651.483062601916,6626.127798765876,6779.501896833284,3453.608781778286,8901.67288028905,5489.19192954647,8028.790411156255,6651.6434884680275,6220.967661101632,6575.768487374274,5866.265732171355,6346.584254404117,6486.563586982838,5326.595234946306,3533.5702878635975,3520.56781554191,3218.189968244223
Carcinoma_AGSCC_2_17_tumorales_no_tumorales.csv,814.0421823340737,1519.9141173567618,1637.0258191348248,1234.2361881642914,1231.6913037948439,1147.374062901197,925.5265613418616,0.0,1135.1825622301155,1270.014800289918,3704.0908104035507,1982.1118738043428,1534.7413656090898,1281.1978438808458,1008.2014309454759,1355.30464947453,1581.3724853670915,1826.5477032965061,1957.0785615028012,1168.5668135350065,1495.099793644114,3503.119129032969,958.324928143912,1092.1131159978409,1769.901161890928,2002.781734474687,1957.2518304256469,2926.686549447716,1472.636679098985,1139.4555283476618,1535.287219845798,2426.5312682077306,3276.407331200376,1136.589096388509,1053.1214702684897,1133.267136592533,901.0242895737744,1077.901792682208,949.3433461913064,915.6779574299148,1183.4243973459456,1422.4972049671594,2451.2654150132316,2878.703348450375,2422.8631190937954,3561.96672375107,4484.022773556702,2347.9210039333216,3984.1450551041976,4775.460745410688,4774.492439753175,4225.291808571337,4134.480317533653,2653.890939452462,3966.8519837995027,4180.024175158188,4197.768563565386,2508.395263073276,4602.706976650277,3280.948480706758,5283.756270856961,4689.1734242600005,5141.3477568301,3746.989152736957,2343.125276623554,4196.841998140994,4026.429647526355,6600.245040053428,6533.0448497300395,4653.8525200755685,4131.512965281131,4015.860478964298,3486.3554485939726,4872.359293480267,5373.932554856661,6389.825984405485,3895.863411248518,4037.9943059487478,3697.6958938561097,4828.136820011385,6225.191489993479,3855.9255367655387,4104.049226918043,6991.667818570953,7068.353745929709,3870.983231413022,9184.664384371508,5919.354787763081,8327.64474263218,6967.55050430428,6554.729911228024,6904.180383697962,6221.403332353761,6663.762033491842,6827.694076619035,5679.362564009986,3794.4060575758926,3796.2514591714876,3528.3789425299997
Carcinoma_AGSCC_2_18_tumorales_no_tumorales.csv,788.6491403205574,1215.5265310059565,880.1576927778573,1183.724013329134,655.4709546794979,780.4563583672101,1045.162593508423,1135.1825622301155,0.0,1217.1948779454187,2867.7696150797597,1147.6111043608603,944.4965895240208,824.1077760580908,817.1011308341189,1931.5035547133225,2012.1337434416962,1130.0399585027149,1170.5567025608825,633.5444431316424,913.7822913936487,2787.8470883815944,669.8481075405216,1096.709137082657,2193.517291355237,1190.806834338327,1171.8196102896752,2077.6820729493174,880.8114055348087,1029.4917080786151,1412.7343125223745,1612.7211751108252,2464.2343621612767,1637.7494068892286,984.5598346642278,1176.2841945674218,1163.2783372252884,1221.7966238945808,974.7557338369826,777.1917163111289,1485.3882968942612,1633.5470834725113,2481.3336585982997,2104.2045688585904,2029.250984427024,2900.6546829587355,3860.5741018796807,1571.2564947177887,3239.9573633617924,4025.2803447702677,4051.3513451668505,3632.6452694657028,3523.8314133746862,2100.588646159437,3506.2514430369047,3658.190459354436,3751.602522962263,2458.510941172041,4028.268650603903,2557.4893495074652,4583.881285983104,3810.441406648489,4278.8530111491955,2984.8047267201073,1647.222358909965,3955.8176914564674,3778.7757862875224,6264.986423215346,6196.223356131415,4188.354975952924,3569.1057302484687,3555.9335005122707,2925.9263648147707,4415.388202785743,4860.266418255967,5915.584767586503,3576.5150933125497,3777.4973600717112,3307.2773908818217,4389.166437546826,5846.053909039641,3437.041816943157,3628.741619899163,6590.8412258528315,6855.5081103376415,3391.769048855333,8985.813223487581,5391.972962873598,8096.51564856363,6701.743577159986,6232.2233929392305,6566.771676483247,5881.677429528441,6430.8587118275545,6508.585695784746,5318.318453241172,3685.0250070162,3707.1566060831815,3265.0886136904314
Carcinoma_AGSCC_2_19_tumorales_no_tumorales.csv,1206.5948372371158,894.0679669942217,1554.7592572581132,875.5560232919463,1234.7695269393191,1426.1642474062992,889.1730132607075,1270.014800289918,1217.1948779454187,0.0,2958.7419586211554,1912.8779669094297,1758.111047074649,1491.3143142201448,1311.0651070154788,1312.4580957121789,1305.502210894336,1639.9556234707509,1814.1478824774033,1335.3528152992048,1256.241392255909,2762.5095554498116,1096.3515815604185,753.6319975297581,1447.8789254869014,1589.2297397214763,1634.9921437533394,2424.5269706878107,1555.4779174448586,807.7195546474303,934.4151727696458,1880.909611786106,2566.4908444629345,1114.1442671207183,782.910059701557,805.3289374769989,1047.3088898501328,831.0963444911079,829.9973604917697,1015.6590219730892,930.3634833085144,1006.3051645853934,2049.3010376940583,2186.5681298490304,1704.2223597825628,2738.877318814731,3695.606362273103,1786.599794347851,3186.73670452404,3967.031514504675,3968.2591267039265,3475.422290972592,3378.9558106481472,1901.7816004821327,3224.0919739828896,3392.756167269935,3524.6152155066657,1845.0524215398657,3816.133160755906,2473.4586700214436,4496.253439830191,3983.133136154076,4365.9433454735245,2949.35773863555,1673.8228821845373,3693.8595481508355,3519.169012700193,6011.347023227712,5934.368938348297,3946.93163409092,3354.249110084171,3313.358631186565,2736.9687620992904,4164.480840102751,4649.9136898354855,5635.480146817242,3356.772468497763,3544.1528920593605,3039.416187459431,4136.500957963372,5593.989319764129,3175.72770900877,3382.8512165450984,6334.01833034348,6606.14304299069,3116.6479145622025,8730.98108687953,5174.122150423516,7821.498588958472,6460.03100123466,5995.236676775118,6319.605763927176,5642.7704724551795,6163.046169969185,6280.407657581748,5045.239527187595,3433.583624979847,3504.044387786152,3033.1393520132688
