,Carcinoma_AGSCC_2_1.csv,Carcinoma_AGSCC_2_10.csv,Carcinoma_AGSCC_2_11.csv,Carcinoma_AGSCC_2_12.csv,Carcinoma_AGSCC_2_13.csv,Carcinoma_AGSCC_2_14.csv,Carcinoma_AGSCC_2_15.csv,Carcinoma_AGSCC_2_16.csv,Carcinoma_AGSCC_2_17.csv,Carcinoma_AGSCC_2_18.csv,Carcinoma_AGSCC_2_19.csv,Carcinoma_AGSCC_2_2.csv,Carcinoma_AGSCC_2_20.csv,Carcinoma_AGSCC_2_21.csv,Carcinoma_AGSCC_2_22.csv,Carcinoma_AGSCC_2_23.csv,Carcinoma_AGSCC_2_24.csv,Carcinoma_AGSCC_2_25.csv,Carcinoma_AGSCC_2_26.csv,Carcinoma_AGSCC_2_27.csv,Carcinoma_AGSCC_2_28.csv,Carcinoma_AGSCC_2_29.csv,Carcinoma_AGSCC_2_3.csv,Carcinoma_AGSCC_2_30.csv,Carcinoma_AGSCC_2_31.csv,Carcinoma_AGSCC_2_32.csv,Carcinoma_AGSCC_2_33.csv,Carcinoma_AGSCC_2_34.csv,Carcinoma_AGSCC_2_35.csv,Carcinoma_AGSCC_2_36.csv,Carcinoma_AGSCC_2_37.csv,Carcinoma_AGSCC_2_38.csv,Carcinoma_AGSCC_2_39.csv,Carcinoma_AGSCC_2_4.csv,Carcinoma_AGSCC_2_40.csv,Carcinoma_AGSCC_2_5.csv,Carcinoma_AGSCC_2_6.csv,Carcinoma_AGSCC_2_7.csv,Carcinoma_AGSCC_2_8.csv,Carcinoma_AGSCC_2_9.csv,Carcinoma_FAHNSCC_14_1.csv,Carcinoma_FAHNSCC_14_2.csv,Carcinoma_FAHNSCC_14_3.csv,Carcinoma_FAHNSCC_14_4.csv,Carcinoma_FAHNSCC_14_5.csv,Carcinoma_FAHNSCC_15_1.csv,Carcinoma_FAHNSCC_15_2.csv,Dysplasia-HG_FAHNSCC_15_1.csv,Dysplasia-HG_FAHNSCC_15_2.csv,Dysplasia-HG_FAHNSCC_15_3.csv,Dysplasia-HG_FAHNSCC_15_4.csv,Dysplasia-LG_FAHNSCC_15_1.csv,Dysplasia-LG_FAHNSCC_15_2.csv,Dysplasia-S_FAAGSCC_13_1.csv,Dysplasia-S_FAAGSCC_13_2.csv,Dysplasia-S_FAAGSCC_13_3.csv,Dysplasia-S_FAAGSCC_13_4.csv,Dysplasia-S_FAAGSCC_13_5.csv,Dysplasia-S_FAAGSCC_13_6.csv,Dysplasia-S_FAAGSCC_13_7.csv,Dysplasia-S_FAAGSCC_13_8.csv,Dysplasia_FAAGSCC_13_1.csv,Dysplasia_FAAGSCC_13_2.csv,Dysplasia_FAAGSCC_13_3.csv,Dysplasia_FAAGSCC_13_4.csv,Stroma_ad_Carcinoma-Dysplasia_FAHNSCC_14_1.csv,Stroma_ad_Carcinoma_AGSCC_2_1.csv,Stroma_ad_Carcinoma_AGSCC_2_10.csv,Stroma_ad_Carcinoma_AGSCC_2_2.csv,Stroma_ad_Carcinoma_AGSCC_2_3.csv,Stroma_ad_Carcinoma_AGSCC_2_4.csv,Stroma_ad_Carcinoma_AGSCC_2_5.csv,Stroma_ad_Carcinoma_AGSCC_2_6.csv,Stroma_ad_Carcinoma_AGSCC_2_7.csv,Stroma_ad_Carcinoma_AGSCC_2_8.csv,Stroma_ad_Carcinoma_AGSCC_2_9.csv,Stroma_ad_Carcinoma_FAHNSCC_14_1.csv,Stroma_ad_Carcinoma_FAHNSCC_14_2.csv,Stroma_ad_Carcinoma_FAHNSCC_14_3.csv,Stroma_ad_Carcinoma_FAHNSCC_15_1.csv,Stroma_ad_Carcinoma_FAHNSCC_15_2.csv,Stroma_ad_Dysplasia-HG_FAHNSCC_15_1.csv,Stroma_ad_Dysplasia-HG_FAHNSCC_15_2.csv,Stroma_ad_Dysplasia-HG_FAHNSCC_15_3.csv,Stroma_ad_Dysplasia_FAAGSCC_13_1.csv,Stroma_ad_Dysplasia_FAAGSCC_13_10.csv,Stroma_ad_Dysplasia_FAAGSCC_13_11.csv,Stroma_ad_Dysplasia_FAAGSCC_13_2.csv,Stroma_ad_Dysplasia_FAAGSCC_13_3.csv,Stroma_ad_Dysplasia_FAAGSCC_13_4.csv,Stroma_ad_Dysplasia_FAAGSCC_13_5.csv,Stroma_ad_Dysplasia_FAAGSCC_13_6.csv,Stroma_ad_Dysplasia_FAAGSCC_13_7.csv,Stroma_ad_Dysplasia_FAAGSCC_13_8.csv,Stroma_ad_Dysplasia_FAAGSCC_13_9.csv,Stroma_ad_Dysplasia_FAHNSCC_14_1.csv,Stroma_ad_Dysplasia_FAHNSCC_14_2.csv,Stroma_ad_Dysplasia_FAHNSCC_14_3.csv,Stroma_ad_Dysplasia_FAHNSCC_14_4.csv
Carcinoma_AGSCC_2_1.csv,0,6356.83755,7047.840841014619,4429.083348792989,6752.273591963453,5428.23899,5174.758482086663,8313.394291701667,6924.092046836914,5058.031337508523,8204.197060024277,3301.1022924480762,3322.1740553688323,4155.9724276677725,4187.038943622951,5326.143369624161,10418.978077694816,11090.969213831213,4742.175397558782,3246.557659660852,5415.587102158617,5148.763778,3336.748082688046,6630.052940284881,7643.968303496414,10820.842896154245,4495.100184808811,4610.414134,3113.6904743521422,4369.474272,8091.138036956294,7850.693978140204,3136.0306675385436,7595.282651487699,9318.074159718208,7775.302402826874,7830.356765360731,8377.619187,7847.849598937262,7294.936518097421,11485.625275730084,12053.963998176334,12388.428471476998,7330.910581,10548.212157041884,4942.296893523134,3355.188432855198,7362.951578158972,1976.5720054492738,1630.431642923455,1096.2103236188598,6882.250637947904,5076.121504287479,3473.248286023031,5886.806141775966,3113.064392546052,2915.856523933629,7091.710298966084,2654.0261949329033,2808.968362911301,6183.731711207612,5436.986004402764,9149.357469986016,3742.8095550134763,5931.757243483488,16066.524807881166,11848.087486017506,15756.65188592799,10290.62206896458,6043.4045887479015,8457.4756,10991.871507446685,10054.264922845283,6282.369524679397,5690.651389237307,8469.46869,17678.942896538483,18530.183359871775,18141.86674271375,7423.087361017003,13155.929584600732,9956.497960448816,7887.029453990289,14411.298588521933,37586.72948,21164.057152889283,9692.739614550068,11533.020047465185,33210.64600372969,25807.045398194732,25185.97489526181,18253.71203,18981.479965876075,24135.99105066223,17691.084610071503,7785.5031664406015,19137.225922642254,17843.456236682498,15446.063553220565
Carcinoma_AGSCC_2_10.csv,6356.83755,0,1231.8716909765678,2105.330368810364,997.4797404684122,995.8229069071804,1313.3110603301454,1972.1313486305223,1001.7409749964793,1451.2037032437847,1972.5016432369523,3962.394063506135,4677.082095985161,2726.094234819673,2677.373577977741,1420.0191317046426,4190.542825871612,4918.7022870259825,1715.761281,3232.7227852194965,974.3322275900374,1266.8109626597206,3630.164317,446.1981245,1602.2098240048433,4611.916286353499,1984.036582791744,1770.9207785157532,5058.226617876979,2925.1591958669064,1911.156204,2972.336201294132,3247.7609797607556,1654.1000840601173,2994.3708979377393,1793.7795156719244,1671.9066367499481,2042.0606632926288,1808.7246048822265,1124.2176388573198,5252.426788137737,5810.870022353843,6215.997531836251,1503.0505198855221,4302.854305148143,3049.3056935126597,3241.775164978612,1122.3260372223933,4411.167435696203,5570.022323,6530.003954770913,6860.355657720436,5662.2677550514045,2950.686558555971,3062.796137,4340.663867391578,3555.5378997463936,4366.079632808811,7962.715384750665,3620.281471523847,12411.33511422699,11364.55107394735,15351.346981398812,2643.733533607753,1058.0390838031585,9925.407915820117,17530.067806757284,10164.709190691028,15644.137259768779,7840.996018,6639.740124155288,6176.183973962954,4300.347555161273,4640.488629,9638.899508457935,13578.991854636708,11722.891647659337,12570.818890679535,12097.195497776105,8843.425342732862,17206.293230386524,6683.924305148986,9311.902722849663,19678.76602076669,41941.69442174396,26959.252830795398,4698.478271169074,16433.903738325298,37812.80335288996,29936.261719675906,29497.028341129342,23180.208539816616,23315.141302097603,28479.811876631942,22770.156918553523,9662.130715070005,13417.221637596467,11781.222993631302,9221.172733469772
Carcinoma_AGSCC_2_11.csv,7047.840841014619,1231.8716909765678,0,2982.5533950924787,591.0845398699436,1816.0689931319505,2253.207777669722,1480.0584175671186,1595.7108979736975,2441.631035248837,1305.258619915463,4089.083888936933,5500.166603411287,3712.2356091805823,3705.8720185214725,2497.03967,3400.9920879601696,4090.097855,2695.0781549378225,4038.539441,1924.9921721977842,2063.1506791796305,3972.5568110649356,962.1522768385778,684.7201548693862,3795.7386980431206,2621.7936854039076,2518.3723094070083,5869.409603460103,3851.1862061994893,1140.940268189767,1783.8149152989286,3971.3943571105237,609.0745617660301,2373.435934942141,886.7144746656784,907.2442170038175,1483.095159195268,855.4235751360306,527.1063728318866,4465.386870801853,5032.929660138016,5401.366916633904,718.1095416,3520.144265,2553.468346398517,3728.7350377372895,563.2140078995615,5111.2525819655375,6255.347453888921,7116.001645443986,6220.717885332843,5050.5629377398545,3710.363927270199,2466.6794497446945,4301.7129916943195,4168.517144418722,3343.500600461321,8457.830734,4403.813450384539,13087.628239580572,12107.12436145891,16039.823528709792,3409.295660842993,1200.5030036806543,9104.711709841895,17838.214757487436,9232.300373304332,15831.341740762207,7262.054106310447,5703.468593242974,4987.304276524564,3221.6670461290923,3871.2948715227394,9406.133914278525,13679.680344909491,10860.48310918981,11706.269969283023,11250.48177007732,8163.303821147368,16970.793646718117,5471.640043,8618.513283,19756.672607666504,41702.03426230677,27297.13070592872,3507.517525695548,16451.74167232113,37653.32675049063,29661.086041583218,29304.75067092083,23158.329398610957,23115.378172155863,28292.866041319656,22836.92507749708,9007.466279,12521.501347083127,10930.290436074645,8437.636153536692
Carcinoma_AGSCC_2_12.csv,4429.083348792989,2105.330368810364,2982.5533950924787,0,2723.301201682062,1211.4079307951554,810.9157986487357,4027.8153303284553,2620.8450644720615,741.7777630759358,3994.4019936894842,3355.5957292701532,2596.532084803535,1001.1516142753705,991.9715084747767,1079.7789487984837,6278.915389372673,7001.874127443561,537.1629159082221,1363.2652894823323,1225.0225089917158,1200.1032622507366,2542.286271884726,2329.720856948379,3543.402564070197,6679.938122048855,1142.684393331441,1074.0635601646027,2974.022781054715,1222.1128748355322,3931.819240980795,4438.398777,1518.551496251619,3516.8628451503278,5069.678479363963,3676.7566086730885,3677.1439889209605,4109.152894964033,3788.078117883533,3129.3119609804307,7344.371762,7901.861895121766,8304.421122504973,3060.9415285248338,6395.501398043732,3447.6033306174168,2785.659979330093,3110.681547677708,2904.939701,4255.999174,4827.734542553555,7244.734426272852,5888.363835,1669.3146134242907,3423.487856038221,3880.5486600866216,2472.2669744498153,5276.810081940467,6487.343043281881,1735.469993544884,10443.74247620501,9326.598309869561,13342.62003344462,1489.2850439912156,2001.7530337951353,12013.049027700326,16058.048169190433,12137.07904861256,14334.279119255529,7824.171981296976,7092.473896837272,7495.185083038479,6138.518796718677,4969.246808,8978.588997928511,12390.835228070464,13786.45963942382,14633.063792662098,14173.002187405413,8987.991383,16532.870566484948,7932.980533049853,9462.962451592395,18437.231163855533,41186.20583371264,25417.041713345985,6063.670497121823,15360.376599606901,36932.25559977943,29260.79950268908,28719.321907432786,22123.51067403488,22537.44040517426,27684.393631572155,21628.24203329077,9744.459543406496,15426.590008440116,13853.779983924675,11317.357318555416
Carcinoma_AGSCC_2_13.csv,6752.273591963453,997.4797404684122,591.0845398699436,2723.301201682062,0,1574.898916423422,1953.9433738604343,1608.9041851373556,1378.017517403651,2122.009187303308,1500.7018080609369,4158.839540463804,5233.428130283329,3415.134727367825,3387.3825670849815,2169.2414591738398,3782.344736455375,4507.747580828166,2399.718505,3827.781702133551,1528.829302640328,1785.5423861975871,4001.057102633373,731.1637215731416,1005.1734985413322,4185.429497678137,2468.0799043592697,2296.6243469070755,5632.527843606329,3561.2440351957694,1447.6426043313004,2133.375144990731,3679.058778890346,1069.385744379549,2609.2398626154427,1148.0285393822003,1157.7153810423351,1659.5883632849416,1291.7332093846385,668.5274816842331,4850.552813750052,5412.083187072939,5808.380487075793,855.0260822974985,3901.4505216478296,2530.623408486437,3513.2981080011664,684.4587427,4886.735114092335,6024.291523,6923.527174915114,6305.373715647282,5227.924014809483,3411.5989604665115,2700.591580953354,4444.637728934193,3988.5949142639047,3479.515716284922,8271.090252765602,4145.7890357457045,12833.908263649528,11813.211973338995,15803.84554,3174.3219904862176,1020.9930282216033,9517.579237136311,17789.366740224945,9669.657957723459,15864.34220330634,7445.911520468986,5995.576132241132,5459.786448796366,3708.112441698982,4132.504603233303,9517.195819915527,13743.788470409005,11300.690699160219,12147.752050296229,11680.301676485557,8304.703661392867,17065.441594702403,5745.863564884857,8759.461199252102,19799.052757298152,41764.33160900959,27185.278691130476,3933.4729649101623,16509.99998944815,37717.16665347629,29759.332519087147,29367.37080620332,23210.058339163017,23215.104707562852,28352.969082580406,22849.228486720778,9149.739765478042,12975.833959426243,11362.587309771341,8824.718533738414
Carcinoma_AGSCC_2_14.csv,5428.23899,995.8229069071804,1816.0689931319505,1211.4079307951554,1574.898916423422,0,871.0979081,2900.0493635160615,1878.3549523996894,851.9235516287218,2825.7788599627997,3081.4912571460404,3746.785141307823,2094.6605488678024,2068.151627561983,1321.9388169238393,5110.504761804553,5832.255236297106,1154.3988462800407,2298.081426118664,887.7766993,657.9762884048846,2753.740050400376,1255.0235372213547,2376.012081799939,5505.878533588846,1106.9501467935613,847.6329426118324,4124.858956362651,2256.9343509619935,2761.1509311278114,3267.5932172091393,2311.014085243839,2355.219697196459,3926.143675161665,2514.751447851597,2510.044302210449,2969.0428503357293,2614.385228,1955.8734481491222,6178.304415567496,6739.318316411511,7136.104096806555,1927.824497627531,5229.670919997904,2596.8616,2377.492579,1967.1018429354533,3481.668724662849,4671.617561074914,5628.811969441013,6411.770861553768,5134.046212700496,2020.193965508602,2583.607351125897,3542.201096826007,2641.2707993117115,4219.235008598204,7068.2730334717335,2694.540423989167,11477.49369508122,10436.387600033691,14419.181235641234,1720.4656999049948,841.1820580313283,10844.443333571517,16648.309557766097,10960.56175215408,14760.970249655948,7205.095836161585,6232.263964821261,6344.792428978173,4955.693447591116,4151.319117171359,8838.182901714217,12687.62973867782,12611.724611826447,13458.256351674681,13001.359192666652,8286.106799883888,16395.276799758194,6790.093901131431,8753.668471972744,18798.363014964612,41165.98941029942,26064.17511,4902.6730197258785,15565.735066042289,37004.776396933186,29145.062968398903,28697.120958383628,22337.940431092873,22496.46674262892,27682.937497831033,21904.97027193947,9074.392866394162,14256.070286065848,12682.746227924887,10153.568652194313
Carcinoma_AGSCC_2_15.csv,5174.758482086663,1313.3110603301454,2253.207777669722,810.9157986487357,1953.9433738604343,871.0979081,0,3242.9635396592084,1836.5697376228486,276.5681561435435,3205.5773770924434,3684.6226008702643,3377.0111305174355,1480.565982274113,1486.2412353675309,528.3107458879425,5494.592063,6220.04609,576.7431812030308,2093.6597263124677,476.49995656697746,959.0700715271653,3081.5475786157194,1549.4816721555055,2768.438051821811,5894.3716429580145,1468.0015887075513,1277.0018326986974,3760.6965557165254,1632.487984243452,3155.901442989175,3860.0964553224917,2129.555536183886,2754.5933865790535,4288.536232882731,2914.670475544388,2894.0477493675517,3327.1355529443554,3011.5129129846173,2344.247567122073,6558.570979783916,7114.512974865755,7521.130811032214,2329.9654261769942,5609.251166508448,3428.2236413863266,3001.400089708111,2326.7812809089646,3517.6444337789767,4844.830425,5547.3411466281095,7237.294170991665,5953.807111580301,1985.7508824729077,3413.2951455792495,4222.2144545943975,2846.0513300960624,5024.363184829152,7179.684834432859,2427.3629366375135,11198.395086952867,10094.211653450673,14105.841236677508,1847.5159945904445,1553.9909205208573,11230.34904081831,16775.288481542408,11401.252519067975,15023.651769212665,7994.996943181388,7068.3877768489765,6983.456302,5393.698373548693,4974.483583291016,9460.640392105473,13062.314405903791,13012.362294407832,13859.28774684349,13393.627137659152,9099.433182,17009.770030964446,7527.033794135794,9567.656767365586,19118.66572,41686.39529171422,26133.444485805274,5572.104326731899,15985.92938826044,37482.21192803826,29745.412863857946,29235.109831488193,22743.48851163463,23069.50230713467,28200.617353771122,22271.183506025198,9883.562804497706,14680.059845239088,13075.88814609865,10528.973169634171
Carcinoma_AGSCC_2_16.csv,8313.394291701667,1972.1313486305223,1480.0584175671186,4027.8153303284553,1608.9041851373556,2900.0493635160615,3242.9635396592084,0,1549.740022983749,3368.649727855131,555.4583121,5533.6002022403445,6607.223691521875,4638.071298644749,4597.616724,3318.3185420538343,2302.6014850102006,3044.1977017662875,3647.7560726943534,5181.170938198027,2917.8626438238175,3196.3652582226205,5443.409654317835,1721.386560175588,883.1929279290018,2802.419995347115,3890.142540916089,3723.725316,6992.266539156257,4851.740975518446,517.7138340580098,1807.4669640615418,5200.950083078503,1284.559247,1076.5446750968686,828.4202487919554,761.4870843529201,247.88298955250545,1069.767956796587,1107.012801413437,3363.417557427331,3901.786813602403,4320.906086608786,1234.3538965983507,2415.9225731647884,3724.1668385156113,5023.6148636721455,1073.1459240790875,6363.638158387999,7506.6798255196145,8460.158085749244,7294.945520661429,6196.554558013305,4903.049022881434,3638.312354313551,5735.887750599412,5477.321242330388,3925.6423898999265,9837.120515,5569.341263,14362.762716237883,13315.258706644936,17304.84261584565,4590.367157,2404.672358622922,8035.079775089951,19256.293243738717,8396.332621294443,17269.339917115045,8363.667403974909,6532.954820852734,5154.300459771572,2907.1190000855995,4870.248519076296,10706.90168332398,15104.337936019327,9843.944347548226,10693.271761240765,10213.459966298838,9217.527067502317,18270.815842936274,5435.566383448025,9673.323835803949,21167.36099394635,42926.94835768347,28630.631989979414,3451.745738,17846.352949935033,38932.82636638603,30905.470336575894,30558.386738217978,24508.21641125942,24401.222240953353,29560.72608240888,24181.885782669888,10056.61584449176,11563.520182228667,9898.379569,7308.408932348485
Carcinoma_AGSCC_2_17.csv,6924.092046836914,1001.7409749964793,1595.7108979736975,2620.8450644720615,1378.017517403651,1878.3549523996894,1836.5697376228486,1549.740022983749,0,1965.2406495014884,1858.436915397834,4941.337895096894,5195.808601846529,3221.6858346993745,3187.2787977779703,1900.2543772192503,3724.377419252848,4478.266007889599,2246.389701413365,3809.497868976128,1572.6592814075582,1831.9020839213126,4556.690472780447,834.0443374,1593.4246380228287,4257.263855390699,2894.276973,2607.9568578395747,5582.320055810503,3436.4944989246574,1751.6827901079653,3151.6774318254816,3833.1662896249873,1833.888281716177,2494.6579322344696,1740.0206743222404,1475.765480728863,1585.649076631141,1771.171627940447,1229.1564945155553,4789.926729082454,5330.849015892949,5738.033819,1858.357600230171,3837.1948975198543,3789.6154855402874,4188.228839552356,1436.5171911570044,5099.523529975223,6340.876846201655,7233.966199801508,7605.801109890937,6473.479054771479,3539.446035162687,3858.3561477400954,5320.015205522139,4323.6371817589625,4825.602751445789,8751.617126131006,4198.038111749574,12960.394516652199,11900.578693577865,15892.606441281438,3352.245651804799,1832.3488224042203,9452.827888042015,18389.42887318815,9865.527709324033,16563.01524111815,8687.279354026468,7256.062981976691,6436.902878038587,4294.892193571396,5356.228477286049,10612.954539628487,14540.080459912739,11264.830023801806,12114.485376488778,11632.300861966238,9624.798059,18165.93844656274,6870.579747353133,10090.904531100776,20621.72982464552,42824.84532672777,27767.371994774945,4871.386494103005,17406.100242636916,38729.47586278214,30870.531826488037,30424.843512450025,24136.88234,24287.18563431995,29393.045607522028,23715.16753939972,10467.520361314177,12993.085011048404,11318.52522950827,8725.643425371594
Carcinoma_AGSCC_2_18.csv,5058.031337508523,1451.2037032437847,2441.631035248837,741.7777630759358,2122.009187303308,851.9235516287218,276.5681561435435,3368.649727855131,1965.2406495014884,0,3343.5903099260545,3621.7151457151017,3255.0616088998877,1321.567056668645,1313.676348555917,577.6477663235083,5636.6871947012005,6361.791672544767,480.7046470015018,1965.503100118012,635.0989067753607,960.7739285517205,3034.736892783048,1681.5358537043712,2927.9249299396765,6040.512583579085,1417.9631875379753,1219.2329992317589,3636.537792864677,1517.5472658301337,3302.6888675670516,4026.781462627608,2040.725931669886,2930.8706542853315,4414.3457095691465,3084.1949591378298,3041.047685,3452.8016683893097,3168.1957209243988,2486.1081632276623,6696.679053204296,7249.6011227949875,7662.1880972769795,2507.1105353782364,5748.490034933539,3414.1535157639473,2946.368529529442,2456.1009442710797,3461.1583645526525,4795.528886373465,5472.785369925467,7223.830474,5922.276129425923,1922.8533980061104,3397.7932209957703,4157.963371647786,2784.9305150786927,5051.093245692225,7124.676686037951,2366.6515446553713,11080.359135056111,9983.833628523957,13995.351619113533,1800.789333549017,1626.6490023119195,11371.063715884782,16698.078026831125,11546.172452868144,14965.131912088289,7951.4450956120245,7051.146602035876,7107.987268838186,5564.010685728487,4959.480892525938,9404.771082189432,13002.301846678956,13160.197324260133,14007.171009084312,13537.894359462685,9059.498407301186,16950.563874491563,7624.919405690768,9528.145523130697,19055.63107827473,41610.49209883401,26058.45178693478,5701.6396729756425,15935.19516028421,37411.277823752884,29681.39476170362,29172.261004382734,22690.052082550043,23011.13582122516,28135.81041856174,22214.493874571603,9841.070736,14830.66795855739,13220.446872295935,10665.327305820689
