,Carcinoma_AGSCC_2_17_tumorales.csv,Carcinoma_AGSCC_2_26_tumorales.csv,Carcinoma_AGSCC_2_30_tumorales.csv,Dysplasia_FAAGSCC_13_3_tumorales.csv,Carcinoma_AGSCC_2_29_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_8_tumorales.csv,Carcinoma_AGSCC_2_16_tumorales.csv,Dysplasia_FAAGSCC_13_2_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_2_tumorales.csv,Carcinoma_AGSCC_2_2_tumorales.csv,Carcinoma_AGSCC_2_12_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_7_tumorales.csv,Carcinoma_AGSCC_2_11_tumorales.csv,Carcinoma_AGSCC_2_31_tumorales.csv,Carcinoma_AGSCC_2_23_tumorales.csv,Stroma_ad_Dysplasia-HG_FAHNSCC_15_1_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_1_tumorales.csv,Stroma_ad_Carcinoma-Dysplasia_FAHNSCC_14_1_tumorales.csv,Dysplasia-HG_FAHNSCC_15_1_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_14_1_tumorales.csv,Carcinoma_AGSCC_2_35_tumorales.csv,Carcinoma_AGSCC_2_3_tumorales.csv,Carcinoma_AGSCC_2_28_tumorales.csv,Carcinoma_AGSCC_2_13_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_6_tumorales.csv,Stroma_ad_Dysplasia_FAHNSCC_14_4_tumorales.csv,Carcinoma_AGSCC_2_4_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_1_tumorales.csv,Carcinoma_AGSCC_2_20_tumorales.csv,Carcinoma_FAHNSCC_14_4_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_6_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_4_tumorales.csv,Carcinoma_AGSCC_2_18_tumorales.csv,Carcinoma_AGSCC_2_9_tumorales.csv,Carcinoma_FAHNSCC_14_2_tumorales.csv,Dysplasia_FAAGSCC_13_4_tumorales.csv,Carcinoma_AGSCC_2_27_tumorales.csv,Carcinoma_FAHNSCC_15_1_tumorales.csv,Carcinoma_AGSCC_2_39_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_5_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_9_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_8_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_2_tumorales.csv,Carcinoma_AGSCC_2_34_tumorales.csv,Carcinoma_AGSCC_2_21_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_14_2_tumorales.csv,Stroma_ad_Dysplasia-HG_FAHNSCC_15_2_tumorales.csv,Carcinoma_AGSCC_2_1_tumorales.csv,Carcinoma_AGSCC_2_22_tumorales.csv,Carcinoma_AGSCC_2_25_tumorales.csv,Carcinoma_AGSCC_2_37_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_5_tumorales.csv,Carcinoma_AGSCC_2_8_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_3_tumorales.csv,Carcinoma_AGSCC_2_5_tumorales.csv,Carcinoma_FAHNSCC_14_1_tumorales.csv,Carcinoma_AGSCC_2_36_tumorales.csv,Carcinoma_AGSCC_2_14_tumorales.csv,Dysplasia-HG_FAHNSCC_15_3_tumorales.csv,Carcinoma_FAHNSCC_14_3_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_4_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_5_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_10_tumorales.csv,Carcinoma_AGSCC_2_15_tumorales.csv,Carcinoma_AGSCC_2_7_tumorales.csv,Carcinoma_FAHNSCC_14_5_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_6_tumorales.csv,Carcinoma_AGSCC_2_10_tumorales.csv,Dysplasia_FAAGSCC_13_1_tumorales.csv,Carcinoma_AGSCC_2_24_tumorales.csv,Stroma_ad_Dysplasia_FAHNSCC_14_3_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_11_tumorales.csv,Stroma_ad_Dysplasia_FAHNSCC_14_1_tumorales.csv,Carcinoma_AGSCC_2_33_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_9_tumorales.csv,Dysplasia-HG_FAHNSCC_15_2_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_2_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_4_tumorales.csv,Carcinoma_AGSCC_2_6_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_7_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_1_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_3_tumorales.csv,Carcinoma_AGSCC_2_19_tumorales.csv,Dysplasia-LG_FAHNSCC_15_2_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_8_tumorales.csv,Dysplasia-HG_FAHNSCC_15_4_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_10_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_3_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_7_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_15_2_tumorales.csv,Carcinoma_FAHNSCC_15_2_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_14_3_tumorales.csv,Stroma_ad_Dysplasia_FAHNSCC_14_2_tumorales.csv,Carcinoma_AGSCC_2_40_tumorales.csv,Carcinoma_AGSCC_2_38_tumorales.csv,Carcinoma_AGSCC_2_32_tumorales.csv,Stroma_ad_Dysplasia-HG_FAHNSCC_15_3_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_15_1_tumorales.csv,Dysplasia-LG_FAHNSCC_15_1_tumorales.csv
Carcinoma_AGSCC_2_17_tumorales.csv,0.0,1832.547782572569,902.7753037197226,3541.781614657328,1436.0087930814532,4045.3798958741363,1053.6516979056273,5114.9263617829565,4301.974974081925,3448.22214592599,1853.9839087588443,5146.006870731653,1816.1514806861062,1025.4331164772384,1118.6465897980788,3903.3624719779173,2192.299014782181,3691.8981257861824,2221.3611755823335,3751.8111267683257,2869.017042288138,3186.851394614172,1097.1801142042273,1467.2658087940674,3702.8154235881534,3662.285920720553,1095.7927672576832,4016.2461124433107,1875.2554131202899,3104.881399208737,3551.5966519001713,3891.1995481712056,1229.5185911992103,1016.931263208747,1630.9165170542453,2173.173382108909,1871.7801513170516,3323.3824158417847,2276.152556189341,3965.158125816849,4468.970214876689,4025.0964802445133,3489.890744930123,1955.6095347978344,1525.6785373395921,3752.2382937242933,3860.173891257922,3675.1140081939097,1251.998626287887,1592.2461121051288,1083.1150188382016,3738.2963684210467,1158.8193743225079,5423.253831491427,1294.9099972905458,1394.2113600588063,1442.1071104872603,1394.1566594295298,4894.857891852704,2379.9568399687864,3703.0333451874853,2032.0745347465104,4127.570271967013,1272.7498190168571,1155.010825254864,2528.0744647277893,5273.09513890057,896.1012237536686,4804.095275422591,1368.2084604700265,3652.6618029534507,3603.4316878783675,4176.128154621858,2076.248748579324,3980.015099007594,3885.0427336834764,3667.5702418280694,3775.727032134092,1061.792668558417,3864.312640711834,4229.1519815295005,4059.130169796316,1263.2823199521672,4083.3420589245898,4219.070836061507,4259.777965260836,3701.9375415974905,3337.040812641947,2565.727727174371,4370.7940308775305,4219.080386343021,3810.5824820551666,3603.4316878783675,1141.450305647918,1648.3763591695085,1703.5163482781024,3994.9809784471877,3971.968588521984,4157.242169880681
Carcinoma_AGSCC_2_26_tumorales.csv,1832.547782572569,0.0,1316.3073194209264,2341.439831016636,1113.6135443113285,4129.066922330646,1355.4382156662898,3833.6048689393033,4378.488599012343,2298.2338823365903,740.1455234096353,5169.392556545177,1404.2713321961155,1578.0434276756114,1355.4146434138331,3970.6853377941575,1728.6192022238708,3760.197615844509,1038.3353616895554,3820.110616826653,1431.5848955887823,1870.5125556857656,1177.764451285653,1310.4669393207093,3771.1149136464805,3730.5854107788796,1408.297782668839,4084.5456025016388,1310.0732012982728,1793.9022995975256,2921.9371872387687,3959.499038229534,1068.843173184382,1199.000380843172,1828.78718191964,1285.6007390239763,818.0048049905664,2821.1774484907323,1220.9608837963417,4033.4576158751765,4534.312500860961,4111.95844555699,3171.383880177117,1166.9123193226649,1195.939078971747,3829.140879898474,3880.712925537763,2597.3666899948594,1360.4396538368428,2435.2777611870797,1404.2829741508126,3815.698933924771,1295.871463966911,5504.266278213806,1492.943824250831,1667.0541260864452,1173.279149771803,916.3014460028755,3947.824389564477,2584.959631921784,3350.215794426771,2367.097636715989,4195.8697620253415,1105.1734630042652,1639.637130681861,2257.328152236528,5353.050751904032,1351.9763206954394,3404.3886327954406,2476.3324283195952,3720.961293011776,3671.7311779366983,4175.992195611692,995.4795554009879,4048.314589065921,2756.5189293866742,3735.8697318863965,3846.6910341400135,1558.9062222401797,3932.612130770162,4297.451471587828,4127.429659854644,1544.1645754765607,3491.821865291205,3493.8565293510655,3387.645265961306,3773.4019669025924,2838.633859661023,2002.3684327987362,4438.576528966139,3617.960330085141,3877.315243107353,3671.7311779366983,2222.38380323065,1671.9620383557099,2591.4935110419874,4054.6428319423107,4032.930109649915,3618.579722077296
Carcinoma_AGSCC_2_30_tumorales.csv,902.7753037197226,1316.3073194209264,0.0,3000.4518069258397,1009.8700652525355,3909.310131700377,848.3270230541451,4542.519099693446,4158.622389064623,2905.1560476190953,1270.8877203940456,5011.89516016104,1469.7109330104574,965.3409144696126,843.6337389425245,3753.7183714385624,1817.784563314766,3540.331405896786,1636.516357694449,3600.2444068789305,2302.8695805335233,2598.3023915729664,762.0544566519121,1155.814831921494,3551.248703698758,3510.719200831157,862.6452478735298,3864.6793925539164,1405.6512149062921,2531.3722032091914,3164.411695271629,3739.63282828181,761.8725131315946,732.6833333095793,1534.3808666151058,1665.9691475202817,1350.5251067609456,2962.6014448773426,1697.0627028498022,3813.591405927454,4316.303950224425,3889.4975755118107,3203.1582278554793,1442.4979463634238,1102.6724054064198,3616.091497499741,3725.6716175654356,3121.969041130634,915.9414037579955,1721.5924706728108,853.4832297399396,3597.5215967934528,838.704905829995,5284.382351506979,1083.2867229955116,1290.2114567130334,1081.1418694923466,918.7853647221981,4446.052961169941,2288.5820444675637,3423.844764433611,2001.185923797665,3976.0035520776196,845.2324767302649,1070.854199249127,2258.6799242558,5137.5161777903095,640.4059361826615,4191.153313250176,1646.5065083289178,3501.0950830640545,3451.864967988976,4018.4442419506613,1519.0042051853711,3828.448379118199,3367.3965185109896,3516.003521938673,3631.5252038327803,871.9319021214575,3712.7459208224377,4077.5852616401085,3907.5634499069215,1084.4058965995196,3728.349625149051,3802.9168522267346,3819.884468384684,3553.53575695487,3017.026996408083,2141.4460792976547,4228.467464199171,3875.160601980708,3672.2648876049907,3451.864967988976,1386.7844465981584,1444.54828308425,1892.456749227855,3833.901508001251,3834.10177533338,3799.9098322447567
Dysplasia_FAAGSCC_13_3_tumorales.csv,3541.781614657328,2341.439831016636,3000.4518069258397,0.0,2520.1149994195976,3371.0757671963597,2854.4518157953726,1858.1593068357522,3642.220294139663,1116.3901064359532,2440.2663958417397,4364.16809604569,2263.676022352039,2946.541383873792,2916.9256602051373,3231.241807580758,1719.1997124294762,3028.844198744315,1837.3800626426219,3088.757199726459,1685.3557278548385,1187.3086044242125,2949.6576451593096,2571.748063423585,3039.7614965462867,2999.2319936786857,2755.679668435508,3353.192185401446,2764.924680503822,977.7095914297407,1581.9971737368423,3228.1456211293394,2714.381264983135,2819.196022486432,2627.7396790253447,1716.2279413307892,2347.3438505286,1811.838944340491,1991.9316417633936,3302.104198774983,3802.486511295368,3367.2482110304527,2248.356045586679,2110.621757240795,3050.4352027154177,3073.1484707363416,3049.253320496793,1437.163619833953,2892.9218274916375,3376.7836775140154,2848.951819046287,3045.73052771791,2682.7993701107976,4764.724413297532,2689.998316062907,2772.416600661006,2893.300250191857,2703.2451832791285,1897.7958828871097,2489.8002342858904,2381.286574843423,2624.6874034305774,3464.51634492515,2852.806713075381,2862.354967839168,1974.7097023284143,4578.424839923273,3040.3621153126605,1879.952164535307,3662.343093354861,2989.6078759115835,2940.3777608365035,3289.9751235083763,1914.8301225378577,3314.8752099270323,1040.7603678922683,3004.516314786202,3105.0303412114504,3053.1082224468205,3201.2587136699676,3566.098054487638,3396.076242754451,2783.362637802963,2057.620387573572,1787.3420220433943,1560.1848396481096,3039.9548423116166,1775.1237421681499,1658.2530222169416,3706.8897899332587,1995.299840449141,3100.600958940134,2940.3777608365035,3475.3843273300467,2404.71984998256,3560.9354326468992,3312.190491298029,3234.6013012957446,2292.0561717883097
Carcinoma_AGSCC_2_29_tumorales.csv,1436.0087930814532,1113.6135443113285,1009.8700652525355,2520.1149994195976,0.0,3876.313702089932,1022.8307298577871,4008.6848177102293,4155.19249543658,2403.6699112766864,1166.6058054100188,4851.448867596562,1086.3457511461452,1116.5532495991758,1029.2642835632364,3758.5068783112943,1521.788828448909,3557.4221941447913,1325.5747193731106,3627.2428906794075,1789.0715130752817,2164.1638483951374,1036.3473686642894,958.2189941800182,3578.9965319792236,3538.4670291116213,1009.4465072664875,3892.4272208343828,1228.9935774372634,2108.976812632419,2841.1165004192494,3767.380656562277,886.6556010586352,904.7883553376644,1598.8900639805165,1244.9301988929378,1141.4225875337395,2554.374038507942,1235.0886288066995,3832.2900532822896,4342.032684770797,3891.65871912952,2855.5738061136763,965.9341611240645,1342.509832832759,3550.986252366193,3572.812999800804,2575.2192964511064,1127.8544276236807,1978.2997133730432,1042.7164919573502,3598.7279117823605,959.1511223768824,5263.955629955819,1105.8964556579713,1426.7958318339831,1144.1064597316272,985.9517064609504,3843.280886161285,2340.629791138469,3118.0545579280706,2046.171331442044,4003.751380358086,1083.3204781979155,1087.5632863311337,1949.9396664023022,5058.666710961469,1027.3078982781703,3632.4526520684663,1986.7992779555248,3528.8429113445186,3479.612796269439,3875.967106052806,1143.5803978592103,3854.962676120362,2812.03235016059,3543.7513502191377,3625.885638353479,1192.3247479256945,3736.272989023395,4100.1613144762305,3930.190996053992,1207.3466496402177,3289.062380925627,3363.173561723777,3329.64470140531,3551.955087687649,2707.913451651447,1771.151997712996,4216.179787404782,3398.642972896934,3633.0748860421327,3479.612796269439,1767.7199014440598,1231.450337770816,2117.6832941899715,3827.4401303116256,3749.0150382890474,3396.5613520203474
Stroma_ad_Carcinoma_AGSCC_2_8_tumorales.csv,4045.3798958741363,4129.066922330646,3909.310131700377,3371.0757671963597,3876.313702089932,0.0,3769.424762037747,4327.954297289214,669.2050502469798,3823.808380768072,4151.402776802872,1629.5765901932612,3654.6414259980215,3724.3331303391437,3899.891273934326,528.8592682978549,2867.834137751093,423.1625120329148,3484.673715482201,420.82597070839296,4281.277352990963,4032.0568946260664,4032.8119216287314,3883.763052235248,430.00739445053915,473.0521569968579,3683.0611585415786,870.2595882763461,4225.773100970711,3448.515764065261,2052.060017436357,739.0899593458754,3978.478793813369,3824.8959531898254,3280.544260064224,3535.2399615855843,4126.0369847184,2475.4423540762386,4045.23751269334,563.1598273489989,1289.0412489037512,688.767623644077,1498.596256486841,3771.4908403549957,4265.7070398473625,536.4130485881402,715.5798961664041,3915.761292788611,3981.5955566274874,3636.890690783977,3874.4696938106003,570.0288215523484,3702.4681850667466,1657.4016300200096,3757.629856746837,3465.088881510714,4299.530802212306,3958.7671013422846,3328.836842809068,1920.0597318969226,1491.1969211840683,2545.9364108943537,826.617802898724,4136.3809171005205,3466.1122070821093,2594.491233853301,1419.7422049307436,3955.083577250366,4375.204895156508,3667.210474622493,426.0954565963977,457.4451637114036,977.7578900361151,3806.89883823373,463.0293242807557,3634.2373471714086,469.504940689152,530.7565466667623,3640.726355163863,506.80972253425426,679.715251057132,510.1066446288862,3749.3744090790037,2568.27439964691,2081.6814803535053,2638.6412574155293,439.7410535438871,2081.7362003148132,2465.1724234612057,793.7509890036989,2743.1346950388706,603.9421109817806,457.4451637114036,3698.1925963606495,3775.45311706775,3627.0644421229167,572.3758635495046,810.5746436840155,2468.312046275557
Carcinoma_AGSCC_2_16_tumorales.csv,1053.6516979056273,1355.4382156662898,848.3270230541451,2854.4518157953726,1022.8307298577871,3769.424762037747,0.0,4453.849054387758,4030.858122812055,2765.7971758732833,1429.4867394998996,4865.0306982321345,1190.3386175449643,783.4055776636129,1050.425681229707,3624.105191508175,1629.307710662862,3412.567139644219,1599.3701120712935,3472.480140626362,2323.455969373635,2500.23349319869,1083.8700098243764,929.858386328824,3423.484437446191,3382.9549345785895,724.9234880768147,3736.9151263013478,1724.0895537495608,2395.956399697704,2969.923394680039,3611.868562029242,1012.9716433463095,691.2856210883754,1126.4769458085912,1504.5096662871708,1507.6179360721146,2764.576191037083,1734.2733940243468,3685.8271396748864,4188.74209301702,3758.967777599275,3022.801773509079,1425.646177670769,1477.01502610811,3469.583444270063,3579.262529756674,3049.050019799087,1236.2664386119618,1361.8421048294808,720.5457391259895,3464.33023747741,756.7776107113127,5156.601968436986,870.3265329636483,903.4468421417043,1413.3114507614732,1103.0727350921568,4272.44598768611,2041.6984139864728,3244.7957910389905,1627.427379340779,3848.239285825052,1164.9765880920945,851.9128142683069,2018.0994429299012,4993.408591611139,891.104340299483,4140.768727122299,1343.631559861004,3373.330816811487,3324.1007017364063,3879.5297333012577,1477.1592923158964,3700.684112865631,3207.3103217670805,3388.2392556861064,3497.883191525954,857.5020694577729,3584.98165456987,3949.82099538754,3779.799183654354,811.9744571181375,3539.1721884941385,3623.1633103617824,3633.9971751347175,3425.7714907023023,2783.713362087653,1979.9736604957027,4095.1181830679348,3677.720199551449,3531.4750367148467,3324.1007017364063,1222.8600974936153,1105.496734122445,1512.443402736153,3705.2973433769025,3696.454385937556,3614.9887156692444
Dysplasia_FAAGSCC_13_2_tumorales.csv,5114.9263617829565,3833.6048689393033,4542.519099693446,1858.1593068357522,4008.6848177102293,4327.954297289214,4453.849054387758,0.0,4589.624879922471,2084.387943499125,3892.9430660486382,5244.079123916092,3772.377281148852,4479.508740218469,4373.286366508317,4189.031388780661,3227.3208986022596,3999.2538737595933,3242.059269553104,4059.166874741738,2938.1341759023153,2251.1917240545768,4446.4900519513685,4094.042019644871,4010.1711715615647,3969.641668693964,4347.292943157402,4323.601860416725,4117.5690046083755,2360.277157897449,2679.1239894142022,4198.555296144617,4195.0295184116785,4373.905129413637,4238.752003968669,3208.6169884637843,3757.301217284238,2912.077171778955,3335.5291394954756,4262.101110190978,4772.808719856831,4329.666312176221,3207.795021015137,3479.3195570692455,4496.193319330979,4018.345398416687,3929.850244224267,2310.714540046686,4328.213642019932,4963.293420902233,4465.282277522108,4012.60444699905,4219.257645789049,5707.497400548108,4270.47962955829,4391.155115416767,4365.947082083047,4172.11733407547,1869.8874870686045,3931.619462155043,3301.399238744895,4109.041342061031,4434.926019940428,4374.799560654417,4409.200121153553,3356.540714725252,5500.676210017315,4557.426488399674,1508.3621410455712,5274.814503449084,3960.0175509268615,3910.787435851781,4176.256221826855,3315.7596037712583,4287.370846981006,1788.2447133870187,3974.9259898014807,4063.319719408655,4639.80133183281,4161.036672408886,4536.507729502916,4366.48591776973,4344.619033419933,2744.816851094758,2383.0578538791165,2130.633030856892,4007.4839036361464,3019.276725796642,3058.17825229439,4661.914324434302,2611.1886936860997,4044.232606721846,3910.787435851781,5078.564914745836,3931.702006921461,5146.452846665634,4277.659485372191,4155.424174924021,3061.1569561186056
Stroma_ad_Carcinoma_AGSCC_2_2_tumorales.csv,4301.974974081925,4378.488599012343,4158.622389064623,3642.220294139663,4155.19249543658,669.2050502469798,4030.858122812055,4589.624879922471,0.0,4111.324541917974,4400.715034167119,1565.0624622582106,3918.4562557997388,3983.121075692927,4172.587400577834,673.9905658772116,3127.5913644495618,736.8438750735016,3741.1121545812516,657.9712803239449,4568.742494913344,4297.748772554978,4285.6330509589825,4137.835787240921,752.716461045258,698.470069253873,3949.7547363215313,1091.6368149022833,4486.659797048109,3705.685116165451,2318.9958759107058,994.5252813684857,4227.791051177615,4075.310126749862,3527.2064975309545,3801.933539365536,4386.1106775175995,2730.5498243934894,4316.542570227137,844.0618478010931,1440.8773526400016,757.8871197971127,1822.978437589196,4069.88459694079,4515.019297211609,804.270710265251,944.6505196559414,4204.354702012566,4240.073700667903,3886.2029481482227,4123.781951174846,770.9115900987194,3957.4056539670005,1461.311669776709,4018.955794433458,3714.40113887496,4555.602422207892,4208.07935870653,3546.341011535959,2169.371989261169,1574.1085635350971,2805.1366613106825,1085.5819527478102,4401.588845948372,3741.3629929675785,2869.213889280539,1312.6948411837805,4210.404704576751,4662.981532964008,3916.5227319867386,689.3856949710071,706.7574210756494,1054.1161232691684,4072.2899016555116,685.1704017375802,3920.912272145752,689.8925117401951,760.6961129985655,3904.461467647945,555.5908544635665,820.4333285756368,626.5690963255618,4002.9606476809636,2839.4314165603587,2382.096161999234,2873.0612427132114,694.4885287820016,2305.85259680811,2746.2654480478227,846.6212511188799,3029.804161951239,750.0017035293713,706.7574210756494,3948.4638057452216,4055.3146219055466,3892.0941501042703,621.6962990354201,979.6305791321483,2671.878382448229
Carcinoma_AGSCC_2_2_tumorales.csv,3448.22214592599,2298.2338823365903,2905.1560476190953,1116.3901064359532,2403.6699112766864,3823.808380768072,2765.7971758732833,2084.387943499125,4111.324541917974,0.0,2438.6986419970885,4646.172539867111,2130.938217973594,2829.127242112107,2777.65185277493,3699.963038720056,1758.7037449293016,3482.785401428329,1801.626322598295,3565.30459895436,1669.8180938963121,1190.9557886674802,2858.1221011170646,2436.567074221964,3519.2778770853347,3478.748374217734,2699.1246224336523,3832.708565940493,2649.5733395731277,1248.255826329139,2006.8352833852418,3707.662001668387,2672.3273152846045,2747.4479261238653,2623.1147531684783,1688.4035723778384,2267.227574025535,1879.2926604118963,1840.0182260733427,3781.6205793140302,4281.940138634941,3833.4575031195486,2562.8508446494334,1933.600733746713,2980.5466176218556,3497.1721717043943,3340.242923285047,1229.485412658094,2731.918483137919,3399.3305415932823,2804.547192722928,3523.590262269642,2633.759498663859,5184.976870935332,2662.6969880447687,2724.4436871229595,2772.124350408739,2671.556214994812,1972.1104657091985,2724.434948116566,2712.2701920586915,2717.4051934015447,3944.0327254641966,2804.8949513552757,2813.203095487164,1994.9160191944125,4957.991141442089,2952.680754512753,1928.5008827637996,3636.7282301348764,3469.124256450632,3419.8941413755515,3604.6084200670716,1854.0324157637094,3790.983480481694,1102.3229436483164,3484.0326953252506,3564.6291037674737,3007.966743984069,3673.690358590771,4045.614435026684,3875.592623293498,2729.861036846849,2168.4775976954534,2150.0602237168546,1851.9336055920426,3486.3452231009833,2197.7559667686237,1820.6798568057302,4140.749386643401,2022.7720614070474,3521.4654428380213,3419.8941413755515,3467.339489647388,2309.0346575623553,3529.522085278454,3773.3983902256605,3578.669647632589,2437.5978614166133
