CellID,X_centroid,Y_centroid,phenotype_key
272,6922.010266940451,5505.722792607803,dendritic cells
734,6592.428888888889,5761.951111111112,endothelial cells
1356,6394.805555555556,5223.164141414141,M2 macrophages
1591,6655.746428571429,5237.65,M2 macrophages
1811,6592.332563510393,5692.163972286374,endothelial cells
2030,6793.507936507936,5402.566893424037,M2 macrophages
2054,6557.897435897436,5890.259615384615,M1/M0 macrophages
2288,6442.3359375,5878.0390625,M2 macrophages
3626,6270.395522388059,5061.888059701492,CD4+ T cells
3744,6263.865269461078,5845.152694610779,dendritic cells
3993,6554.616766467066,5364.2125748503,endothelial cells
4112,6840.305177111717,5295.155313351499,effector CD8+ T cells
4143,6376.309375,5539.575,M2 macrophages
4194,6673.887434554974,5302.9633507853405,endothelial cells
4198,6634.385093167702,5827.642857142857,endothelial cells
4212,6665.337579617834,5331.990445859873,M2 macrophages
4235,6621.379518072289,4963.77108433735,M2 macrophages
4384,6415.67615658363,5894.416370106762,M2 macrophages
4587,6574.774509803921,5040.558823529412,dendritic cells
4610,6654.277909738717,5726.334916864608,endothelial cells
4911,6931.048484848485,5379.863636363636,dendritic cells
4914,6220.407035175879,5659.859296482412,dendritic cells
5100,6519.636042402827,5312.106007067137,M2 macrophages
5185,6643.584967320261,5499.656862745098,M2 macrophages
5345,6648.191335740073,5743.935018050542,endothelial cells
5559,6491.404844290658,5438.321799307959,dendritic cells
5864,6485.47794117647,5038.6875,endothelial cells
5889,6777.466666666666,5380.468292682926,M2 macrophages
6365,6545.345345345346,5034.57057057057,M2 macrophages
6442,6671.274760383387,5677.667731629393,endothelial cells
6601,6515.841309823678,4979.75314861461,M2 macrophages
6637,6530.210332103321,5228.848708487085,CD4+ T cells
6694,6607.904929577465,5101.070422535211,M2 macrophages
7083,6717.776892430279,5651.745019920319,M2 macrophages
7113,6573.205047318612,5823.381703470031,M2 macrophages
7377,6567.469565217391,5789.371014492754,M2 macrophages
7390,6807.914364640884,5456.185082872928,dendritic cells
7432,6463.449152542373,5612.011299435028,endothelial cells
7511,6219.545023696683,5059.857819905214,M2 macrophages
7653,6453.216400911162,5085.7015945330295,endothelial cells
7805,6494.761565836299,5189.626334519573,M2 macrophages
7932,6413.120111731843,5313.276536312849,M2 macrophages
7959,6226.214159292035,5172.886725663717,endothelial cells
7962,6678.612903225807,5781.801843317972,stromal cells
7969,6504.447058823529,5635.626470588235,endothelial cells
8059,6454.906666666667,5640.337777777778,M2 macrophages
8081,6597.132743362832,5634.687315634218,M2 macrophages
8122,6532.268907563025,5647.0812324929975,endothelial cells
8304,6539.110576923077,4974.040865384615,M2 macrophages
8448,6547.776073619632,5807.055214723926,M2 macrophages
8478,6748.877333333333,5181.013333333333,endothelial cells
8715,6679.380952380952,5139.941391941392,endothelial cells
9111,6474.289156626506,5403.210843373494,M2 macrophages
9155,6485.613981762918,4995.705167173252,endothelial cells
9169,6676.074733096086,5622.661921708185,dendritic cells
9466,6381.719696969697,5366.837121212121,M2 macrophages
9776,6619.669421487603,5718.053719008264,endothelial cells
9838,6507.44358974359,4951.802564102564,M2 macrophages
9916,6512.501113585746,5801.242761692651,dendritic cells
10092,6327.630363036304,5492.052805280528,M2 macrophages
10253,6449.719457013574,5691.303167420814,M2 macrophages
10324,6671.497652582159,5529.755868544601,M2 macrophages
10415,6574.493103448276,5187.668965517241,M2 macrophages
10519,6532.66323024055,5384.470790378007,M2 macrophages
10530,6648.839024390244,5138.8439024390245,M2 macrophages
10570,6578.682291666667,4963.734375,dendritic cells
10808,6538.3042071197415,4995.702265372168,M2 macrophages
11074,6687.912727272727,5161.701818181818,regulatory T cells
11081,6568.139759036145,5629.050602409639,M2 macrophages
11118,6617.401785714285,5016.300595238095,M2 macrophages
11123,6298.241106719368,5666.95256916996,M2 macrophages
11212,6079.35046728972,5379.469626168225,endothelial cells
11240,6623.996428571429,5072.089285714285,M2 macrophages
11400,6486.532075471698,5603.135849056604,M2 macrophages
11444,6721.699588477366,5311.514403292181,M2 macrophages
11477,6411.619565217391,5114.353260869565,M2 macrophages
11523,6562.458064516129,5275.906451612903,M2 macrophages
11563,6582.474093264249,5665.613989637306,endothelial cells
11581,6777.982014388489,5554.230215827338,effector CD8+ T cells
11804,6311.393442622951,4987.904918032787,regulatory T cells
11893,6300.098522167487,5500.31527093596,M2 macrophages
11895,6726.871727748691,5484.473821989529,dendritic cells
12035,6634.135048231511,5628.498392282958,dendritic cells
12088,6624.042682926829,5538.646341463415,endothelial cells
12109,6486.866920152092,5236.239543726236,M2 macrophages
12228,6531.260975609756,5557.178048780488,endothelial cells
12238,6576.979057591623,5013.832460732984,neutrophils
12478,6287.119601328904,5470.71096345515,M2 macrophages
12645,6531.275568181818,5739.355113636364,dendritic cells
12667,6537.476923076923,5755.655384615385,dendritic cells
12738,6464.931740614335,5749.815699658703,M2 macrophages
12838,6453.9457627118645,5427.084745762712,M2 macrophages
12862,6821.705035971223,5662.197841726619,M2 macrophages
12995,6710.831325301205,5569.551204819277,M1/M0 macrophages
13043,6536.413793103448,5625.652709359606,M2 macrophages
13230,6658.871232876712,5156.608219178082,endothelial cells
13258,6810.243436754176,5277.484486873508,M2 macrophages
13259,6612.272727272727,5673.048484848485,endothelial cells
13378,6557.18875502008,4960.25702811245,dendritic cells
13410,6487.2307692307695,5891.633136094674,dendritic cells
13488,6710.301176470588,5114.087058823529,dendritic cells
13529,6654.027472527472,5534.445054945055,dendritic cells
13648,6370.992063492064,5314.873015873016,M2 macrophages
13710,6371.11970074813,5282.750623441397,M2 macrophages
