CellID,X_centroid,Y_centroid,phenotype_key
68,4398.597046413503,1629.698312236287,other APCs
379,3485.70715835141,1690.590021691974,tumor cells
419,3637.984251968504,1742.6535433070867,tumor cells
425,3651.6651884700655,1706.6563192904655,tumor cells
464,3741.8888888888887,1910.197318007663,M2 macrophages
476,4257.201995012469,1572.9538653366585,other APCs
506,3989.971428571429,1673.9104761904762,other APCs
710,4259.4680306905375,1921.409207161125,other APCs
768,3759.9592920353984,1934.925663716814,Ki67+ tumor cells
850,3843.200892857143,1767.9486607142858,tumor cells
1169,4394.976510067114,1675.9093959731545,other APCs
1172,4149.243842364532,1789.642857142857,dendritic cells
1182,3729.588516746412,1814.148325358852,other APCs
1184,3817.844827586207,2237.135057471264,endothelial cells
1195,3862.525222551929,2172.308605341246,endothelial cells
1413,4282.333333333333,2073.8106666666667,M2 macrophages
1504,4110.862162162162,2132.6243243243243,dendritic cells
1546,3977.941368078176,1266.8990228013029,other APCs
1581,3695.1060240963857,1693.467469879518,tumor cells
1628,3943.0741626794256,1894.4114832535888,Ki67+ tumor cells
1672,3808.91067961165,1831.9669902912624,other APCs
1676,3682.262955854127,1919.660268714012,M2 macrophages
1772,4107.245901639344,2213.320843091335,endothelial cells
1780,3502.346855983773,1719.393509127789,dendritic cells
1793,4403.38275862069,1483.844827586207,dendritic cells
1843,4384.148148148148,1737.8370370370371,other APCs
1851,4004.134502923977,2232.254385964912,dendritic cells
1858,3485.153439153439,1792.5044091710758,other APCs
1882,3461.6247960848286,1817.9429037520392,other APCs
1978,3893.0819209039546,1713.966101694915,other APCs
1980,3707.670529801325,1795.3509933774835,other APCs
2047,3606.541237113402,1808.958762886598,other APCs
2089,4428.289532293987,1753.325167037862,dendritic cells
2095,3998.395604395605,1883.931868131868,dendritic cells
2317,4500.615615615616,1631.7057057057057,dendritic cells
2641,3665.1835443037976,1680.0632911392406,tumor cells
2682,4363.327922077922,1693.996753246753,other APCs
2692,3429.577197149644,1676.6698337292162,tumor cells
2729,4051.390361445783,1907.6361445783127,dendritic cells
2742,4022.7877237851662,1772.4117647058824,dendritic cells
2763,3703.706940874036,1774.172236503856,other APCs
2783,3954.117647058824,2160.625386996904,CD4+ T cells
2788,3370.3483412322275,1720.829383886256,dendritic cells
2803,4041.355769230769,1784.2788461538462,dendritic cells
2993,3522.4990253411306,2048.1052631578946,dendritic cells
3022,3426.935064935065,1939.0857142857144,endothelial cells
3059,3962.819892473118,1875.5510752688167,tumor cells
3161,4016.33746898263,1737.652605459057,other APCs
3221,4280.373333333333,1899.007619047619,Ki67+ tumor cells
3330,4207.009324009324,1920.100233100233,other APCs
3426,3927.826291079812,1784.943661971831,tumor cells
3582,4594.096273291925,1434.5496894409937,dendritic cells
3665,3717.3567708333335,1581.3828125,other APCs
3725,4070.734597156398,1492.0758293838862,other APCs
3729,3866.1147132169576,2235.52867830424,dendritic cells
3795,4585.991789819376,1467.2545155993432,dendritic cells
3915,4403.293333333333,1542.7660606060606,dendritic cells
4116,3639.074725274725,1624.9604395604397,other APCs
4197,3545.411650485437,1839.442718446602,tumor cells
4242,3806.697336561743,1942.3510895883776,other APCs
4283,3513.670932358318,1769.6252285191956,tumor cells
4291,4250.132075471698,1698.955974842767,tumor cells
4315,3656.0564102564094,1964.7358974358967,other APCs
4331,3960.4793388429753,1808.9603305785124,Ki67+ tumor cells
4446,3530.694382022472,1946.761797752809,dendritic cells
4476,3970.7511312217193,1710.2669683257918,other APCs
4525,3587.8138041733546,1915.78330658106,Ki67+ tumor cells
4571,3533.424379232505,1640.492099322799,other APCs
4596,3607.895874263261,1737.278978388998,tumor cells
4601,4136.961439588689,2219.167095115681,M2 macrophages
4823,3985.05035971223,1762.484412470024,other APCs
4858,4189.781407035176,1837.047738693468,other APCs
4879,3739.386516853933,1658.5662921348314,tumor cells
4901,3672.2984749455336,1643.19825708061,other APCs
4935,4033.771217712177,2250.2841328413283,M2 macrophages
4990,3857.7703703703705,1673.679012345679,other APCs
5040,4455.249032258064,1502.9109677419356,dendritic cells
5063,4117.755172413793,1278.696551724138,other APCs
5094,3657.8777777777777,1817.0027777777773,other APCs
5178,4042.9538834951454,1658.2208737864078,other APCs
5206,3550.2193396226417,1987.7783018867924,M1/M0 macrophages
5287,4433.58244111349,1816.749464668094,dendritic cells
5456,3675.437352245863,1942.0023640661936,M1/M0 macrophages
5466,3474.287878787879,1898.1245791245792,M2 macrophages
5540,3971.149184149184,1744.4778554778554,tumor cells
5617,3700.865509761388,1884.0433839479392,other APCs
5628,3757.658585858586,1708.941414141414,tumor cells
5652,3774.5611353711793,1880.6768558951965,other APCs
5715,3633.2801822323454,1932.025056947608,other APCs
5788,4278.382,1755.196,other APCs
5808,3935.015673981192,1753.4012539184953,tumor cells
5975,4459.430656934306,1410.9251824817518,dendritic cells
6004,3360.3849206349205,1767.2103174603174,tumor cells
6050,3784.2491467576792,2074.136518771331,endothelial cells
6152,3877.1348039215686,1865.4191176470588,tumor cells
6262,4201.650969529086,1966.797783933518,Ki67+ tumor cells
6324,3483.127868852459,1546.6131147540984,dendritic cells
6347,3904.505827505828,1874.2214452214453,tumor cells
6375,4467.251282051282,1978.4641025641024,dendritic cells
6435,3752.515439429929,2062.2684085510687,endothelial cells
6461,4075.433604336044,1807.0243902439024,dendritic cells
6464,4020.9142857142856,1376.642857142857,dendritic cells
6725,3782.738095238096,1854.861471861472,other APCs
6809,3835.935096153846,1958.266826923077,M1/M0 macrophages
6896,3842.454337899544,1468.7465753424658,dendritic cells
6998,3504.035812672176,2034.911845730028,dendritic cells
7190,3766.7453580901856,1973.923076923077,dendritic cells
7245,4289.336643495532,1442.3853028798412,other APCs
7304,3674.902140672783,1763.565749235474,tumor cells
7331,3511.154761904762,1836.404761904762,other APCs
7504,4442.179245283019,1376.7783018867924,dendritic cells
7616,3814.773462783172,1441.106796116505,other APCs
7647,3821.377450980392,2069.1029411764707,dendritic cells
7706,3560.7202925045704,1795.054844606947,tumor cells
7767,3667.904918032787,1878.0,other APCs
7914,3717.553398058252,1393.032362459547,dendritic cells
8087,3875.195205479452,1398.0376712328766,other APCs
8201,3790.0932038834953,1695.8155339805826,other APCs
8236,4255.125,1812.7759433962265,other APCs
8370,4050.208722741433,1854.2180685358253,dendritic cells
8398,3639.977611940298,1592.5348258706467,other APCs
8474,4362.564334085779,1884.3318284424377,tumor cells
8508,3944.7772511848334,2010.0592417061607,other APCs
8546,4484.560165975104,1904.3734439834025,other APCs
8593,3908.696428571429,1497.767857142857,other APCs
8713,4092.429012345679,1539.7592592592594,other APCs
8810,3826.076763485477,1886.0767634854767,other APCs
8835,4466.007722007722,1825.03861003861,dendritic cells
8916,4320.751111111111,1513.5511111111111,other APCs
9214,4330.6594360086765,1556.889370932755,dendritic cells
9275,4416.066339066339,1682.3660933660933,other APCs
9314,3788.7541766109775,2098.014319809069,M2 macrophages
9330,3950.063829787234,1307.9905437352245,other APCs
9382,3587.869074492099,1685.1444695259593,tumor cells
9559,4102.54078549849,2185.16918429003,M2 macrophages
9656,3728.2578125,2048.7916666666665,M2 macrophages
9841,3868.484949832776,2189.648829431438,endothelial cells
9915,3575.1742919389976,1715.5729847494554,tumor cells
9932,4381.525568181818,1987.3522727272727,dendritic cells
10006,3874.0494296577945,1838.083650190114,Ki67+ tumor cells
10044,3498.586776859504,1897.137741046832,other APCs
10064,4554.392857142857,1464.051948051948,dendritic cells
10071,4082.739669421488,2195.909090909091,endothelial cells
10098,4168.929276315789,2047.5065789473683,M1/M0 macrophages
10216,4205.066869300912,2197.145896656535,M2 macrophages
10232,4289.0147492625365,1954.6873156342183,other APCs
10378,4452.010526315789,1886.4263157894736,other APCs
10393,3815.291828793774,1674.1828793774318,other APCs
10416,3919.077844311377,1836.48502994012,Ki67+ tumor cells
10645,3900.235443037975,1656.3443037974685,other APCs
10666,4292.960297766749,1869.1885856079405,tumor cells
10694,3550.407265774378,1952.7093690248569,dendritic cells
10766,4049.168091168091,2192.672364672365,endothelial cells
10862,4167.239583333333,1922.4453125,other APCs
10948,3811.547842401501,1796.437148217636,tumor cells
11113,3909.268965517241,2152.349425287356,M2 macrophages
11183,4002.7697841726617,1295.4028776978416,other APCs
11208,4492.614906832298,1457.9798136645963,dendritic cells
11226,4403.507547169811,1898.72641509434,Ki67+ tumor cells
11368,4510.467532467533,1375.5116883116882,other APCs
11401,3714.289760348584,1641.3616557734206,dendritic cells
11416,4469.375518672199,1855.0207468879669,dendritic cells
11423,4191.445217391304,1582.368695652174,tumor cells
11582,4160.394904458599,2084.494692144374,M1/M0 macrophages
11584,3936.379385964912,1724.5372807017543,tumor cells
11587,3579.827915869981,1766.9655831739965,tumor cells
11673,3628.226640159046,1828.9900596421471,tumor cells
11784,4158.03813559322,2152.5974576271187,M2 macrophages
11821,3661.5392156862745,1384.186274509804,tumor cells
11864,3964.73508353222,2032.2482100238665,other APCs
11876,3472.323040380048,1942.731591448931,M2 macrophages
11888,4523.754716981132,1420.3553459119496,dendritic cells
11963,4317.335820895522,1915.7835820895525,other APCs
11978,4432.756830601093,1700.013661202186,other APCs
12082,4578.3564356435645,1605.3630363036305,endothelial cells
12337,3747.816053511706,1856.8026755852843,other APCs
12373,3488.4342857142856,1754.7714285714285,tumor cells
12446,3756.454954954955,2007.033783783784,dendritic cells
12579,4409.319783197832,1972.60162601626,other APCs
